point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,2.5,1105.0,fsp,0.14256463401066600,0.15012278773382600,-,-,-,-,-,-,-,-,2688.6135410392700,102.68401972277700,0.34231595006481500,2.35033149320462E-05,0.6393136976979970,-3847.107236185750,6.724336052719270,3.6323671838743900,-,-,74.27180248127040,35.47381268813880,53.32375113762070,23.338124431189700,21.676248862379300,0.0,0.0,0.00272897472359615,1.6591465940867300,0.0,0.0,0.0,0.0,46.41724552807540,34.476607614677800,17.61249495372210,0.0,0.0,0.003724595928772150,1.4899273075960000,0.0,0.0,0.0,0.0
1,1.0,2.5,1105.0,liq,99.85743536598930,99.84987721226620,-,-,-,-,-,-,-,-,2527.2905690922300,57.70851726207860,0.22205768462544900,0.00019633703080117600,0.38484604045697300,-1842.3298625466500,2.65159430372838,2.1515238204073E-09,-,-,17.769259569846500,1.16989664129306E-17,49.040034241157500,10.089713807011400,9.456434791921980,9.36931092765059,7.415068403894970,0.4482711997080410,2.843014366604340,0.8001379204175190,1.0343257318163700,0.0,9.503688609817290,50.05772247086390,17.478295274279900,9.01002165028419,6.415095044237120,9.051745434541930,0.7174343025150290,2.993787864687890,1.0859086854144400,0.28116917669456600,0.0,2.908820096481080
1,1.0,2.5,1105.0,system,100.0,100.0,-7.401573061968360,2.0171252698595300,0.44040672100619300,0.5592680722193830,0.3202097109431310,0.24092126872759100,0.07607745373914220,0.06909084787336880,2527.49506154114,23.292066537995200,0.22221019637470100,0.00019611441081742600,0.15531685114669900,-743.792732742694,2.6570295157134100,0.09431576885714080,6.724336052719270,3.6323671838743900,17.813646758706000,0.022483241974915400,49.04530000000000,10.106600000000000,9.4721,9.362400000000000,7.401000000000000,0.4477000000000000,2.8415000000000000,0.7991000000000000,1.0330000000000000,0.0,9.491300000000000,50.05329840406240,17.504120192162400,9.02318084724094,6.409108452688170,9.032803426503920,0.7163798795628430,2.991607509712750,1.0842877951161200,0.28075382811545600,0.0,2.9044596648349400
2,1.0,2.4625,1095.0,fsp,1.8072625746149000,1.902615919836610,-,-,-,-,-,-,-,-,2688.299137603140,102.67107220444700,0.34081878899011900,2.34929682629138E-05,0.6368831139832840,-3849.668811420490,6.722120532826700,3.6317602897904900,-,-,74.19883241403790,35.45781290321740,53.42882334564860,23.28558832717570,21.571176654351400,0.0,0.0,0.002816787617968990,1.7115948852063100,0.0,0.0,0.0,0.0,46.520013818865500,34.40735934187220,17.531381542594600,0.0,0.0,0.00384538038762201,1.537399916280110,0.0,0.0,0.0,0.0
2,1.0,2.4625,1095.0,liq,98.1927374253851,98.09738408016340,-,-,-,-,-,-,-,-,2526.7055603438500,57.668224536827700,0.22200321668279200,0.0001988876588917660,0.38344349763315800,-1839.7382595569000,2.6442919595152700,2.15382021194411E-09,-,-,17.667432672496800,1.17212392957509E-17,48.97316718855770,9.889218238791360,9.2723987786692,9.512159249570370,7.527452881618240,0.45504112937317400,2.86014251927317,0.8122969947990880,1.0500433403243200,0.0,9.648079679023380,50.120825238363500,17.175994225164800,8.85788838298891,6.530016160745170,9.213081555849980,0.7301828911899520,3.0197385531331000,1.1053072028510500,0.2861918782978670,0.0,2.9607739114157200
2,1.0,2.4625,1095.0,system,100.0,100.0,-7.532691235960870,2.0186107255737500,0.4551338730516030,0.5614503138470930,0.3354429107336190,0.23356305799983100,0.07726160634297590,0.07161017625166920,2529.303988029240,23.27330050024420,0.2239308682161240,0.0001960396186645810,0.15458028612995500,-744.7728257083300,2.7126363247931600,0.3357250364440960,6.722120532826700,3.6317602897904900,18.23151173203260,0.2850811408272290,49.04530000000000,10.106600000000000,9.4721,9.362400000000000,7.401000000000000,0.4477000000000000,2.8415000000000000,0.7991000000000000,1.0330000000000000,0.0,9.491300000000000,50.05329840406240,17.504120192162400,9.02318084724094,6.409108452688170,9.032803426503920,0.7163798795628430,2.991607509712750,1.0842877951161200,0.28075382811545600,0.0,2.9044596648349400
3,1.0,2.425,1085.0,fsp,3.39512113395162,3.573358929815880,-,-,-,-,-,-,-,-,2687.9571997622100,102.65831965103100,0.3399742527964670,2.34764660061739E-05,0.634440965136638,-3852.179416661100,6.719894454394400,3.631073869811190,-,-,74.12683024104870,35.43990243210690,53.53749137652390,23.231254311738100,21.462508623476100,0.0,0.0,0.0029088344997839900,1.7658368537621500,0.0,0.0,0.0,0.0,46.62635138707480,34.335705608420800,17.447450645048300,0.0,0.0,0.0039720381044137600,1.5865203213516400,0.0,0.0,0.0,0.0
3,1.0,2.425,1085.0,liq,96.60487886604840,96.42664107018410,-,-,-,-,-,-,-,-,2526.2522466358800,57.622488514095000,0.22171961335277400,0.00020140436750397500,0.38200225224152800,-1837.1094504638800,2.637037079973670,2.15603777252736E-09,-,-,17.567468595646700,1.17432807304061E-17,48.90418916422810,9.693848199989770,9.09490696311786,9.652427664496460,7.637867788060350,0.46169057540885600,2.8753307518670600,0.824245876901835,1.065490920994350,0.0,9.790002094935390,50.1793508647326,16.88010305171540,8.71074535353786,6.64340385289266,9.372338403216500,0.7427642016739810,3.043606011941040,1.1244596911276000,0.291151336685328,0.0,3.012077232476980
3,1.0,2.425,1085.0,system,100.0,100.0,-7.665666375239200,2.020181910330820,0.47012544036458900,0.5636068682535250,0.35138898169659800,0.2262006214713400,0.0783831200336374,0.07416542852303470,2531.140395169980,23.254312400108300,0.22532473487576200,0.0001959776265173130,0.1538462118412950,-745.744034982144,2.764483736105520,0.4600273781927870,6.719894454394400,3.631073869811190,18.62970816504260,0.5356530637209560,49.04530000000000,10.106600000000000,9.4721,9.362400000000000,7.401000000000000,0.4477000000000000,2.8415000000000000,0.7991000000000000,1.0330000000000000,0.0,9.491300000000000,50.05329840406240,17.504120192162400,9.02318084724094,6.409108452688170,9.032803426503920,0.7163798795628430,2.991607509712750,1.0842877951161200,0.28075382811545600,0.0,2.9044596648349400
4,1.0,2.3875,1075.0,fsp,4.9117039641440500,5.168208749929090,-,-,-,-,-,-,-,-,2687.586664105270,102.64576607398600,0.3399817728999170,2.34651511836983E-05,0.6319871549047440,-3854.6371048755100,6.717485816866090,3.630304481682210,-,-,74.04964608003820,35.4200019732087,53.64990850281770,23.175045748591100,21.350091497182300,0.0,0.0,0.00300551343530773,1.82194873797355,0.0,0.0,0.0,0.0,46.736413621851300,34.26154162535590,17.360579546185200,0.0,0.0,0.004105121826316380,1.6373600847812800,0.0,0.0,0.0,0.0
