point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[J/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%],heatCapacity[kJ/K]
1,1.0,4.0,1270.0,system,100.0,100.0,-7.397481465862213,0.018688034942139668,0.017670089140275243,0.5193708348221443,0.30094195168464694,0.13494101358601945,0.1278468153090097,0.06415172039090014,2744.632493778871,22.028195580932085,[1508.3306519303742],9.492704533367084e-5,0.16010565199333504,-746.0111454432661,2.954369926361877,0.11608279856610144,217.94623710200042,126.12864942489072,23.90666766841474,0.0369845160317088,50.00279999999999,8.888499999999999,12.117499999999998,15.7821,7.6067,0.1155,2.4093999999999998,0.9460999999999999,0.45339999999999997,0.0,1.6779999999999997,49.6899891207992,14.990045706538572,11.239983840880152,10.519969738327681,9.039985096259517,0.17996064478485327,2.4700465128276288,1.25002803196223,0.11999030353831669,0.0,0.5000010040818504,
1,1.0,4.0,1270.0,liq,99.8543977226857,99.88147126721917,-,-,-,-,-,-,-,-,2744.0768487413975,63.68818894264759,,9.500294135763736e-5,0.4628491371642655,-2156.2728368077574,2.948064754615559,2.1278582426665658e-9,-,-,23.84900732708833,1.2424578197474006e-17,50.026012491298474,8.900777331854272,12.1336458538822,15.716330981773455,7.613009195822129,0.11566383132480651,2.4128060018723807,0.947428008900437,0.4540235409976649,0.0,1.6803027622742033,49.69876313373283,15.006435040555152,11.251724482967633,10.47311763900829,9.044881806431148,0.1801640956757184,2.472827066394122,1.2514227478077,0.12012077441135452,0.0,0.5005432130160361,0.2636416672780761
1,1.0,4.0,1270.0,ol,0.14560227731429246,0.11852873278083288,-,-,-,-,-,-,-,-,3212.8619478789046,45.956522632355785,,4.287736656138189e-5,0.36370385606008787,-1878.0628975513239,7.503453506136517,4.342357405824527,-,-,100.11403366450317,60.5819428494993,33.333333333333336,0.0,0.19512267387803986,59.20308995315025,7.268454039638385,0.0,0.0,0.0,0.0,0.0,0.0,40.69028196549868,0.0,0.22232984936842604,48.47652166973636,10.610866515396545,0.0,0.0,0.0,0.0,0.0,0.0,0.18972064121629525
2,1.0,3.9454545454545453,1260.0,system,100.0,100.0,-7.504908526585869,0.017977536523110873,0.01828526809250268,0.5230856766280114,0.31281795142308255,0.13960174795827204,0.12516837419941293,0.06503461946088698,2746.2348000837233,22.020566300369047,[1505.0494981266745],9.466253191516347e-5,0.1594532559783785,-747.2650033863823,2.9836297710492525,0.284482479025512,88.90782398269354,51.442120878528144,24.15077212263131,0.22225355371261193,50.02601249129845,8.900777331854268,12.133645853882195,15.716330981773453,7.613009195822126,0.11566383132480647,2.4128060018723794,0.9474280089004367,0.45402354099766473,0.0,1.680302762274203,49.69876313373284,15.006435040555155,11.251724482967635,10.473117639008295,9.04488180643115,0.18016409567571842,2.472827066394122,1.2514227478077005,0.12012077441135455,0.0,0.5005432130160362,
2,1.0,3.9454545454545453,1260.0,liq,99.12614533572346,99.28789554459087,-,-,-,-,-,-,-,-,2742.8530961108113,63.606813597152964,,9.51197022428602e-5,0.4602768273181487,-2155.1201207924014,2.9459117424172825,2.126828282595847e-9,-,-,23.80356532172584,1.2407017700392441e-17,50.1720362922466,8.978526545192068,12.237595126089458,15.332215517924249,7.620301585926736,0.11667876547540271,2.4339654108528714,0.9557273019413842,0.45798690977763595,0.0,1.6949665445736024,49.761781368595145,15.112599208064834,11.329437625200663,10.20033014715849,9.038642287327695,0.18144583149908433,2.4904064996479005,1.2603069052941913,0.1209698981101375,0.0,0.5040802291018639,0.26284987096159185
2,1.0,3.9454545454545453,1260.0,ol,0.873854664276549,0.7121044554091425,-,-,-,-,-,-,-,-,3217.7418497514213,45.94753271842909,,4.280318481885266e-5,0.36272685740919197,-1878.082642435435,7.502600687807673,4.34100930825456,-,-,100.27513708604855,60.63629164190043,33.33333333333333,0.0,0.19738989534418772,58.995579418489875,7.473697352832609,0.0,0.0,0.0,0.0,0.0,0.0,40.636521896919206,0.0,0.22461604801093168,48.242785656238816,10.896076398831053,0.0,0.0,0.0,0.0,0.0,0.0,0.18872116310394838
3,1.0,3.890909090909091,1250.0,system,100.0,100.0,-7.614025164201916,0.016954562600677854,0.018921168383624745,0.5268074853900088,0.32519250924651066,0.14431925432510112,0.12250780144134599,0.06593420362163982,2744.9770423831274,22.06709344884764,[1502.7205845866138],9.479012523733093e-5,0.15909876082954194,-749.3818012549337,2.9807975642494924,0.2817709582357746,89.80065684694799,51.938539340384125,24.09896127024563,0.2179371034074439,50.1720362922466,8.978526545192068,12.23759512608946,15.332215517924253,7.620301585926738,0.11667876547540273,2.4339654108528714,0.9557273019413842,0.45798690977763595,0.0,1.6949665445736024,49.761781368595145,15.112599208064836,11.329437625200665,10.20033014715849,9.038642287327697,0.18144583149908433,2.4904064996479005,1.2603069052941913,0.1209698981101375,0.0,0.5040802291018639,
3,1.0,3.890909090909091,1250.0,ol,0.8568529007424122,0.698055899655761,-,-,-,-,-,-,-,-,3222.763266426955,45.93888744825933,,4.2750385417574757e-5,0.3617515964716216,-1878.0175928712938,7.502821500485376,4.339451439993376,-,-,100.50040739984964,60.6873355608427,33.33333333333334,0.0,0.19964643456695128,58.78012498999886,7.686895242100862,0.0,0.0,0.0,0.0,0.0,0.0,40.580841262502396,0.0,0.2268725436399467,48.00073948444598,11.191546709411673,0.0,0.0,0.0,0.0,0.0,0.0,0.1895355408536412
3,1.0,3.890909090909091,1250.0,liq,99.14314709925759,99.30194410034424,-,-,-,-,-,-,-,-,2741.6183821324175,63.53303838138799,,9.523988302012349e-5,0.45775328486961464,-2154.238288599978,2.9437447481053196,2.1259258342537976e-9,-,-,23.757859114916663,1.2390910564735495e-17,50.31635330859739,9.055362656167492,12.34024783790009,14.95395047818689,7.626232718576596,0.11768214189948353,2.454882823899252,0.9639304156324323,0.461902666944761,0.0,1.7094549521956302,49.82420052488137,15.217276489111251,11.405994131409402,9.93258387350615,9.031046598264107,0.1827101709145925,2.5077462865737052,1.2690683032129721,0.12180684917065744,0.0,0.5075667729557851,0.26200814739417466
4,1.0,3.8363636363636364,1240.0,system,100.0,100.0,-7.724698037300406,0.01578068023456388,0.01957893483147344,0.5305374116996384,0.3380903180576091,0.1490858182503133,0.11986604213389643,0.06684606233590772,2743.698446784258,22.113174995024515,[1499.4225924433604],9.492583684862999e-5,0.15873360147883084,-751.4928468968865,2.977993277078911,0.2791908750725495,90.64234490952839,52.41466874672443,24.04718317066986,0.2138645573892706,50.316353308597385,9.05536265616749,12.340247837900087,14.953950478186886,7.626232718576595,0.1176821418994835,2.454882823899251,0.9639304156324321,0.46190266694476095,0.0,1.70945495219563,49.82420052488137,15.217276489111256,11.4059941314094,9.93258387350615,9.031046598264108,0.18271017091459252,2.5077462865737057,1.2690683032129721,0.12180684917065747,0.0,0.5075667729557851,
