point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,4.0,1310.0,system,100.0,100.0,-5.116557678404559,1.9005579755002615,0.0,0.9434630145466251,0.05889712770333575,0.009553230674429269,0.009105798900820658,0.0391783403793572,2345.3195074447713,26.821250894094998,0.30311805093538313,2.2727204916466063e-5,0.16715579296122957,-821.0527904471863,2.952902773753729,3.1724046433145623e-9,20.450329573695075,2.360365018430669e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
1,1.0,4.0,1310.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2345.3195074447713,94.66320783103974,0.3030978265907093,2.2725688534237143e-5,0.5899614313937478,-2898.110652894322,2.952902773753729,3.1724046433145623e-9,20.450329573695075,2.360365018430669e-17,86.82577461706266,5.302518994155654,1.0410630105127356,0.3058524705545346,1.197148585817469,1.6685251644315442,3.3879396449770995,0.07079250136317161,0.20038501112515367,0.0,0.0,82.93466715358328,8.595468936305098,0.9282020782476472,0.1959632143539941,1.3675157747506976,2.4988557078238793,3.3384490475216992,0.08990478970146448,0.050973297712226966,0.0,0.0
2,1.0,3.95,1300.0,system,100.0,100.0,-5.218369329568855,1.9000145977146008,0.0,0.9465712219248789,0.060915077514137626,0.009910356609899132,0.009148174686329572,0.03966391047261167,2345.1378887299716,26.823563967726255,0.302814165061768,2.2776264845963113e-5,0.16661502882598847,-822.0094009823928,2.9515745493490675,3.1725431683929007e-9,20.43035424923511,2.360388356844235e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
2,1.0,3.95,1300.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2345.1378887299716,94.67240441625933,0.30279092058284335,2.2774516505002623e-5,0.5880592679563224,-2901.558893165546,2.9515745493490675,3.1725431683929007e-9,20.43035424923511,2.360388356844235e-17,86.82487234031316,5.3024821382241365,1.0408242982970581,0.3071740693641541,1.1969957137722806,1.6685301354084185,3.3879474179086815,0.07079133012872509,0.2003825565833879,0.0,0.0,82.93417792759978,8.595447810748613,0.9279934140441416,0.1968108622444189,1.3673472907176636,2.4988743797720594,3.3384717063331473,0.08990370619016108,0.05097290234999925,0.0,0.0
3,1.0,3.9,1290.0,system,100.0,100.0,-5.322371574903473,1.8985490736154718,0.0,0.9496969809568658,0.06302389656618301,0.010291115839202206,0.009135375861975093,0.040175233121964575,2344.9476123195054,26.82551130636155,0.3030577396769956,2.2821735198850296e-5,0.16606751835488517,-822.9711870088458,2.9501322051913115,3.1727011645691524e-9,20.408735721257425,2.3604319297695205e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
3,1.0,3.9,1290.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2344.9476123195054,94.68104058175595,0.3030372588902687,2.282019289509048e-5,0.5861377725516694,-2904.9710086597242,2.9501322051913115,3.1727011645691524e-9,20.408735721257425,2.3604319297695205e-17,86.82565842316579,5.302527636007701,1.0410343043802277,0.30609339590874124,1.1970352083592168,1.6685285782721813,3.3879455719080687,0.07079227392196365,0.20038460807611022,0.0,0.0,82.93462845203254,8.595490436641754,0.9281772931187001,0.19611774894870232,1.3673874542571913,2.4988629985271062,3.338457797643661,0.08990457921660182,0.05097323961373491,0.0,0.0
4,1.0,3.85,1280.0,system,100.0,100.0,-5.427535611278475,1.8972155773123165,0.0,0.9528157238166942,0.06522447806873503,0.010675659174997524,0.009178716101252175,0.04068773931468488,2344.7693824566436,26.827887196347685,0.3032054367996801,2.2864303349135795e-5,0.16552033814503883,-823.927007285778,2.9487675721629345,3.17283997113503e-9,20.38830953380366,2.3604590509446866e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
4,1.0,3.85,1280.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2344.7693824566436,94.69055192261523,0.3031809752031992,2.2862458733919634e-5,0.5842134365133815,-2908.42932484364,2.9487675721629345,3.17283997113503e-9,20.38830953380366,2.3604590509446866e-17,86.82451406622228,5.302472292410329,1.0407251168240035,0.3075789291740684,1.1970544584639313,1.6685325293004034,3.3879505397610568,0.07079081635767552,0.2003812514862556,0.0,0.0,82.93393060768015,8.595441686043063,0.9279060461538027,0.1970704872751027,1.3674159604219736,2.4988808244032925,3.3384786027489857,0.08990315658459647,0.05097262868902057,0.0,0.0
5,1.0,3.8,1270.0,system,100.0,100.0,-5.53519605695272,1.894705525959035,0.0,0.9559507968567699,0.06752585750554771,0.01108438195370749,0.009166526688847591,0.04123284838158648,2344.58443919176,26.82993245986524,0.3034988175974035,2.291097443755225e-5,0.16496666865450577,-824.8874138406507,2.9473656504770056,3.1729979156438654e-9,20.36732126910318,2.3605078655719552e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
5,1.0,3.8,1270.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2344.58443919176,94.69959818938827,0.30347574918094067,2.290923301429374e-5,0.582270464511714,-2911.8527905508354,2.9473656504770056,3.1729979156438654e-9,20.36732126910318,2.3605078655719552e-17,86.82496447631188,5.302485395551482,1.0408342421089096,0.30665574673097284,1.1974179232329438,1.6685278261595815,3.3879411349714714,0.07079134829896833,0.2003819066338105,0.0,0.0,82.93406476898186,8.595432241762403,0.9280000289252358,0.19647828886782456,1.3678262695001226,2.498864860046726,3.338457417343549,0.0899035111949362,0.05097261337734166,0.0,0.0
6,1.0,3.75,1260.0,system,100.0,100.0,-5.644049832418225,1.8923487206490268,0.0,0.9590776186910553,0.0699292128980675,0.011497340772371318,0.009209361145726193,0.0417790133982991,2344.4110577163856,26.832389289529587,0.3034944221224581,2.2955177770750892e-5,0.16441305884552646,-825.8422249924396,2.945993276353159,3.1731367774027647e-9,20.34685376394877,2.360539904370537e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
6,1.0,3.75,1260.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2344.4110577163856,94.70949312416671,0.3034662353594156,2.295304582990039e-5,0.5803239248742502,-2915.3218294068856,2.945993276353159,3.1731367774027643e-9,20.34685376394877,2.3605399043705367e-17,86.82353308904234,5.302406117505045,1.0404375574684168,0.30825141530258315,1.1977341886657207,1.6685299040802508,3.387941010590021,0.0707895075437063,0.20037720980191748,0.0,0.0,82.93308427524472,8.595343813865762,0.9276506738539143,0.19750157531046153,1.3681939240802456,2.4988796252650474,3.3384728633496294,0.08990159272016408,0.05097165631006126,0.0,0.0
7,1.0,3.7,1250.0,system,100.0,100.0,-5.755238637634339,1.889030891778383,0.0,0.9622290759924435,0.07244648500575976,0.011945551585021611,0.009156896245577147,0.04235442670464605,2344.2176025855542,26.8341482427172,0.3035330769093919,2.300253407592088e-5,0.1638495143459995,-826.8066786783502,2.944599923352634,3.1733135430383458e-9,20.325934212907423,2.3606081007033713e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
7,1.0,3.7,1250.0,liq,100.0,100.0,-,-,-,-,-,-,-,-,2344.2176025855542,94.71827451728964,0.3035108260886891,2.300084785026586e-5,0.578350508425807,-2918.7255599015334,2.944599923352634,3.1733135430383458e-9,20.325934212907423,2.3606081007033713e-17,86.82528172251979,5.302485169805474,1.0408950336688463,0.30564851502957924,1.1980689904484854,1.668520943557902,3.3879262850099408,0.07079168038457391,0.2003816595754021,0.0,0.0,82.93401063542476,8.595394858963115,0.928050233491681,0.19583209916734012,1.368564098310648,2.498843790841183,3.338428407028346,0.08990354575870285,0.050972331014240556,0.0,0.0
8,1.0,3.65,1240.0,system,100.0,100.0,-5.867663903945771,1.8858787706207372,0.0,0.9653584969181691,0.07507491125106418,0.012386020686791097,0.009211969063286645,0.042930163751258944,2344.0502142299265,26.8367561965161,0.3030485454282676,2.305005118948939e-5,0.16328987542688628,-827.7596025978805,2.943154376333933,3.1734490616867193e-9,20.30453257237387,2.3606411548459615e-17,86.83181316818683,5.302794697205303,1.0425989574010426,0.2963997036002964,1.1987988012011987,1.6684983315016686,3.387896612103388,0.07079992920007079,0.2003997996002004,0.0,0.0,82.93766210360492,8.595628464504431,0.9295404354210489,0.1899003680354829,1.3693550498695108,2.498731977705213,3.3382950289028503,0.08991121673700164,0.05097535521953872,0.0,0.0
