point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,4.0,1300.0,system,100.0,100.0,-7.173083104291479,-0.05806350283320325,0.0068896193606796,0.5107307888143273,0.23081749405352342,0.1380572836767624,0.13497586959623858,0.06411246200539208,2776.7568664239475,21.773391365778995,0.268999281401807,8.389759404599255e-5,0.16065997830322412,-742.0028816359375,3.0073144558741824,0.2961482285689593,24.788113745017668,0.24353205467911493,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
1,1.0,4.0,1300.0,liq,99.20056263269238,99.22165698271152,-,-,-,-,-,-,-,-,2773.275005522224,64.34887045375557,0.26975880982758504,8.42870389053037e-5,0.4744985904858398,-2189.4203910268307,2.9668197010497632,2.139265437686524e-9,24.410419675032934,1.2691772738357319e-17,49.4649120979968,9.007366243745155,12.2558964307609,16.843505583474002,8.035255494999753,0.07743792242049433,2.079096948301978,0.768510835030635,0.4558222678879581,0.0,1.0121961753823279,49.06674597126614,15.16309095552892,11.347839347071691,11.207212910201292,9.532055328129218,0.12043831951747586,2.127582475360175,1.0135569189284652,0.12041361972128029,0.0,0.3010641542753528
1,1.0,4.0,1300.0,ol,0.7994373673076139,0.7783430172884784,-,-,-,-,-,-,-,-,3204.1578841892915,46.00544411349529,0.1890597158343947,4.318821084020811e-5,0.36704945928110444,-1875.1274550741923,7.489504946744476,4.337205706887543,99.3637552914508,60.2745461289928,33.33333333333333,0.0,0.19229336619594717,59.46151033974321,7.012862960727515,0.0,0.0,0.0,0.0,0.0,0.0,40.757429759726335,0.0,0.21946760610762384,48.76846674891651,10.254635885249542,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,3.9491525423728815,1290.0,system,100.0,100.0,-7.273542071232134,-0.055951085944897526,0.007143429829781604,0.5145952297021457,0.24002427366375562,0.14312352243310952,0.13223602596784495,0.06491441228437089,2779.011823658657,21.754734660165504,0.26750820877752923,8.355176969034935e-5,0.15994514710248786,-743.1347973422365,3.0449787486546147,0.41703079913707414,25.1222928136461,0.48331097267283124,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
2,1.0,3.9491525423728815,1290.0,liq,98.41608966788897,98.45602448068345,-,-,-,-,-,-,-,-,2772.0157902770384,64.24942152406405,0.26902755204246037,8.43306867738949e-5,0.47173996120272393,-2187.7511869728455,2.9650861106659168,2.1380179182571063e-9,24.370830028177885,1.2671218534542532e-17,49.619567267262894,9.093746879890704,12.371519369182824,16.43911071838133,8.040880201133978,0.0781801154689996,2.099025440210555,0.7758775258020914,0.46019248173835,0.0,1.021900000928285,49.13231574145881,15.281184740025994,11.434452692237384,10.918618811585045,9.52170455600728,0.12137564421139503,2.144142334965077,1.0214463621800505,0.12135113412914854,0.0,0.30340798319982004
2,1.0,3.9491525423728815,1290.0,ol,1.583910332111033,1.5439755193165463,-,-,-,-,-,-,-,-,3208.7095808435965,45.99543718608858,0.1883197584173164,4.3081651913395584e-5,0.36607087964857443,-1875.3324027077183,7.4898662679313235,4.336363614184562,99.5535224512077,60.33673345054389,33.33333333333334,0.0,0.19457824664304416,59.27305341513044,7.199035004893189,0.0,0.0,0.0,0.0,0.0,0.0,40.70846829004558,0.0,0.22180860122892632,48.55550092249424,10.51422218623126,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,3.8983050847457625,1280.0,system,100.0,100.0,-7.375045910234429,-0.05358923939081125,0.007406338324999528,0.5184720689110258,0.24961856421501108,0.14829018396865948,0.12951960737291907,0.06571100558208469,2781.230982638544,21.73657773949195,0.26540072972159684,8.322323678227883e-5,0.1592317583527565,-744.2576672944386,3.081098954519157,0.5078872796534948,25.446144515090893,0.7174171103004156,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
3,1.0,3.8983050847457625,1280.0,ol,2.3473210549690666,2.2909556366373964,-,-,-,-,-,-,-,-,3213.3412913414586,45.98564033921832,0.1896119431830355,4.2980200127861865e-5,0.36509032543698605,-1875.487462970521,7.491595578243746,4.33540070530549,99.8162517024585,60.39699658180442,33.333333333333336,0.0,0.1968382178525182,59.08010452017568,7.3897239286384755,0.0,0.0,0.0,0.0,0.0,0.0,40.65845118916891,0.0,0.22410915131730133,48.337976114754206,10.779463544759585,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,3.8983050847457625,1280.0,liq,97.65267894503093,97.70904436336261,-,-,-,-,-,-,-,-,2770.715651565658,64.15736108454159,0.2675817528202801,8.4383903339345e-5,0.46902795102183636,-2186.365500483538,2.9631086164670064,2.1369052090601175e-9,24.326918533973327,1.2652095852302614e-17,49.77287296916547,9.179363133203998,12.486071516135462,16.041689508981072,8.04308047659597,0.07891596404229463,2.1187826873346327,0.7831805783353013,0.4645242402277042,0.0,1.0315189259781106,49.19795714068647,15.398088583980194,11.520153324326909,10.636030854808185,9.507659564734002,0.12230387163945339,2.1605405598255976,1.0292583559982063,0.12227925963012,0.0,0.3057284843708686
4,1.0,3.847457627118644,1270.0,system,100.0,100.0,-7.477593911101919,-0.050951207856498766,0.0076787619831627865,0.5223619453877076,0.2596186392055298,0.15355116863169901,0.1268267080567343,0.06650143561063138,2783.4153936307803,21.718903645030977,0.26454123653493133,8.288969681013193e-5,0.15851938322592687,-745.372199436272,3.116336529909028,0.5830278485539279,25.769763595147605,0.9461426583176737,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
