point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,4.0,1400.0,system,100.0,100.0,-4.9888023289476635,1.1984764489033224,0.006053667139576845,0.47748279672683086,0.16949785529125821,0.07674518385665025,0.16450499725308904,0.050912061710958766,2770.2775018448638,21.3154908246785,0.27680445854962993,8.827157631238633e-5,0.1630627016625656,-716.048709239853,2.9556226995363035,0.11101559447623983,24.154805618581143,0.03414218040185096,47.814752185247805,7.68039231960768,10.726889273110725,21.282878717121278,7.890092109907888,0.062399937600062384,2.028397971602028,0.7648992351007647,0.7709992290007709,0.0,0.9782990217009782,48.651837753763374,13.262354977510023,10.188006636140166,14.525892734755413,9.600995413759543,0.09955027743683074,2.1291789113150426,1.0347839866162378,0.2089206377696023,0.0,0.2984786709337699
1,1.0,4.0,1400.0,liq,99.88501675637774,99.88921659444668,-,-,-,-,-,-,-,-,2769.8402805386045,65.0433381234174,0.27690853814455335,8.832758801429476e-5,0.4975412751673363,-2184.5356064548614,2.9498869718746907,2.150072055000171e-9,24.102687964632445,1.280444490879062e-17,47.83335558458018,7.69015930338826,10.740126867028783,21.2260101101258,7.899410851813475,0.062481719671024005,2.0310468644239217,0.7658906848521233,0.7719826888432364,0.0,0.9795353252731993,48.658218480220384,13.275796753127686,10.197949291648916,14.483343956663742,9.60985658569645,0.09965504934847634,2.1314097498390217,1.035858121376472,0.20913319678506725,0.0,0.29877881529377814
1,1.0,4.0,1400.0,ol,0.11498324362226629,0.11078340555332482,-,-,-,-,-,-,-,-,3152.401697748897,46.11887073549562,0.19143203700288566,4.416265282919419e-5,0.3762387887310221,-1877.5196278645396,7.489594869112079,4.353512271312546,97.16733658483135,59.74768719726079,33.33333333333333,0.0,0.1633440426171428,61.61385687120921,4.889465752840317,0.0,0.0,0.0,0.0,0.0,0.0,41.32469973093534,0.0,0.18902199480588666,51.237092685939835,7.249185588318954,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,3.9642857142857144,1390.0,system,100.0,100.0,-5.075866958046134,1.2015794425621804,0.006273289400704904,0.48126815523788363,0.1761239241495668,0.08009059692693957,0.16156079569109671,0.05161107282068883,2773.2154263086045,21.291689455995588,0.2748814949105017,8.780640393400856e-5,0.16235764383448786,-717.2030545511147,3.003462065812227,0.34518725856941934,24.575991220663298,0.33044038612518234,47.814752185247805,7.68039231960768,10.726889273110725,21.282878717121278,7.890092109907888,0.062399937600062384,2.028397971602028,0.7648992351007647,0.7709992290007709,0.0,0.9782990217009782,48.651837753763374,13.262354977510023,10.188006636140166,14.525892734755413,9.600995413759543,0.09955027743683074,2.1291789113150426,1.0347839866162378,0.2089206377696023,0.0,0.2984786709337699
2,1.0,3.9642857142857144,1390.0,liq,98.88967873805724,98.92933611593146,-,-,-,-,-,-,-,-,2768.94065356867,64.86018251252919,0.2759708905757628,8.83802102393287e-5,0.494212713986947,-2179.716881983229,2.9483756922641953,2.1473850881076914e-9,24.07017743401777,1.2768312800354772e-17,48.0049444670748,7.781128785336189,10.865261990937434,20.749380698140893,7.933780981664272,0.06322124168492244,2.0550843433221386,0.7749551503978006,0.7811172861309853,0.0,0.9911250553105716,48.729618841660404,13.404466971086846,10.29497571568828,14.128215279067744,9.631281988422606,0.10062155922016013,2.1520796520277106,1.045903807297996,0.21116082507686876,0.0,0.30167536045137044
2,1.0,3.9642857142857144,1390.0,ol,1.11032126194277,1.0706638840685248,-,-,-,-,-,-,-,-,3155.9648064348485,46.10556749452083,0.19146952769983291,4.406286916143091e-5,0.37525678875436846,-1878.288216453121,7.492442796232455,4.354196268432467,97.38675840792125,59.83401611887592,33.333333333333336,0.0,0.1658817336297704,61.48333117633964,5.017453756697261,0.0,0.0,0.0,0.0,0.0,0.0,41.28995413870861,0.0,0.19179721721664095,51.085560998675284,7.432687645399461,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,3.9285714285714284,1380.0,system,100.0,100.0,-5.163640162374058,1.205031301707892,0.00649937738291523,0.4850592027804885,0.18300950242802644,0.0835429274921771,0.15864261680958472,0.05229999785670747,2776.0905995341427,21.268418160273566,0.27228700861033966,8.733915216767241e-5,0.16165681269151738,-718.3436461121513,3.0488597540777187,0.4717521991115379,24.981518187324653,0.6178193442683729,47.814752185247805,7.68039231960768,10.726889273110725,21.282878717121278,7.890092109907888,0.062399937600062384,2.028397971602028,0.7648992351007647,0.7709992290007709,0.0,0.9782990217009782,48.651837753763374,13.262354977510023,10.188006636140166,14.525892734755413,9.600995413759543,0.09955027743683074,2.1291789113150426,1.0347839866162378,0.2089206377696023,0.0,0.2984786709337699
3,1.0,3.9285714285714284,1380.0,liq,97.92868497426934,98.00096371791739,-,-,-,-,-,-,-,-,2768.0163029173086,64.68383529838897,0.2743156606151306,8.841448500153379e-5,0.4909411825190243,-2175.1732182614096,2.9466404599452503,2.144819817282792e-9,24.03382747369292,1.2733572668078432e-17,48.174567446122126,7.871076135568715,10.988902691063455,20.281616075748097,7.9643932672519835,0.06395220480023997,2.078844428594411,0.7839149969477053,0.7901477177813772,0.0,1.0025850361218878,48.80077759292138,13.531406292819122,10.390616758521942,13.781186111762228,9.648470276626211,0.10157466969683408,2.172463837862017,1.0558106134522658,0.21316076341844334,0.0,0.3045330829195588
3,1.0,3.9285714285714284,1380.0,ol,2.0713150257306627,1.9990362820826075,-,-,-,-,-,-,-,-,3159.5611032113047,46.0923741223607,0.190389135525606,4.403129350524294e-5,0.3742706627712983,-1879.034163211616,7.493987175399206,4.354825429416312,97.54777688532661,59.91951082525012,33.333333333333336,0.0,0.16838770229102082,61.35093855929418,5.14734040508148,0.0,0.0,0.0,0.0,0.0,0.0,41.2547620972956,0.0,0.1945287488663064,50.9321107693702,7.618598384467912,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,3.892857142857143,1370.0,system,100.0,100.0,-5.252256077417988,1.2087179605556408,0.006732086120200589,0.4888562723500751,0.19016568221858465,0.08710185887440207,0.1557495460157093,0.05298158547988698,2778.9124619145878,21.245735719322766,0.27010133280372006,8.689736552950681e-5,0.16096062134222544,-719.4698914708804,3.092489411900146,0.5680464373925115,25.38051638559901,0.896690455735045,47.814752185247805,7.68039231960768,10.726889273110725,21.282878717121278,7.890092109907888,0.062399937600062384,2.028397971602028,0.7648992351007647,0.7709992290007709,0.0,0.9782990217009782,48.651837753763374,13.262354977510023,10.188006636140166,14.525892734755413,9.600995413759543,0.09955027743683074,2.1291789113150426,1.0347839866162378,0.2089206377696023,0.0,0.2984786709337699
