point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,4.0,1300.0,system,100.0,100.0,-7.172798501418692,-0.05777889996041601,0.006889821079422492,0.5107323655907393,0.23081935839562892,0.13806061451197615,0.13497783052962833,0.06410356685288787,2776.73937585095,21.77318435691425,0.26899406793354846,8.389644168801635e-5,0.16065766463748068,-742.0065212553101,3.0073450005649858,0.2962201334796057,7.489548249400528,4.3372406960554875,24.78831004054903,0.2436487936659252,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
1,1.0,4.0,1300.0,liq,99.20018759752443,99.22129368978916,-,-,-,-,-,-,-,-,2773.255916078335,64.34843263795956,0.2697565108135337,8.428687078465018e-5,0.47449288385190225,-2189.4185925534102,2.966831016220838,2.1392668461504516e-9,-,-,24.41043784654169,1.2691702088424988e-17,49.46523079195808,9.007569208167618,12.256223887641552,16.843849463493594,8.033982988349475,0.07743898212900077,2.0791279061139174,0.76852392621895,0.4558327167141741,0.0,1.0122201292136201,49.0671893139986,15.163471941467252,11.348171964045745,11.207470775720587,9.530570489578603,0.12044027992964425,2.1276196712978055,1.0135768122019937,0.12041669216438534,0.0,0.3010720595953837
1,1.0,4.0,1300.0,ol,0.7998124024755665,0.7787063102108375,-,-,-,-,-,-,-,-,3204.1338306257026,46.00539358055872,0.18905936478566215,4.318830720115217e-5,0.36704787940908074,-1875.1408308107525,7.489548249400528,4.3372406960554875,-,-,99.36379101956182,60.275066140893216,33.33333333333333,0.0,0.19229520373575598,59.46284963168927,7.0115218312416445,0.0,0.0,0.0,0.0,0.0,0.0,40.75778049625625,0.0,0.21947159196054802,48.769984878846074,10.252763032937134,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,3.9491525423728815,1290.1694915254238,system,100.0,100.0,-7.271921740517412,-0.05602159145816511,0.007140174742467583,0.5145226824402186,0.239865614556572,0.14302660193157268,0.13228394118667228,0.06490106072251786,2778.9644894965895,21.755137532909327,0.2673735664980257,8.356558251197778e-5,0.1599575015880859,-743.1171712400409,3.044253139017256,0.41528367660236654,7.4909406970049925,4.336381317497107,25.11497438237241,0.47926169441324945,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
2,1.0,3.9491525423728815,1290.1694915254238,ol,1.5706887153031737,1.5310548343499206,-,-,-,-,-,-,-,-,3208.6286970365873,45.995641232926296,0.1896452724760233,4.308202117739108e-5,0.36608762081875384,-1875.333313341189,7.490940697004992,4.336381317497107,-,-,99.60200158548568,60.335705148465266,33.33333333333333,0.0,0.19454051992904342,59.27631112673525,7.195815020002374,0.0,0.0,0.0,0.0,0.0,0.0,40.70931388160792,0.0,0.22177020131929387,48.559178230378734,10.50973768669405,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,3.9491525423728815,1290.1694915254238,liq,98.42931128469684,98.46894516565008,-,-,-,-,-,-,-,-,2772.0284379686505,64.25130289529035,0.26885175898833824,8.433805820557621e-5,0.47178701324193517,-2187.7820908273366,2.964992091737326,2.138041916171508e-9,-,-,24.36939570771518,1.2671560804572216e-17,49.61692015259419,9.092252253689063,12.36955867117734,16.445932876221498,8.040879604816812,0.07816744096045064,2.0986843205804266,0.775751766149428,0.46011773533760314,0.0,1.0217351784731856,49.13117678730244,15.279134095350969,11.432985410067605,10.923479524290919,9.521991104875836,0.12135962799321594,2.1438585581669534,1.0213116094681265,0.12133508414739384,0.0,0.30336819833654816
3,1.0,3.8983050847457625,1280.3389830508472,system,100.0,100.0,-7.371753338502104,-0.053721484972820074,0.007399624949964209,0.5183264219042916,0.2492883379237846,0.1480932614205457,0.12961473952599945,0.06568396520055643,2781.136357216378,21.73735429833888,0.26612091547580174,8.323301504440749e-5,0.15925628104319856,-744.2229354004296,3.0799691888381147,0.5050898937648097,7.491737028653054,4.335442518605549,25.436428319263776,0.7095118288589364,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
3,1.0,3.8983050847457625,1280.3389830508472,liq,97.67840644001187,97.73425222808478,-,-,-,-,-,-,-,-,2770.7410571722958,64.16086940128827,0.26828464580682776,8.438012497389807e-5,0.4691202918854285,-2186.418500868778,2.9632557324150457,2.1369488455725974e-9,-,-,24.32955730132732,1.2652728595908833e-17,49.767648575191494,9.176435132125302,12.482179484927922,16.05511942913935,8.043116628369177,0.07889090749396695,2.1181094152256352,0.7829319124505294,0.4643766402583697,0.0,1.0311918748182487,49.19569931919657,15.394086358391343,11.517242758248804,10.64556410365566,9.508263998344889,0.1222722622399973,2.1599816190881174,1.028992346045795,0.12224762783736365,0.0,0.30564960695146864
3,1.0,3.8983050847457625,1280.3389830508472,ol,2.3215935599881394,2.2657477719152297,-,-,-,-,-,-,-,-,3213.1752356172215,45.986037619454116,0.19006820772792093,4.3004004441519476e-5,0.3651237705841179,-1875.4918565089129,7.491737028653054,4.335442518605549,-,-,99.81635022336745,60.395040406139266,33.33333333333333,0.0,0.1967626751431497,59.086861400314696,7.383042591208822,0.0,0.0,0.0,0.0,0.0,0.0,40.66020113052208,0.0,0.22403278451490005,48.34558514427539,10.770180940687636,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,3.847457627118644,1270.508474576271,system,100.0,100.0,-7.472739109937453,-0.05129965316615674,0.007668281624452062,0.5221415431061274,0.2591019432066213,0.15324841106386303,0.1269672226993673,0.06646562852649097,2783.2836931519932,21.72013875371571,0.26455867077329365,8.291595819674237e-5,0.15855718922596984,-745.3188670289505,3.1144106933059983,0.579443241534204,7.491400790325113,4.3343658926476865,25.75061046376198,0.9344999416982857,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
4,1.0,3.847457627118644,1270.508474576271,liq,96.94692186596168,97.01668111913247,-,-,-,-,-,-,-,-,2769.42073063903,64.07784853661012,0.26740977933687743,8.442982764842958e-5,0.4665003141682352,-2185.33172238144,2.961515312551113,2.1359874333608316e-9,-,-,24.28940653754892,1.263532233082229e-17,49.91699276828976,9.259804651997028,12.593684840247288,15.67074053891931,8.042601165632082,0.0796081058788971,2.1373632064561146,0.7900481154475806,0.46859538447490445,0.0,1.0405612226570264,49.260136347417394,15.507754729854492,11.600537112056623,10.373178189549881,9.49162511897928,0.1231758210117643,2.1759412881484614,1.0365944271990915,0.12315023965165871,0.0,0.3079067261313655
4,1.0,3.847457627118644,1270.508474576271,ol,3.053078134038314,2.9833188808675266,-,-,-,-,-,-,-,-,3217.8137203832252,45.97666851477815,0.18910424347797541,4.292803575069645e-5,0.3641588798177468,-1875.5939164284907,7.491400790325113,4.3343658926476865,-,-,99.98427972574609,60.452190126321696,33.33333333333333,0.0,0.19896215368657794,58.892251707053674,7.575452805926409,0.0,0.0,0.0,0.0,0.0,0.0,40.609863144620306,0.0,0.22625664081298644,48.126697654149396,11.037182560417317,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,3.7966101694915255,1260.677966101695,system,100.0,100.0,-7.5742417590424616,-0.0480934176186251,0.007947004573381338,0.5259722168919686,0.2693288327915149,0.15849435873002296,0.12434605633325889,0.0672245740161249,2785.36745883596,21.703029516890485,0.2628460027875584,8.260222151477426e-5,0.15785481666764753,-746.4133323570139,3.147746446508789,0.643872214724173,7.491670915156563,4.333235750147256,26.058632792857146,1.1547337674039488,49.311699999999995,8.922,12.1417,17.2545,8.0188,0.07669999999999999,2.0593,0.7611999999999999,0.4515,0.0,1.0026,49.00421023639519,15.04684825455721,11.262660641747017,11.501670465877071,9.52992866207095,0.11950876604467199,2.1111771994370843,1.0057506717282656,0.11948990966357892,0.0,0.29875519247897375
5,1.0,3.7966101694915255,1260.677966101695,ol,3.766905107851927,3.685459660190762,-,-,-,-,-,-,-,-,3222.4863069680805,45.967411514271134,0.18857120626738344,4.281354537067911e-5,0.36318906884885044,-1875.6716893417502,7.491670915156563,4.333235750147256,-,-,100.18459760048053,60.508406470696436,33.33333333333333,0.0,0.20114009451162843,58.695706761522395,7.7698198106326455,0.0,0.0,0.0,0.0,0.0,0.0,40.559145306499346,0.0,0.2284476948536231,47.906176241421264,11.306230757225777,0.0,0.0,0.0,0.0,0.0,0.0
