point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[kJ/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%]
1,1.0,4.0,1260.0,system,100.0,100.0,-6.870346705442675,0.648769228289366,0.01925236563857559,0.5122981418698409,0.23822626863196084,0.12312125588885134,0.12690289551047002,0.06276246072877557,2772.4405304118836,21.682888314629587,0.2576840299368395,9.526807217499249e-5,0.15761910475550794,-738.2542495554678,2.9722477653785675,0.09906807782040938,7.51270367701154,4.348788928747379,24.45617145181056,0.027210073345978972,48.6541,8.5025,13.9254,15.866900000000001,8.1102,0.0634,1.8012999999999997,0.7474,0.6717,0.0,1.6570999999999998,48.62931084860777,14.421990826631081,12.991653573477638,10.637654440772712,9.694090822125684,0.09935481253589284,1.857318431222182,0.993207287119724,0.1787903516388628,0.0,0.4966286058684292
1,1.0,4.0,1260.0,liq,99.91047548201765,99.91280892644639,-,-,-,-,-,-,-,-,2772.0467973616287,61.43629706159502,0.25774696649132106,9.53199897544447e-5,0.4465639608267856,-2091.4532844759674,2.9676886218243874,2.1271895465966942e-9,-,-,24.413903348514424,1.2543332592777214e-17,48.669464487816455,8.510969581535775,13.938665915682561,15.81824678377584,8.116785526897695,0.06346522257576316,1.803146010769499,0.748158782920673,0.6723640864214393,0.0,1.658733601604283,48.634438435441126,14.433321282412212,13.001295456744652,10.602805795762013,9.699922334005795,0.09943610955586255,1.8588308909506364,0.9940065558436764,0.17892948196898026,0.0,0.4970136573150331
1,1.0,4.0,1260.0,ol,0.0895245179823495,0.08719107355362525,-,-,-,-,-,-,-,-,3211.4696558894725,45.94295879094063,0.18850280340909079,4.283627577188977e-5,0.3623399907655204,-1881.4332932603616,7.51270367701154,4.348788928747379,-,-,100.27737891741894,60.73520220217394,33.333333333333336,0.0,0.24197924548281305,59.293292720629424,7.131394700554436,0.0,0.0,0.0,0.0,0.0,0.0,40.71994101194768,0.0,0.27592089755493493,48.58576952103372,10.418368569463663,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,3.9454545454545453,1250.181818181818,system,100.0,100.0,-6.975797362402376,0.6494777655490416,0.01995991990264118,0.5160023460401834,0.24748293794956305,0.12687407931532704,0.12427710568006908,0.06353010453674839,2774.530559208448,21.665750610506606,0.25646978272917353,9.493100599395508e-5,0.15691626263126993,-739.3443238677054,3.006969396681805,0.29791010804367013,7.514123081946342,4.347761110120204,24.75860957378003,0.24624078704371913,48.6541,8.5025,13.9254,15.866900000000001,8.1102,0.0634,1.8012999999999997,0.7474,0.6717,0.0,1.6570999999999998,48.62931084860777,14.421990826631081,12.991653573477638,10.637654440772712,9.694090822125684,0.09935481253589284,1.857318431222182,0.993207287119724,0.1787903516388628,0.0,0.4966286058684292
2,1.0,3.9454545454545453,1250.181818181818,liq,99.19108355604453,99.21120289827486,-,-,-,-,-,-,-,-,2770.924724874185,61.35122828143315,0.25710705994325456,9.543423998798614e-5,0.44402926485881905,-2090.1939301125494,2.965917666314716,2.1263269763391267e-9,-,-,24.37490375864368,1.2528088884064186e-17,48.80212078385544,8.584585128693858,14.057135198333967,15.444260081318841,8.123252048892422,0.06401412884642381,1.8187413818429643,0.7546300471737587,0.6781799489535916,0.0,1.6730812520887206,48.690878924028254,14.535438337800006,13.091331535089672,10.335967791608965,9.692497460497442,0.10013957343498794,1.8719813383655228,1.0010393381214087,0.18019549228669857,0.0,0.5005302087670367
2,1.0,3.9454545454545453,1250.181818181818,ol,0.8089164439554748,0.7887971017251229,-,-,-,-,-,-,-,-,3216.0353297421284,45.93388184802429,0.18985527122137033,4.2776952866752446e-5,0.3613603004552238,-1881.5786715353715,7.514123081946342,4.347761110120204,-,-,100.52686491468299,60.79280161194424,33.33333333333333,0.0,0.244750632294738,59.101132192725416,7.320783841646512,0.0,0.0,0.0,0.0,0.0,0.0,40.670167775198415,0.0,0.2787398885847219,48.369115030569716,10.681977305647152,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,3.890909090909091,1240.363636363636,system,100.0,100.0,-7.0825380459118525,0.6502510689709062,0.020693745225425258,0.5197166370599848,0.25712208284132815,0.13064546146923683,0.12167266973674232,0.06429855526543632,2776.59613644826,21.64915536568202,0.2547604678868515,9.460764608154643e-5,0.15621477536944472,-740.4258232104021,3.040270505204021,0.4072321704338003,7.512907362712687,4.346583328686384,25.050803962819295,0.4604652629066884,48.6541,8.5025,13.9254,15.866900000000001,8.1102,0.0634,1.8012999999999997,0.7474,0.6717,0.0,1.6570999999999998,48.62931084860777,14.421990826631081,12.991653573477638,10.637654440772712,9.694090822125684,0.09935481253589284,1.857318431222182,0.993207287119724,0.1787903516388628,0.0,0.4966286058684292
3,1.0,3.890909090909091,1240.363636363636,ol,1.510411622061017,1.4746930743168811,-,-,-,-,-,-,-,-,3220.701060189278,45.925058924679796,0.18793764822655387,4.266820864755789e-5,0.36037985894108343,-1881.662939637139,7.512907362712687,4.346583328686384,-,-,100.6578419700465,60.84801793952346,33.33333333333333,0.0,0.2475112254323022,58.903345453012854,7.515809988221507,0.0,0.0,0.0,0.0,0.0,0.0,40.61905221297217,0.0,0.2815295729872618,48.14665545855312,10.952762755487441,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,3.890909090909091,1240.363636363636,liq,98.48958837793897,98.52530692568313,-,-,-,-,-,-,-,-,2769.771346547933,61.27328815605032,0.2559722181638025,9.555425335092886e-5,0.441537873500021,-2089.199584354142,2.963921257518274,2.125591644047593e-9,-,-,24.331968260002164,1.2514214260897804e-17,48.9335425700969,8.657510362781178,14.174371281614267,15.076319224634263,8.127224254810251,0.0645582033366986,1.8341982654054056,0.7610425797673617,0.6839400611190711,0.0,1.6872931964346045,48.747258236698606,14.636473778870906,13.18030382754974,10.074279202943762,9.682391256040717,0.10083607912750639,1.8850004685271777,1.008000213947918,0.18144777109453863,0.0,0.5040091651991295
4,1.0,3.8363636363636364,1230.5454545454545,system,100.0,100.0,-7.190175820904705,0.6515094975143703,0.0214557545607139,0.5234427621763125,0.26716312994020963,0.13442833849352354,0.1190925621782537,0.06505445369875519,2778.6143731598936,21.63282128694668,0.2536447072870503,9.430725519673396e-5,0.15551131046825986,-741.5038112100881,3.072754135614617,0.4911360693862487,7.513808025802441,4.345306282502654,25.341514526287156,0.6702424619755011,48.6541,8.5025,13.9254,15.866900000000001,8.1102,0.0634,1.8012999999999997,0.7474,0.6717,0.0,1.6570999999999998,48.62931084860777,14.421990826631081,12.991653573477638,10.637654440772712,9.694090822125684,0.09935481253589284,1.857318431222182,0.993207287119724,0.1787903516388628,0.0,0.4966286058684292
4,1.0,3.8363636363636364,1230.5454545454545,liq,97.80465694209113,97.85382730808766,-,-,-,-,-,-,-,-,2768.5582745173933,61.201989638694066,0.2553681486717353,9.568977997011596e-5,0.43908168741139103,-2088.47025032091,2.962136145060301,2.1249883931800336e-9,-,-,24.29202394039039,1.2501634388571381e-17,49.06417594472947,8.730008605151554,14.290920502624257,14.71481009294528,8.126922761264597,0.06509877740490055,1.8495567342293988,0.7674153942971065,0.6896671077369748,0.0,1.7014240796164617,48.804207123065844,14.736940399418163,13.268781325780838,9.817988887247317,9.667534558168441,0.10152817125079151,1.897938160972451,1.0149190203354375,0.18269317561698525,0.0,0.5074691781437292
