2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_NV-1 [4595],PER,41.240,0.100,0.680,7.900,43.880,0.080,0.030,0.010,93.920
s_PM20-22 [20986],PER,41.870,0.090,0.980,11.680,42.420,0.740,0.060,0.310,98.150
s_GG-02 [22252],PER,41.956,0.080,0.861,9.057,45.445,2.079,0.295,0.037,99.810
s_PM27A-9 [20986],PER,42.260,0.070,0.730,7.420,46.650,1.260,0.020,0.010,98.420
s_PM21-9 [20986],PER,42.270,0.030,1.520,7.970,47.170,0.670,0.100,0.000,99.730
s_PM21-6A [20986],PER,42.270,0.050,1.330,7.860,47.510,0.730,0.110,0.000,99.860
s_X-C [7499],PER,42.320,0.130,2.260,8.249,42.400,1.780,0.350,0.060,97.549
s_PM27B-1B [20986],PER,42.320,0.060,0.720,7.970,46.950,0.710,0.040,0.010,98.780
s_PM24-41 [20986],PER,42.640,0.080,2.280,10.010,40.070,2.540,0.090,0.280,97.990
s_GG-17 [22252],PER,42.650,0.118,1.503,8.301,42.888,3.804,0.492,0.048,99.804
s_GG-01-A [22252],PER,42.667,0.316,1.880,8.892,41.976,3.463,0.456,0.131,99.780
s_PM27B-12B [20986],PER,42.810,0.070,1.520,7.940,45.680,0.810,0.030,0.000,98.860
s_PM23-3 [20986],PER,42.830,0.150,1.290,11.140,41.110,1.220,0.270,0.010,98.020
s_PM20-8 [20986],PER,42.920,0.030,1.350,8.380,44.410,1.410,0.030,0.270,98.800
s_X-D [7499],PER,43.030,0.050,2.120,7.844,44.100,1.160,0.180,0.010,98.494
s_PM23-21 [20986],PER,43.070,0.030,0.900,10.070,41.780,2.210,0.200,0.000,98.260
s_PM27B-2 [20986],PER,43.080,0.050,0.860,7.940,46.710,0.650,0.110,0.040,99.440
s_Q107 [24427],PER,43.100,0.100,1.200,7.920,45.200,0.900,0.100,0.100,98.620
s_X-B [7499],PER,43.170,0.350,3.470,8.609,38.600,2.160,0.710,0.360,97.429
s_PM25-18 [21497],PER,43.360,0.100,2.910,8.880,40.320,2.460,0.200,0.030,98.260
s_PM25-10 [20986],PER,43.390,0.030,1.190,7.810,45.140,0.930,0.040,0.010,98.540
s_PM25-10 [25029],PER,43.392,0.032,1.187,7.810,45.141,0.928,0.039,0.012,98.541
s_PM25-38 [21497],PER,43.430,0.100,2.690,8.850,40.410,2.430,0.170,0.030,98.110
s_GG-14 [22252],PER,43.469,0.024,1.240,7.974,44.713,2.083,0.288,0.038,99.829
s_PM25-35 [21497],PER,43.490,0.100,3.010,8.300,40.350,2.620,0.180,0.020,98.070
s_PM25-27 [21497],PER,43.520,0.110,2.940,8.160,39.480,2.600,0.210,0.020,97.040
s_PM25-31 [21497],PER,43.540,0.110,2.930,8.430,39.930,2.650,0.190,0.020,97.800
s_PM26-4 [20986],PER,43.570,0.100,2.260,7.670,42.450,2.270,0.150,0.000,98.470
s_PM21-1A [20986],PER,43.600,0.080,2.970,7.680,42.650,2.610,0.290,0.010,99.890
s_GG-05 [22252],PER,43.784,0.036,1.103,8.053,45.925,0.957,0.005,0.000,99.863
s_L69 [24427],PER,43.800,0.100,1.400,7.650,43.100,1.000,0.100,0.100,97.250
s_PM25-25 [21497],PER,43.840,0.120,3.420,8.570,38.900,2.700,0.250,0.030,97.830
s_X-E [7499],PER,43.980,0.090,1.690,7.964,42.000,1.440,0.260,0.050,97.474
s_PM25-26 [21497],PER,44.010,0.130,3.280,8.800,38.570,2.850,0.240,0.030,97.910
s_PM24-41 [20986],PER,44.010,0.050,1.660,7.540,43.000,1.370,0.110,0.350,98.090
