T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1880.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1860.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1840.000000, 1.250000, 0.056952, 0.422150, 0.000000, 0.000000, 0.000000, 0.026170, 0.551560, 0.000130, 0.000000, 0.000000, 0.000000, 0.000000, -2718.259840, 47.042620, 0.980270, 0.196330, 3025.347050, 0.000049, 0.418044, -1834.869900, 85.880000, 54.960000, 7.250000, 4.260000, 0.974072
1820.000000, 1.250000, 0.180672, 0.421500, 0.000000, 0.000000, 0.000000, 0.029590, 0.548750, 0.000160, 0.000000, 0.000000, 0.000000, 0.000000, -2708.413410, 47.005960, 3.102720, 0.196710, 3032.351130, 0.000049, 0.416471, -1836.677300, 86.360000, 55.150000, 7.260000, 4.260000, 0.970638
1800.000000, 1.250000, 0.275532, 0.420880, 0.000000, 0.000000, 0.000000, 0.032880, 0.546040, 0.000200, 0.000000, 0.000000, 0.000000, 0.000000, -2698.629040, 46.969280, 4.721060, 0.194920, 3039.194160, 0.000049, 0.414870, -1838.541700, 86.750000, 55.340000, 7.270000, 4.270000, 0.967323
1780.000000, 1.250000, 0.350498, 0.420290, 0.000000, 0.000000, 0.000000, 0.036000, 0.543470, 0.000240, 0.000000, 0.000000, 0.000000, 0.000000, -2688.919450, 46.932550, 5.992290, 0.195890, 3045.854200, 0.000048, 0.413239, -1840.477600, 87.270000, 55.540000, 7.280000, 4.270000, 0.964171
1760.000000, 1.250000, 0.411341, 0.419740, 0.000000, 0.000000, 0.000000, 0.038870, 0.541100, 0.000290, 0.000000, 0.000000, 0.000000, 0.000000, -2679.336050, 46.895490, 7.016570, 0.196350, 3052.207850, 0.000048, 0.411570, -1842.552800, 87.760000, 55.750000, 7.290000, 4.270000, 0.961262
1740.000000, 1.250000, 0.461189, 0.419210, 0.000000, 0.000000, 0.000000, 0.041670, 0.538790, 0.000330, 0.000000, 0.000000, 0.000000, 0.000000, -2669.798760, 46.858530, 7.850350, 0.195610, 3058.474470, 0.000048, 0.409877, -1844.654200, 88.200000, 55.950000, 7.300000, 4.280000, 0.958417
1720.000000, 1.250000, 0.502820, 0.418710, 0.000000, 0.000000, 0.000000, 0.044340, 0.536570, 0.000380, 0.000000, 0.000000, 0.000000, 0.000000, -2660.331440, 46.821550, 8.542210, 0.196190, 3064.598550, 0.000048, 0.408157, -1846.812700, 88.690000, 56.160000, 7.310000, 4.280000, 0.955695
1700.000000, 1.250000, 0.538107, 0.418240, 0.000000, 0.000000, 0.000000, 0.046820, 0.534510, 0.000430, 0.000000, 0.000000, 0.000000, 0.000000, -2650.973790, 46.784360, 9.123480, 0.194570, 3070.485760, 0.000047, 0.406403, -1849.079500, 89.090000, 56.370000, 7.310000, 4.280000, 0.953162
1680.000000, 1.250000, 0.568219, 0.417790, 0.000000, 0.000000, 0.000000, 0.049150, 0.532580, 0.000470, 0.000000, 0.000000, 0.000000, 0.000000, -2641.708120, 46.747030, 9.615230, 0.194810, 3076.188270, 0.000047, 0.404618, -1851.428500, 89.580000, 56.590000, 7.320000, 4.290000, 0.950776
1660.000000, 1.250000, 0.594200, 0.417380, 0.000000, 0.000000, 0.000000, 0.051340, 0.530760, 0.000520, 0.000000, 0.000000, 0.000000, 0.000000, -2632.526940, 46.709630, 10.036470, 0.195080, 3081.731460, 0.000047, 0.402804, -1853.847300, 90.060000, 56.800000, 7.330000, 4.290000, 0.948528
1640.000000, 1.250000, 0.616786, 0.416980, 0.000000, 0.000000, 0.000000, 0.053400, 0.529040, 0.000570, 0.000000, 0.000000, 0.000000, 0.000000, -2623.433790, 46.672120, 10.399380, 0.194580, 3087.111590, 0.000047, 0.400959, -1856.338600, 90.510000, 57.020000, 7.340000, 4.300000, 0.946409
1620.000000, 1.250000, 0.636526, 0.416610, 0.000000, 0.000000, 0.000000, 0.055360, 0.527410, 0.000620, 0.000000, 0.000000, 0.000000, 0.000000, -2614.419480, 46.634570, 10.714150, 0.194300, 3092.356230, 0.000047, 0.399087, -1858.888400, 90.960000, 57.250000, 7.360000, 4.300000, 0.944389
1600.000000, 1.250000, 0.653889, 0.416260, 0.000000, 0.000000, 0.000000, 0.057190, 0.525870, 0.000670, 0.000000, 0.000000, 0.000000, 0.000000, -2605.489580, 46.596950, 10.988490, 0.194380, 3097.456050, 0.000047, 0.397185, -1861.502300, 91.440000, 57.470000, 7.370000, 4.310000, 0.942498
1580.000000, 1.250000, 0.669274, 0.415940, 0.000000, 0.000000, 0.000000, 0.058890, 0.524450, 0.000720, 0.000000, 0.000000, 0.000000, 0.000000, -2596.658220, 46.559180, 11.228920, 0.194460, 3102.381060, 0.000046, 0.395252, -1864.197100, 91.940000, 57.700000, 7.380000, 4.310000, 0.940739
1560.000000, 1.250000, 0.682945, 0.415630, 0.000000, 0.000000, 0.000000, 0.060500, 0.523100, 0.000770, 0.000000, 0.000000, 0.000000, 0.000000, -2587.899540, 46.521390, 11.440690, 0.194080, 3107.197920, 0.000046, 0.393291, -1866.937300, 92.370000, 57.930000, 7.390000, 4.320000, 0.939070
1540.000000, 1.250000, 0.695145, 0.415340, 0.000000, 0.000000, 0.000000, 0.062010, 0.521840, 0.000820, 0.000000, 0.000000, 0.000000, 0.000000, -2579.221920, 46.483560, 11.627800, 0.192860, 3111.889940, 0.000046, 0.391302, -1869.732100, 92.810000, 58.170000, 7.400000, 4.320000, 0.937503
1520.000000, 1.250000, 0.706096, 0.415070, 0.000000, 0.000000, 0.000000, 0.063410, 0.520660, 0.000860, 0.000000, 0.000000, 0.000000, 0.000000, -2570.632880, 46.445630, 11.793550, 0.192970, 3116.442620, 0.000046, 0.389283, -1872.589900, 93.270000, 58.400000, 7.410000, 4.330000, 0.936047
1500.000000, 1.250000, 0.715946, 0.414820, 0.000000, 0.000000, 0.000000, 0.064720, 0.519550, 0.000910, 0.000000, 0.000000, 0.000000, 0.000000, -2562.123630, 46.407670, 11.940960, 0.192490, 3120.880330, 0.000046, 0.387235, -1875.497600, 93.730000, 58.640000, 7.420000, 4.330000, 0.934682
1480.000000, 1.250000, 0.724836, 0.414590, 0.000000, 0.000000, 0.000000, 0.065940, 0.518520, 0.000950, 0.000000, 0.000000, 0.000000, 0.000000, -2553.693590, 46.369670, 12.072430, 0.192140, 3125.207390, 0.000045, 0.385158, -1878.453200, 94.200000, 58.880000, 7.430000, 4.340000, 0.933409
1460.000000, 1.250000, 0.732889, 0.414370, 0.000000, 0.000000, 0.000000, 0.067090, 0.517550, 0.001000, 0.000000, 0.000000, 0.000000, 0.000000, -2545.338920, 46.331650, 12.189960, 0.191870, 3129.435850, 0.000045, 0.383053, -1881.450200, 94.650000, 59.120000, 7.450000, 4.350000, 0.932208
1440.000000, 1.250000, 0.740199, 0.414160, 0.000000, 0.000000, 0.000000, 0.068160, 0.516640, 0.001040, 0.000000, 0.000000, 0.000000, 0.000000, -2537.060820, 46.293600, 12.295170, 0.191480, 3133.565420, 0.000045, 0.380919, -1884.489100, 95.100000, 59.370000, 7.460000, 4.350000, 0.931088
1420.000000, 1.250000, 0.746856, 0.413970, 0.000000, 0.000000, 0.000000, 0.069160, 0.515790, 0.001080, 0.000000, 0.000000, 0.000000, 0.000000, -2528.857390, 46.255540, 12.389570, 0.191410, 3137.603270, 0.000045, 0.378756, -1887.566000, 95.590000, 59.620000, 7.470000, 4.360000, 0.930041
1400.000000, 1.250000, 0.752931, 0.413780, 0.000000, 0.000000, 0.000000, 0.070120, 0.514980, 0.001110, 0.000000, 0.000000, 0.000000, 0.000000, -2520.713050, 46.217530, 12.474700, 0.191570, 3141.587740, 0.000045, 0.376567, -1890.660000, 96.070000, 59.860000, 7.480000, 4.370000, 0.929035
1380.000000, 1.250000, 0.758496, 0.413620, 0.000000, 0.000000, 0.000000, 0.071000, 0.514230, 0.001150, 0.000000, 0.000000, 0.000000, 0.000000, -2512.653200, 46.179490, 12.551080, 0.190090, 3145.462780, 0.000044, 0.374347, -1893.801900, 96.480000, 60.110000, 7.490000, 4.370000, 0.928111
1360.000000, 1.250000, 0.763598, 0.413450, 0.000000, 0.000000, 0.000000, 0.071840, 0.513520, 0.001180, 0.000000, 0.000000, 0.000000, 0.000000, -2504.658500, 46.141480, 12.620050, 0.190530, 3149.275100, 0.000044, 0.372098, -1896.966200, 96.980000, 60.360000, 7.510000, 4.380000, 0.927229
1340.000000, 1.250000, 0.760436, 0.413240, 0.000000, 0.000000, 0.000000, 0.072940, 0.512550, 0.001270, 0.000000, 0.000000, 0.000000, 0.000000, -2496.574120, 46.105400, 12.552430, 0.190340, 3153.393880, 0.000044, 0.369850, -1899.951000, 97.430000, 60.600000, 7.520000, 4.380000, 0.926068
1320.000000, 1.250000, 0.748027, 0.412960, 0.000000, 0.000000, 0.000000, 0.074290, 0.511320, 0.001430, 0.000000, 0.000000, 0.000000, 0.000000, -2488.420230, 46.071820, 12.330270, 0.188900, 3157.776200, 0.000044, 0.367600, -1902.778100, 97.850000, 60.830000, 7.530000, 4.390000, 0.924635
1300.000000, 1.250000, 0.736423, 0.412710, 0.000000, 0.000000, 0.000000, 0.075540, 0.510150, 0.001590, 0.000000, 0.000000, 0.000000, 0.000000, -2480.364600, 46.038350, 12.122680, 0.188550, 3162.019480, 0.000044, 0.365316, -1905.667000, 98.300000, 61.060000, 7.540000, 4.390000, 0.923302
1280.000000, 1.250000, 0.725729, 0.412480, 0.000000, 0.000000, 0.000000, 0.076670, 0.509080, 0.001770, 0.000000, 0.000000, 0.000000, 0.000000, -2472.416340, 46.004860, 11.931210, 0.188910, 3166.105270, 0.000044, 0.362997, -1908.628200, 98.790000, 61.290000, 7.550000, 4.400000, 0.922093
1260.000000, 1.250000, 0.715738, 0.412260, 0.000000, 0.000000, 0.000000, 0.077700, 0.508090, 0.001940, 0.000000, 0.000000, 0.000000, 0.000000, -2464.562020, 45.971260, 11.752650, 0.188180, 3170.065250, 0.000043, 0.360642, -1911.644500, 99.240000, 61.530000, 7.560000, 4.410000, 0.920988
1240.000000, 1.250000, 0.706526, 0.412070, 0.000000, 0.000000, 0.000000, 0.078630, 0.507190, 0.002100, 0.000000, 0.000000, 0.000000, 0.000000, -2456.805130, 45.937450, 11.587170, 0.188460, 3173.894300, 0.000043, 0.358250, -1914.719100, 99.720000, 61.760000, 7.570000, 4.410000, 0.919987
