T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1780.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1760.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1740.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1720.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1700.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1680.000000, 1.250000, 0.100413, 0.421840, 0.000000, 0.000000, 0.000000, 0.027840, 0.550230, 0.000100, 0.000000, 0.000000, 0.000000, 0.000000, -2651.495160, 46.685070, 1.642780, 0.194390, 3050.756430, 0.000047, 0.402819, -1864.728700, 89.620000, 57.140000, 7.370000, 4.330000, 0.972399
1660.000000, 1.250000, 0.206766, 0.421140, 0.000000, 0.000000, 0.000000, 0.031520, 0.547210, 0.000130, 0.000000, 0.000000, 0.000000, 0.000000, -2641.743290, 46.650790, 3.374830, 0.194680, 3058.025330, 0.000047, 0.401128, -1866.303300, 90.110000, 57.330000, 7.380000, 4.330000, 0.968697
1640.000000, 1.250000, 0.290733, 0.420470, 0.000000, 0.000000, 0.000000, 0.035080, 0.544290, 0.000160, 0.000000, 0.000000, 0.000000, 0.000000, -2632.048060, 46.616560, 4.734300, 0.194230, 3065.159420, 0.000047, 0.399408, -1867.921000, 90.560000, 57.510000, 7.390000, 4.330000, 0.965105
1620.000000, 1.250000, 0.358602, 0.419820, 0.000000, 0.000000, 0.000000, 0.038510, 0.541470, 0.000190, 0.000000, 0.000000, 0.000000, 0.000000, -2622.418540, 46.582330, 5.826150, 0.193990, 3072.146060, 0.000047, 0.397658, -1869.591500, 91.000000, 57.700000, 7.390000, 4.330000, 0.961632
1600.000000, 1.250000, 0.414479, 0.419200, 0.000000, 0.000000, 0.000000, 0.041790, 0.538770, 0.000230, 0.000000, 0.000000, 0.000000, 0.000000, -2612.870720, 46.548040, 6.719100, 0.194110, 3078.954390, 0.000047, 0.395877, -1871.333300, 91.480000, 57.900000, 7.400000, 4.340000, 0.958301
1580.000000, 1.250000, 0.461162, 0.418620, 0.000000, 0.000000, 0.000000, 0.044900, 0.536210, 0.000270, 0.000000, 0.000000, 0.000000, 0.000000, -2603.416210, 46.513640, 7.459760, 0.194210, 3085.564550, 0.000046, 0.394062, -1873.159300, 91.980000, 58.090000, 7.410000, 4.340000, 0.955132
1560.000000, 1.250000, 0.500570, 0.418060, 0.000000, 0.000000, 0.000000, 0.047840, 0.533780, 0.000320, 0.000000, 0.000000, 0.000000, 0.000000, -2594.061430, 46.479100, 8.080450, 0.193850, 3091.969160, 0.000046, 0.392213, -1875.075300, 92.400000, 58.290000, 7.420000, 4.340000, 0.952128
1540.000000, 1.250000, 0.534160, 0.417540, 0.000000, 0.000000, 0.000000, 0.050600, 0.531500, 0.000360, 0.000000, 0.000000, 0.000000, 0.000000, -2584.813220, 46.444390, 8.605130, 0.192650, 3098.159360, 0.000046, 0.390329, -1877.087800, 92.850000, 58.490000, 7.430000, 4.350000, 0.949300
1520.000000, 1.250000, 0.563024, 0.417050, 0.000000, 0.000000, 0.000000, 0.053150, 0.529390, 0.000410, 0.000000, 0.000000, 0.000000, 0.000000, -2575.695980, 46.409400, 9.052260, 0.192780, 3104.083520, 0.000046, 0.388406, -1879.225800, 93.310000, 58.700000, 7.430000, 4.350000, 0.946680
1500.000000, 1.250000, 0.587909, 0.416600, 0.000000, 0.000000, 0.000000, 0.055520, 0.527410, 0.000460, 0.000000, 0.000000, 0.000000, 0.000000, -2566.685750, 46.374230, 9.435060, 0.192320, 3109.806520, 0.000046, 0.386448, -1881.455800, 93.760000, 58.910000, 7.440000, 4.350000, 0.944238
1480.000000, 1.250000, 0.609547, 0.416180, 0.000000, 0.000000, 0.000000, 0.057720, 0.525590, 0.000510, 0.000000, 0.000000, 0.000000, 0.000000, -2557.796030, 46.338840, 9.764490, 0.191990, 3115.302500, 0.000045, 0.384453, -1883.792800, 94.230000, 59.130000, 7.450000, 4.360000, 0.941967
1460.000000, 1.250000, 0.628405, 0.415800, 0.000000, 0.000000, 0.000000, 0.059720, 0.523920, 0.000560, 0.000000, 0.000000, 0.000000, 0.000000, -2549.034630, 46.303190, 10.048420, 0.191750, 3120.559060, 0.000045, 0.382419, -1886.244400, 94.680000, 59.350000, 7.460000, 4.360000, 0.939897
1440.000000, 1.250000, 0.644868, 0.415450, 0.000000, 0.000000, 0.000000, 0.061590, 0.522350, 0.000620, 0.000000, 0.000000, 0.000000, 0.000000, -2540.371610, 46.267420, 10.294480, 0.191370, 3125.652170, 0.000045, 0.380353, -1888.770400, 95.130000, 59.570000, 7.470000, 4.370000, 0.937957
1420.000000, 1.250000, 0.659353, 0.415090, 0.000000, 0.000000, 0.000000, 0.063470, 0.520780, 0.000670, 0.000000, 0.000000, 0.000000, 0.000000, -2531.729860, 46.231870, 10.510830, 0.191310, 3130.765020, 0.000045, 0.378264, -1891.271700, 95.610000, 59.790000, 7.480000, 4.370000, 0.936004
1400.000000, 1.250000, 0.672147, 0.414780, 0.000000, 0.000000, 0.000000, 0.065090, 0.519420, 0.000720, 0.000000, 0.000000, 0.000000, 0.000000, -2523.262910, 46.195840, 10.698250, 0.191490, 3135.544050, 0.000045, 0.376130, -1893.940600, 96.090000, 60.020000, 7.490000, 4.380000, 0.934318
1380.000000, 1.250000, 0.683478, 0.414490, 0.000000, 0.000000, 0.000000, 0.066570, 0.518170, 0.000770, 0.000000, 0.000000, 0.000000, 0.000000, -2514.905280, 46.159630, 10.862490, 0.190020, 3140.146640, 0.000044, 0.373961, -1896.692100, 96.500000, 60.260000, 7.500000, 4.380000, 0.932773
1360.000000, 1.250000, 0.693533, 0.414230, 0.000000, 0.000000, 0.000000, 0.067920, 0.517030, 0.000810, 0.000000, 0.000000, 0.000000, 0.000000, -2506.651230, 46.123270, 11.006250, 0.190470, 3144.590030, 0.000044, 0.371756, -1899.517400, 97.000000, 60.490000, 7.520000, 4.390000, 0.931363
1340.000000, 1.250000, 0.702494, 0.414000, 0.000000, 0.000000, 0.000000, 0.069120, 0.516010, 0.000860, 0.000000, 0.000000, 0.000000, 0.000000, -2498.515210, 46.086690, 11.133370, 0.190280, 3148.844910, 0.000044, 0.369515, -1902.432600, 97.450000, 60.730000, 7.530000, 4.390000, 0.930106
1320.000000, 1.250000, 0.710493, 0.413790, 0.000000, 0.000000, 0.000000, 0.070230, 0.515070, 0.000910, 0.000000, 0.000000, 0.000000, 0.000000, -2490.471320, 46.050040, 11.244180, 0.188830, 3152.974630, 0.000044, 0.367240, -1905.403500, 97.870000, 60.970000, 7.540000, 4.400000, 0.928943
1300.000000, 1.250000, 0.717637, 0.413590, 0.000000, 0.000000, 0.000000, 0.071240, 0.514210, 0.000950, 0.000000, 0.000000, 0.000000, 0.000000, -2482.520530, 46.013300, 11.341760, 0.188480, 3156.979780, 0.000044, 0.364931, -1908.430000, 98.330000, 61.220000, 7.550000, 4.400000, 0.927883
1280.000000, 1.250000, 0.724032, 0.413410, 0.000000, 0.000000, 0.000000, 0.072220, 0.513380, 0.000990, 0.000000, 0.000000, 0.000000, 0.000000, -2474.625410, 45.976600, 11.428520, 0.188850, 3160.946730, 0.000044, 0.362593, -1911.464800, 98.820000, 61.470000, 7.560000, 4.410000, 0.926854
1260.000000, 1.250000, 0.729791, 0.413230, 0.000000, 0.000000, 0.000000, 0.073120, 0.512620, 0.001030, 0.000000, 0.000000, 0.000000, 0.000000, -2466.820960, 45.939810, 11.505260, 0.188110, 3164.799500, 0.000043, 0.360220, -1914.549600, 99.270000, 61.710000, 7.570000, 4.420000, 0.925909
1240.000000, 1.250000, 0.734963, 0.413070, 0.000000, 0.000000, 0.000000, 0.073960, 0.511900, 0.001070, 0.000000, 0.000000, 0.000000, 0.000000, -2459.087540, 45.902990, 11.573050, 0.188390, 3168.584550, 0.000043, 0.357815, -1917.659100, 99.760000, 61.960000, 7.590000, 4.420000, 0.925024
