T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1080.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1060.000000, 1.250000, 0.010189, 0.510630, 0.001840, 0.037260, 0.001230, 0.061700, 0.159620, 0.221680, 0.002490, 0.000210, 0.003360, 0.000000, -3525.906650, 68.352540, 0.199930, 0.260490, 3228.491320, 0.000040, 0.482541, -2882.607300, 91.410000, 63.750000, 7.390000, 4.440000, 0.821795
1040.000000, 1.250000, 0.093357, 0.515800, 0.001740, 0.031880, 0.000850, 0.066010, 0.159370, 0.217630, 0.003260, 0.000450, 0.003010, 0.000000, -3508.906150, 68.306750, 1.831920, 0.259940, 3233.137740, 0.000040, 0.478815, -2880.150500, 92.070000, 62.240000, 7.360000, 4.390000, 0.811451
1020.000000, 1.250000, 0.156360, 0.521310, 0.001670, 0.026570, 0.000680, 0.068620, 0.160590, 0.212820, 0.004350, 0.000640, 0.002760, 0.000000, -3492.653400, 68.232350, 3.068130, 0.260440, 3235.876680, 0.000040, 0.474835, -2878.620200, 92.660000, 60.890000, 7.330000, 4.340000, 0.806638
1000.000000, 1.250000, 0.173940, 0.524880, 0.001620, 0.022870, 0.000660, 0.071620, 0.159650, 0.209990, 0.005250, 0.000880, 0.002580, 0.000000, -3477.469980, 68.186470, 3.410680, 0.259070, 3240.157660, 0.000040, 0.470964, -2877.861700, 93.350000, 59.830000, 7.310000, 4.300000, 0.798935
980.000000, 1.250000, 0.193056, 0.528890, 0.001590, 0.019110, 0.000620, 0.073380, 0.159730, 0.206730, 0.006410, 0.001080, 0.002460, 0.000000, -3462.984520, 68.121010, 3.783540, 0.258250, 3242.916050, 0.000039, 0.466884, -2877.908900, 94.030000, 58.830000, 7.290000, 4.260000, 0.795089
960.000000, 1.250000, 0.205210, 0.532250, 0.001590, 0.016040, 0.000570, 0.074460, 0.159490, 0.204370, 0.007470, 0.001360, 0.002390, 0.000000, -3449.796310, 68.066050, 4.020370, 0.257510, 3245.112680, 0.000039, 0.462721, -2879.192200, 94.740000, 58.030000, 7.280000, 4.230000, 0.792451
940.000000, 1.250000, 0.175154, 0.533180, 0.001590, 0.013790, 0.000510, 0.081750, 0.155190, 0.202080, 0.007840, 0.001830, 0.002250, 0.000000, -3431.774790, 68.068980, 3.421790, 0.257620, 3254.659770, 0.000039, 0.459241, -2874.646800, 95.570000, 57.160000, 7.260000, 4.190000, 0.771892
920.000000, 1.250000, 0.166988, 0.534700, 0.001600, 0.011740, 0.000540, 0.083720, 0.153300, 0.201580, 0.008330, 0.002270, 0.002220, 0.000000, -3419.333240, 68.057240, 3.259510, 0.257340, 3258.368290, 0.000039, 0.455178, -2876.237400, 96.390000, 56.680000, 7.260000, 4.170000, 0.765480
900.000000, 1.250000, 0.155878, 0.535710, 0.001610, 0.010190, 0.000570, 0.085080, 0.151630, 0.201710, 0.008550, 0.002740, 0.002200, 0.000000, -3408.129350, 68.051340, 3.040650, 0.256380, 3261.535400, 0.000039, 0.451016, -2879.019700, 97.190000, 56.390000, 7.270000, 4.160000, 0.760586
880.000000, 1.250000, 0.140300, 0.536310, 0.001630, 0.008900, 0.000630, 0.087060, 0.149570, 0.201880, 0.008720, 0.003130, 0.002170, 0.000000, -3396.552470, 68.045460, 2.733520, 0.255590, 3265.673100, 0.000039, 0.446868, -2881.246600, 97.930000, 56.130000, 7.270000, 4.150000, 0.753842
860.000000, 1.250000, 0.120169, 0.536490, 0.001630, 0.007860, 0.000710, 0.089740, 0.147090, 0.202090, 0.008810, 0.003440, 0.002140, 0.000000, -3384.533770, 68.040230, 2.337660, 0.255020, 3270.897930, 0.000038, 0.442739, -2882.843700, 98.620000, 55.910000, 7.280000, 4.130000, 0.745009
840.000000, 1.250000, 0.091852, 0.536100, 0.001630, 0.007040, 0.000880, 0.093830, 0.143730, 0.202160, 0.008860, 0.003680, 0.002090, 0.000000, -3371.236280, 68.038370, 1.782180, 0.254210, 3278.079100, 0.000038, 0.438706, -2882.890700, 99.240000, 55.670000, 7.270000, 4.120000, 0.731941
820.000000, 1.250000, 0.071889, 0.536070, 0.001550, 0.006380, 0.000870, 0.094480, 0.140510, 0.204550, 0.009200, 0.004170, 0.002220, 0.000000, -3362.107880, 68.058270, 1.393320, 0.253870, 3281.030650, 0.000038, 0.434322, -2887.328600, 100.130000, 55.630000, 7.290000, 4.120000, 0.726102
800.000000, 1.250000, 0.057539, 0.535760, 0.001430, 0.005870, 0.000860, 0.096260, 0.137050, 0.206180, 0.009510, 0.004720, 0.002370, 0.000000, -3351.633720, 68.078730, 1.114540, 0.252830, 3285.045230, 0.000038, 0.429970, -2890.211000, 100.980000, 55.580000, 7.300000, 4.110000, 0.717346
