T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1080.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1060.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1040.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1020.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1000.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
980.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
960.000000, 1.250000, 0.003680, 0.404760, 0.021600, 0.152280, 0.000000, 0.104880, 0.156950, 0.105310, 0.028030, 0.001830, 0.006080, 0.018280, -13626.692930, 281.736410, 0.070430, 1.072480, 3087.134070, 0.000040, 1.948542, -11223.848800, 72.970000, 57.950000, 6.980000, 4.330000, 0.727337
940.000000, 1.250000, 0.155233, 0.405730, 0.020810, 0.150420, 0.000000, 0.111830, 0.152640, 0.104780, 0.027180, 0.002360, 0.005920, 0.018310, -13555.839750, 281.750870, 2.959400, 1.068930, 3095.698030, 0.000039, 1.932433, -11211.508800, 73.140000, 57.600000, 6.960000, 4.310000, 0.708714
920.000000, 1.250000, 0.194068, 0.409040, 0.020340, 0.146340, 0.000000, 0.114320, 0.151930, 0.104970, 0.026080, 0.002710, 0.005910, 0.018350, -13495.770300, 281.664370, 3.704240, 1.065360, 3098.198450, 0.000039, 1.912368, -11214.028100, 73.170000, 57.680000, 6.960000, 4.310000, 0.703174
900.000000, 1.250000, 0.233638, 0.412980, 0.019760, 0.141910, 0.000000, 0.116310, 0.151560, 0.105320, 0.024770, 0.003090, 0.005890, 0.018410, -13436.344080, 281.571730, 4.466930, 1.061320, 3099.708360, 0.000039, 1.891143, -11217.749100, 73.140000, 57.740000, 6.960000, 4.320000, 0.699047
880.000000, 1.250000, 0.286190, 0.417490, 0.019090, 0.136990, 0.000000, 0.118650, 0.151050, 0.105650, 0.023400, 0.003360, 0.005830, 0.018480, -13374.376600, 281.470450, 5.480710, 1.054570, 3101.305590, 0.000039, 1.869378, -11218.703600, 73.030000, 57.780000, 6.960000, 4.320000, 0.694125
860.000000, 1.250000, 0.351176, 0.422620, 0.018260, 0.131560, 0.000000, 0.121410, 0.150370, 0.105970, 0.021970, 0.003530, 0.005730, 0.018570, -13309.726980, 281.367510, 6.736890, 1.050290, 3103.013030, 0.000039, 1.847130, -11216.651200, 72.860000, 57.740000, 6.950000, 4.310000, 0.688254
840.000000, 1.250000, 0.442621, 0.427950, 0.017310, 0.125840, 0.000000, 0.125360, 0.148970, 0.106180, 0.020510, 0.003620, 0.005590, 0.018670, -13239.972280, 281.283310, 8.499180, 1.047980, 3105.866450, 0.000038, 1.824954, -11208.525100, 72.660000, 57.650000, 6.940000, 4.310000, 0.679309
820.000000, 1.250000, 0.488287, 0.430310, 0.015960, 0.122840, 0.000000, 0.126790, 0.147710, 0.108310, 0.019690, 0.003900, 0.005690, 0.018810, -13192.028740, 281.326550, 9.386940, 1.044460, 3106.875820, 0.000038, 1.804339, -11219.615300, 72.790000, 56.850000, 6.920000, 4.280000, 0.674972
800.000000, 1.250000, 0.512691, 0.432540, 0.014310, 0.120030, 0.000000, 0.128880, 0.146230, 0.110130, 0.018870, 0.004250, 0.005780, 0.018980, -13142.025000, 281.379490, 9.874720, 1.041220, 3108.431980, 0.000038, 1.783905, -11227.627200, 72.930000, 55.770000, 6.880000, 4.240000, 0.669150
