T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1080.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1060.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1040.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1020.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1000.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
980.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
960.000000, 1.250000, 0.015630, 0.531940, 0.001020, 0.030150, 0.001260, 0.139030, 0.276520, 0.017580, 0.000360, 0.000000, 0.002130, 0.000000, -3311.097270, 65.360620, 0.301450, 0.264570, 3290.905410, 0.000038, 0.460876, -2742.767800, 81.080000, 64.080000, 7.110000, 4.410000, 0.779995
940.000000, 1.250000, 0.083692, 0.529610, 0.000950, 0.027850, 0.001140, 0.156750, 0.264010, 0.017420, 0.000350, 0.000000, 0.001910, 0.000000, -3284.289920, 65.429270, 1.603610, 0.264190, 3314.776230, 0.000038, 0.458573, -2727.971600, 81.750000, 63.150000, 7.080000, 4.360000, 0.750143
920.000000, 1.250000, 0.077749, 0.529970, 0.000890, 0.025800, 0.001170, 0.162580, 0.260830, 0.016630, 0.000350, 0.000000, 0.001780, 0.000000, -3268.404280, 65.412740, 1.486460, 0.263670, 3323.990690, 0.000038, 0.454808, -2725.749500, 82.300000, 62.850000, 7.070000, 4.350000, 0.740917
900.000000, 1.250000, 0.069019, 0.530160, 0.000840, 0.024090, 0.001240, 0.167840, 0.257950, 0.015880, 0.000340, 0.000000, 0.001660, 0.000000, -3253.173150, 65.392340, 1.316820, 0.262780, 3332.651490, 0.000038, 0.450921, -2724.175400, 82.850000, 62.620000, 7.060000, 4.330000, 0.732589
880.000000, 1.250000, 0.054884, 0.529840, 0.000790, 0.022480, 0.001340, 0.174600, 0.253820, 0.015250, 0.000330, 0.000000, 0.001540, 0.000000, -3236.546350, 65.383510, 1.044170, 0.262370, 3343.327380, 0.000038, 0.447154, -2720.911000, 83.410000, 62.340000, 7.060000, 4.320000, 0.721551
860.000000, 1.250000, 0.035176, 0.528910, 0.000740, 0.021000, 0.001510, 0.183200, 0.248140, 0.014760, 0.000310, 0.000000, 0.001420, 0.000000, -3218.120040, 65.388800, 0.666800, 0.261840, 3356.528640, 0.000038, 0.443549, -2715.513000, 83.970000, 61.980000, 7.050000, 4.300000, 0.707124
840.000000, 1.250000, 0.005294, 0.526880, 0.000680, 0.019720, 0.001860, 0.194970, 0.239820, 0.014470, 0.000300, 0.000000, 0.001310, 0.000000, -3196.443780, 65.418500, 0.099760, 0.260920, 3374.169110, 0.000038, 0.440273, -2706.354100, 84.530000, 61.480000, 7.020000, 4.270000, 0.686775
820.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
800.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
