T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1080.000000, 1.250000, 0.003719, 0.451090, 0.000000, 0.353580, 0.000000, 0.000000, 0.000000, 0.186450, 0.008850, 0.000030, 0.000000, 0.000000, -4739.093080, 102.720070, 0.067950, 0.341970, 2696.015820, 0.000023, 0.632744, -3882.895800, 75.760000, 36.390000, 6.790000, 3.670000, NaN
1060.000000, 1.250000, 0.056176, 0.453780, 0.000000, 0.351770, 0.000000, 0.000000, 0.000000, 0.184330, 0.010100, 0.000020, 0.000000, 0.000000, -4723.533480, 102.689170, 1.027780, 0.340140, 2695.095970, 0.000023, 0.627799, -3886.582800, 75.570000, 36.310000, 6.780000, 3.670000, NaN
1040.000000, 1.250000, 0.144050, 0.460710, 0.000000, 0.347100, 0.000000, 0.000000, 0.000000, 0.178860, 0.013290, 0.000050, 0.000000, 0.000000, -4703.456900, 102.684360, 2.639820, 0.339360, 2690.819830, 0.000023, 0.623012, -3885.348600, 74.790000, 35.990000, 6.750000, 3.660000, NaN
1020.000000, 1.250000, 0.237040, 0.470370, 0.000000, 0.340580, 0.000000, 0.000000, 0.000000, 0.171220, 0.017740, 0.000080, 0.000000, 0.000000, -4680.369620, 102.694200, 4.353470, 0.336290, 2684.436330, 0.000023, 0.618314, -3880.797300, 73.620000, 35.500000, 6.710000, 3.640000, NaN
1000.000000, 1.250000, 0.271564, 0.478160, 0.000000, 0.335330, 0.000000, 0.000000, 0.000000, 0.165070, 0.021320, 0.000120, 0.000000, 0.000000, -4659.349060, 102.691990, 4.997450, 0.335240, 2679.596770, 0.000024, 0.613471, -3878.308300, 72.730000, 35.130000, 6.680000, 3.620000, NaN
980.000000, 1.250000, 0.316854, 0.488140, 0.000000, 0.328590, 0.000000, 0.000000, 0.000000, 0.157190, 0.025900, 0.000180, 0.000000, 0.000000, -4635.915990, 102.700740, 5.844160, 0.332960, 2673.116030, 0.000024, 0.608688, -3873.138100, 71.540000, 34.630000, 6.640000, 3.600000, NaN
960.000000, 1.250000, 0.353740, 0.497650, 0.000000, 0.322160, 0.000000, 0.000000, 0.000000, 0.149660, 0.030250, 0.000270, 0.000000, 0.000000, -4613.024870, 102.706290, 6.539210, 0.332250, 2667.063340, 0.000024, 0.603828, -3868.414300, 70.430000, 34.170000, 6.590000, 3.580000, NaN
940.000000, 1.250000, 0.311866, 0.502110, 0.000000, 0.319130, 0.000000, 0.000000, 0.000000, 0.146130, 0.032250, 0.000380, 0.000000, 0.000000, -4595.864750, 102.684490, 5.769700, 0.331380, 2664.928510, 0.000024, 0.598642, -3869.621800, 70.000000, 34.010000, 6.580000, 3.570000, NaN
920.000000, 1.250000, 0.318267, 0.507400, 0.000000, 0.315540, 0.000000, 0.000000, 0.000000, 0.141930, 0.034620, 0.000510, 0.000000, 0.000000, -4577.858260, 102.666850, 5.894280, 0.330560, 2662.186040, 0.000025, 0.593432, -3869.804400, 69.460000, 33.810000, 6.560000, 3.560000, NaN
900.000000, 1.250000, 0.317397, 0.510490, 0.000000, 0.313430, 0.000000, 0.000000, 0.000000, 0.139460, 0.035980, 0.000640, 0.000000, 0.000000, -4562.408530, 102.637100, 5.880570, 0.328980, 2661.127040, 0.000025, 0.588031, -3872.559400, 69.210000, 33.730000, 6.550000, 3.560000, NaN
880.000000, 1.250000, 0.310202, 0.513150, 0.000000, 0.311620, 0.000000, 0.000000, 0.000000, 0.137350, 0.037140, 0.000740, 0.000000, 0.000000, -4547.560040, 102.603780, 5.748180, 0.328690, 2660.425490, 0.000025, 0.582524, -3875.822100, 69.020000, 33.680000, 6.540000, 3.560000, NaN
860.000000, 1.250000, 0.297098, 0.515130, 0.000000, 0.310260, 0.000000, 0.000000, 0.000000, 0.135770, 0.038010, 0.000820, 0.000000, 0.000000, -4533.562220, 102.565430, 5.505340, 0.327670, 2660.245510, 0.000025, 0.576890, -3879.859700, 68.900000, 33.670000, 6.540000, 3.560000, NaN
840.000000, 1.250000, 0.274647, 0.516520, 0.000000, 0.309320, 0.000000, 0.000000, 0.000000, 0.134670, 0.038620, 0.000870, 0.000000, 0.000000, -4520.358400, 102.522010, 5.086110, 0.329180, 2660.549800, 0.000026, 0.571116, -3884.621100, 68.840000, 33.700000, 6.540000, 3.560000, NaN
820.000000, 1.250000, 0.269126, 0.519790, 0.000000, 0.307080, 0.000000, 0.000000, 0.000000, 0.132060, 0.040060, 0.001010, 0.000000, 0.000000, -4505.118540, 102.489450, 4.983710, 0.330190, 2659.464350, 0.000026, 0.565320, -3887.139200, 68.480000, 33.620000, 6.530000, 3.560000, NaN
800.000000, 1.250000, 0.270708, 0.523310, 0.000000, 0.304670, 0.000000, 0.000000, 0.000000, 0.129250, 0.041590, 0.001180, 0.000000, 0.000000, -4489.710330, 102.456650, 5.018300, 0.333070, 2658.259670, 0.000028, 0.559384, -3889.407000, 68.070000, 33.520000, 6.510000, 3.550000, NaN
780.000000, 1.250000, 0.273530, 0.526720, 0.000000, 0.302340, 0.000000, 0.000000, 0.000000, 0.126530, 0.043060, 0.001350, 0.000000, 0.000000, -4474.546970, 102.421270, 5.074730, 0.334220, 2657.205600, 0.000028, 0.553289, -3891.851100, 67.710000, 33.440000, 6.500000, 3.550000, NaN
760.000000, 1.250000, 0.281145, 0.530050, 0.000000, 0.300060, 0.000000, 0.000000, 0.000000, 0.123870, 0.044510, 0.001520, 0.000000, 0.000000, -4459.580150, 102.383290, 5.217940, 0.333740, 2656.252690, 0.000029, 0.547057, -3894.387700, 67.420000, 33.360000, 6.490000, 3.540000, NaN
740.000000, 1.250000, 0.311587, 0.533430, 0.000000, 0.297770, 0.000000, 0.000000, 0.000000, 0.121190, 0.046050, 0.001550, 0.000000, 0.000000, -4444.679730, 102.339170, 5.785410, 0.332360, 2655.333240, 0.000029, 0.540709, -3896.860200, 67.140000, 33.280000, 6.480000, 3.540000, NaN
