T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1080.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1060.000000, 1.250000, 0.006409, 0.000000, 0.171410, 0.036000, 0.002650, 0.562420, 0.186010, 0.000000, 0.000000, 0.000000, 0.041500, 0.000000, -1991.600280, 46.309920, 0.119330, 0.200840, 4225.657140, 0.000043, 0.402559, -1454.929100, 142.740000, 90.010000, 7.890000, 4.620000, 0.370889
1040.000000, 1.250000, 0.020097, 0.000000, 0.090340, 0.035660, 0.003690, 0.710950, 0.106540, 0.000000, 0.000000, 0.000000, 0.052810, 0.000000, -1807.487330, 46.198240, 0.368640, 0.201400, 4504.020340, 0.000046, 0.414183, -1263.602400, 141.870000, 85.910000, 7.550000, 4.370000, 0.210812
1020.000000, 1.250000, 0.033650, 0.000000, 0.098090, 0.030230, 0.002480, 0.716010, 0.101390, 0.000000, 0.000000, 0.000000, 0.051800, 0.000000, -1792.141010, 46.277440, 0.615240, 0.201770, 4522.314410, 0.000045, 0.413098, -1257.943000, 142.580000, 85.280000, 7.530000, 4.340000, 0.201543
1000.000000, 1.250000, 0.038503, 0.000000, 0.110410, 0.026620, 0.002160, 0.711630, 0.099420, 0.000000, 0.000000, 0.000000, 0.049770, 0.000000, -1788.734190, 46.350230, 0.700360, 0.202250, 4524.921090, 0.000045, 0.411018, -1265.446900, 143.520000, 84.750000, 7.530000, 4.330000, 0.199382
980.000000, 1.250000, 0.039159, 0.000000, 0.159380, 0.021040, 0.001140, 0.648940, 0.126950, 0.000000, 0.000000, 0.000000, 0.042550, 0.000000, -1857.956800, 46.503860, 0.710720, 0.201010, 4417.036750, 0.000043, 0.403512, -1352.295400, 144.910000, 85.680000, 7.660000, 4.400000, 0.258553
960.000000, 1.250000, 0.043530, 0.000000, 0.164980, 0.018700, 0.000930, 0.646840, 0.126790, 0.000000, 0.000000, 0.000000, 0.041750, 0.000000, -1851.855310, 46.518690, 0.788670, 0.200760, 4419.171500, 0.000043, 0.400726, -1357.699500, 145.660000, 85.670000, 7.670000, 4.400000, 0.258932
940.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
920.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
900.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
880.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
860.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
840.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
820.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
800.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
