T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1080.000000, 1.250000, 0.003719, 0.003399, 0.451090, 0.000000, 0.353580, 0.000000, 0.000000, 0.000000, 0.186450, 0.008850, 0.000030, 0.000000, 0.000000, 2696.015820
1060.000000, 1.250000, 0.081463, 0.066574, 0.376785, 0.021456, 0.254598, 0.001218, 0.127395, 0.046797, 0.154837, 0.007276, 0.000040, 0.009598, 0.000000, 2967.326696
1040.000000, 1.250000, 0.301608, 0.228054, 0.403157, 0.020800, 0.180727, 0.000648, 0.129420, 0.096698, 0.152886, 0.007356, 0.000163, 0.008149, 0.000000, 3065.974435
1020.000000, 1.250000, 0.511800, 0.371827, 0.414637, 0.018449, 0.169709, 0.000454, 0.127628, 0.107631, 0.144455, 0.009545, 0.000233, 0.007258, 0.000000, 3064.288676
1000.000000, 1.250000, 0.581391, 0.417069, 0.421185, 0.017781, 0.166754, 0.000418, 0.128259, 0.106887, 0.140062, 0.011529, 0.000319, 0.006805, 0.000000, 3059.657969
980.000000, 1.250000, 0.664067, 0.472179, 0.429125, 0.017138, 0.165118, 0.000380, 0.126511, 0.105454, 0.135225, 0.014221, 0.000400, 0.006428, 0.000000, 3048.233364
960.000000, 1.250000, 0.733760, 0.519428, 0.439238, 0.016683, 0.163565, 0.000351, 0.123018, 0.103307, 0.130303, 0.016821, 0.000520, 0.006096, 0.000092, 3036.782768
940.000000, 1.250000, 0.794286, 0.572750, 0.449821, 0.016168, 0.162272, 0.000332, 0.117431, 0.099621, 0.124252, 0.019740, 0.001014, 0.005768, 0.003578, 3040.246616
920.000000, 1.250000, 0.822282, 0.597665, 0.451626, 0.015842, 0.162789, 0.000323, 0.116363, 0.098296, 0.122218, 0.021280, 0.001298, 0.005634, 0.004331, 3033.330536
900.000000, 1.250000, 0.837802, 0.615093, 0.451912, 0.015712, 0.163267, 0.000318, 0.115727, 0.097547, 0.121042, 0.022157, 0.001614, 0.005567, 0.005134, 3028.834008
880.000000, 1.250000, 0.848749, 0.631255, 0.451235, 0.015682, 0.163878, 0.000313, 0.115107, 0.097016, 0.120180, 0.022927, 0.001921, 0.005505, 0.006231, 3024.376150
860.000000, 1.250000, 0.855407, 0.646173, 0.449531, 0.015671, 0.164444, 0.000310, 0.114929, 0.096654, 0.119657, 0.023471, 0.002217, 0.005485, 0.007624, 3020.263764
840.000000, 1.250000, 0.858674, 0.661988, 0.446399, 0.015603, 0.165234, 0.000313, 0.114750, 0.096650, 0.119521, 0.023875, 0.002538, 0.005493, 0.009624, 3015.122529
820.000000, 1.250000, 0.868545, 0.678767, 0.447347, 0.015605, 0.165180, 0.000308, 0.113399, 0.096300, 0.118741, 0.024244, 0.002851, 0.005456, 0.010575, 3010.448448
800.000000, 1.250000, 0.877948, 0.693584, 0.449060, 0.015526, 0.164788, 0.000305, 0.113154, 0.095389, 0.117678, 0.024467, 0.003155, 0.005396, 0.011084, 3006.746158
780.000000, 1.250000, 0.886408, 0.707653, 0.450729, 0.015455, 0.164389, 0.000302, 0.112953, 0.094546, 0.116702, 0.024622, 0.003441, 0.005346, 0.011507, 3002.950295
760.000000, 1.250000, 0.896631, 0.723228, 0.452893, 0.015360, 0.164109, 0.000300, 0.112188, 0.093642, 0.115632, 0.024757, 0.004024, 0.005287, 0.011818, 2996.847040
740.000000, 1.250000, 0.919791, 0.748462, 0.457794, 0.015103, 0.164195, 0.000291, 0.109715, 0.091778, 0.113404, 0.024938, 0.005816, 0.005168, 0.011795, 2980.268826
