T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1250.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1230.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1210.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1190.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1170.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1150.000000, 1.250000, 0.024909, 0.000000, 0.090140, 0.048860, 0.003830, 0.614890, 0.186660, 0.000000, 0.000000, 0.000000, 0.055620, 0.000000, -1965.279080, 45.958880, 0.545840, 0.199940, 4258.878380, 0.000047, 0.413007, -1377.508100, 137.600000, 92.470000, 7.830000, 4.660000, 0.351122
1130.000000, 1.250000, 0.010847, 0.000000, 0.149730, 0.031370, 0.001460, 0.548530, 0.220670, 0.000000, 0.000000, 0.000000, 0.048230, 0.000000, -2028.703200, 46.235380, 0.239340, 0.200170, 4154.215430, 0.000045, 0.407157, -1457.400300, 138.910000, 93.410000, 7.960000, 4.740000, 0.417625
1110.000000, 1.250000, 0.045238, 0.000000, 0.069160, 0.026220, 0.002540, 0.690270, 0.151250, 0.000000, 0.000000, 0.000000, 0.060560, 0.000000, -1855.766750, 46.121620, 0.993210, 0.202020, 4402.756970, 0.000048, 0.417117, -1278.831000, 137.510000, 90.740000, 7.660000, 4.540000, 0.280879
1090.000000, 1.250000, 0.057718, 0.000000, 0.063250, 0.022620, 0.002030, 0.709960, 0.140550, 0.000000, 0.000000, 0.000000, 0.061600, 0.000000, -1822.732580, 46.127240, 1.264820, 0.200810, 4445.243540, 0.000049, 0.416811, -1254.556600, 137.880000, 90.250000, 7.620000, 4.510000, 0.260841
1070.000000, 1.250000, 0.023732, 0.000000, 0.183870, 0.015530, 0.000470, 0.529740, 0.226480, 0.000000, 0.000000, 0.000000, 0.043910, 0.000000, -2023.288120, 46.401200, 0.521660, 0.200490, 4143.043560, 0.000044, 0.399893, -1486.172200, 141.210000, 93.400000, 8.010000, 4.750000, 0.432493
