T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1150.000000, 1.250000, 0.996948, 0.975301, 0.511010, 0.010990, 0.171420, 0.000310, 0.082780, 0.052570, 0.087120, 0.031680, 0.009250, 0.006650, 0.036220, 2408.040580, 1.095053
1130.000000, 1.250000, 0.997251, 0.977683, 0.507840, 0.011170, 0.172390, 0.000270, 0.083540, 0.052860, 0.087560, 0.031810, 0.009340, 0.006690, 0.036540, 2413.988470, 1.174940
1110.000000, 1.250000, 0.976993, 0.953195, 0.510130, 0.011360, 0.168900, 0.000290, 0.084730, 0.053860, 0.085730, 0.032130, 0.009480, 0.006810, 0.036590, 2417.784930, 1.309408
1090.000000, 1.250000, 0.889779, 0.862975, 0.525350, 0.012490, 0.160220, 0.000180, 0.075240, 0.056370, 0.081670, 0.034370, 0.010410, 0.005840, 0.037860, 2398.393240, 1.547430
1070.000000, 1.250000, 0.823799, 0.796547, 0.539100, 0.013230, 0.152550, 0.000120, 0.066890, 0.058720, 0.078230, 0.036060, 0.011190, 0.005020, 0.038880, 2382.748810, 1.766842
1050.000000, 1.250000, 0.772953, 0.745710, 0.551020, 0.013680, 0.145970, 0.000100, 0.059690, 0.060880, 0.075480, 0.037300, 0.011890, 0.004330, 0.039660, 2370.968670, 1.971029
1030.000000, 1.250000, 0.726740, 0.699452, 0.561260, 0.013700, 0.140660, 0.000080, 0.053980, 0.062440, 0.072830, 0.038360, 0.012590, 0.003760, 0.040350, 2361.572070, 2.159715
1010.000000, 1.250000, 0.625383, 0.602125, 0.583160, 0.013450, 0.138350, 0.000060, 0.045330, 0.058130, 0.060960, 0.041220, 0.014360, 0.002920, 0.042060, 2329.519420, 2.415256
990.000000, 1.250000, 0.542893, 0.522444, 0.602800, 0.011760, 0.136670, 0.000050, 0.038660, 0.053550, 0.051240, 0.043400, 0.016200, 0.002360, 0.043300, 2303.249450, 2.645205
970.000000, 1.250000, 0.473844, 0.456779, 0.623050, 0.011050, 0.132790, 0.000040, 0.034180, 0.047000, 0.044570, 0.043600, 0.018190, 0.002040, 0.043490, 2285.149870, 2.941148
950.000000, 1.250000, 0.416713, 0.404997, 0.641560, 0.010220, 0.130460, 0.000040, 0.029080, 0.039260, 0.039280, 0.043700, 0.020760, 0.001710, 0.043920, 2266.068710, 3.231878
930.000000, 1.250000, 0.373067, 0.364167, 0.659030, 0.011290, 0.125590, 0.000040, 0.025350, 0.033540, 0.035140, 0.042280, 0.022320, 0.001500, 0.043900, 2254.321380, 3.562981
910.000000, 1.250000, 0.334777, 0.329198, 0.675420, 0.010190, 0.121760, 0.000030, 0.022340, 0.028900, 0.031510, 0.040550, 0.024510, 0.001300, 0.043500, 2244.718580, 3.874573
890.000000, 1.250000, 0.301735, 0.298244, 0.688810, 0.008800, 0.118910, 0.000020, 0.019800, 0.025270, 0.028540, 0.038670, 0.026900, 0.001150, 0.043120, 2237.411530, 4.165870
870.000000, 1.250000, 0.274401, 0.272602, 0.702790, 0.007550, 0.115240, 0.000020, 0.017430, 0.022140, 0.025960, 0.036260, 0.029090, 0.001020, 0.042510, 2231.472180, 4.485722
850.000000, 1.250000, 0.251405, 0.251106, 0.713840, 0.006510, 0.112640, 0.000010, 0.015380, 0.019700, 0.023900, 0.033890, 0.031320, 0.000920, 0.041890, 2227.887900, 4.795690
830.000000, 1.250000, 0.232569, 0.233331, 0.725700, 0.005580, 0.108810, 0.000020, 0.013830, 0.017470, 0.022490, 0.030370, 0.034190, 0.000830, 0.040720, 2226.918440, 5.162620
810.000000, 1.250000, 0.215446, 0.217614, 0.734600, 0.004880, 0.106420, 0.000010, 0.012240, 0.015670, 0.021100, 0.028360, 0.035440, 0.000750, 0.040540, 2223.536640, 5.462637
790.000000, 1.250000, 0.201488, 0.204747, 0.741930, 0.004230, 0.104460, 0.000010, 0.010970, 0.013900, 0.020000, 0.025420, 0.038590, 0.000680, 0.039800, 2223.436060, 5.795755
770.000000, 1.250000, 0.189682, 0.193985, 0.748870, 0.003730, 0.102440, 0.000010, 0.009960, 0.012700, 0.019370, 0.022860, 0.040250, 0.000630, 0.039180, 2223.845970, 6.136145
750.000000, 1.250000, 0.179688, 0.184928, 0.756000, 0.003220, 0.100150, 0.000010, 0.009140, 0.011760, 0.019150, 0.020480, 0.041200, 0.000590, 0.038310, 2225.447820, 6.507548
730.000000, 1.250000, 0.171277, 0.177483, 0.762330, 0.002780, 0.098260, 0.000010, 0.008300, 0.010890, 0.018980, 0.018260, 0.042060, 0.000550, 0.037580, 2226.910260, 6.882153
710.000000, 1.250000, 0.166418, 0.173910, 0.767880, 0.002410, 0.096660, 0.000000, 0.007620, 0.010210, 0.018900, 0.016180, 0.042810, 0.000500, 0.036820, 2229.042530, 7.268875
690.000000, 1.250000, 0.156612, 0.164496, 0.766010, 0.002090, 0.099230, 0.000000, 0.007400, 0.010530, 0.020900, 0.013970, 0.043550, 0.000450, 0.035850, 2237.607890, 7.647954
670.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
650.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
