T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1150.000000, 1.250000, 0.996948, 0.511010, 0.010990, 0.171420, 0.000310, 0.082780, 0.052570, 0.087120, 0.031680, 0.009250, 0.006650, 0.036220, -2178.361960, 54.610890, 23.798870, 0.202340, 2408.040580, 0.000221, 0.359481, -1666.766500, 15.590000, 0.000000, 2.540000, 0.000000, 0.530961
1130.000000, 1.250000, 0.997251, 0.507840, 0.011170, 0.172390, 0.000270, 0.083540, 0.052860, 0.087560, 0.031810, 0.009340, 0.006690, 0.036540, -2170.701930, 54.499020, 23.698810, 0.202500, 2413.988470, 0.000222, 0.356824, -1670.024500, 15.590000, 0.000000, 2.540000, 0.000000, 0.530055
1110.000000, 1.250000, 0.976993, 0.510130, 0.011360, 0.168900, 0.000290, 0.084730, 0.053860, 0.085730, 0.032130, 0.009480, 0.006810, 0.036590, -2168.944420, 54.611320, 23.237690, 0.203420, 2417.784930, 0.000224, 0.355120, -1677.759900, 15.570000, 0.000000, 2.540000, 0.000000, 0.531200
1090.000000, 1.250000, 0.889779, 0.525350, 0.012490, 0.160220, 0.000180, 0.075240, 0.056370, 0.081670, 0.034370, 0.010410, 0.005840, 0.037860, -2191.243600, 55.452000, 21.271180, 0.204710, 2398.393240, 0.000228, 0.357196, -1704.331700, 15.380000, 0.000000, 2.530000, 0.000000, 0.571824
1070.000000, 1.250000, 0.823799, 0.539100, 0.013230, 0.152550, 0.000120, 0.066890, 0.058720, 0.078230, 0.036060, 0.011190, 0.005020, 0.038880, -2211.236960, 56.202520, 19.788840, 0.206060, 2382.748810, 0.000232, 0.358629, -1729.543900, 15.240000, 0.000000, 2.530000, 0.000000, 0.610110
1050.000000, 1.250000, 0.772953, 0.551020, 0.013680, 0.145970, 0.000100, 0.059690, 0.060880, 0.075480, 0.037300, 0.011890, 0.004330, 0.039660, -2227.633620, 56.823430, 18.636590, 0.207520, 2370.968670, 0.000234, 0.359303, -1752.222200, 15.150000, 0.000000, 2.530000, 0.000000, 0.645149
1030.000000, 1.250000, 0.726740, 0.561260, 0.013700, 0.140660, 0.000080, 0.053980, 0.062440, 0.072830, 0.038360, 0.012590, 0.003760, 0.040350, -2240.347070, 57.349060, 17.557060, 0.208510, 2361.572070, 0.000236, 0.359458, -1771.919600, 15.070000, 0.000000, 2.530000, 0.000000, 0.673407
1010.000000, 1.250000, 0.625383, 0.583160, 0.013450, 0.138350, 0.000060, 0.045330, 0.058130, 0.060960, 0.041220, 0.014360, 0.002920, 0.042060, -2270.597940, 58.707350, 15.187890, 0.209910, 2329.519420, 0.000242, 0.362898, -1804.944900, 14.550000, 0.000000, 2.500000, 0.000000, 0.695668
990.000000, 1.250000, 0.542893, 0.602800, 0.011760, 0.136670, 0.000050, 0.038660, 0.053550, 0.051240, 0.043400, 0.016200, 0.002360, 0.043300, -2295.865940, 59.908380, 13.229180, 0.210740, 2303.249450, 0.000246, 0.365274, -1834.470100, 14.140000, 0.000000, 2.480000, 0.000000, 0.711741
970.000000, 1.250000, 0.473844, 0.623050, 0.011050, 0.132790, 0.000040, 0.034180, 0.047000, 0.044570, 0.043600, 0.018190, 0.002040, 0.043490, -2316.666420, 60.957310, 11.573220, 0.211550, 2285.149870, 0.000246, 0.366022, -1861.645600, 13.920000, 0.000000, 2.470000, 0.000000, 0.710240
950.000000, 1.250000, 0.416713, 0.641560, 0.010220, 0.130460, 0.000040, 0.029080, 0.039260, 0.039280, 0.043700, 0.020760, 0.001710, 0.043920, -2331.915590, 61.887000, 10.200450, 0.211610, 2266.068710, 0.000246, 0.365897, -1884.368300, 13.680000, 0.000000, 2.460000, 0.000000, 0.706449
930.000000, 1.250000, 0.373067, 0.659030, 0.011290, 0.125590, 0.000040, 0.025350, 0.033540, 0.035140, 0.042280, 0.022320, 0.001500, 0.043900, -2342.072300, 62.570130, 9.132560, 0.212010, 2254.321380, 0.000246, 0.364289, -1903.777500, 13.550000, 0.000000, 2.450000, 0.000000, 0.702243
910.000000, 1.250000, 0.334777, 0.675420, 0.010190, 0.121760, 0.000030, 0.022340, 0.028900, 0.031510, 0.040550, 0.024510, 0.001300, 0.043500, -2364.120620, 63.538290, 8.209000, 0.213400, 2244.718580, 0.000245, 0.364182, -1933.238800, 13.500000, 0.000000, 2.450000, 0.000000, 0.697518
890.000000, 1.250000, 0.301735, 0.688810, 0.008800, 0.118910, 0.000020, 0.019800, 0.025270, 0.028540, 0.038670, 0.026900, 0.001150, 0.043120, -2383.170260, 64.386550, 7.402130, 0.214650, 2237.411530, 0.000243, 0.363566, -1960.288700, 13.470000, 0.000000, 2.450000, 0.000000, 0.694656
