T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1150.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1130.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1110.000000, 1.250000, 0.019301, 0.016932, 0.457630, 0.000000, 0.349180, 0.000000, 0.000000, 0.000000, 0.181290, 0.011870, 0.000030, 0.000000, 0.000000, 2688.902610
1090.000000, 1.250000, 0.103231, 0.081913, 0.367817, 0.000630, 0.284119, 0.001089, 0.157067, 0.021898, 0.142607, 0.010686, 0.000032, 0.014056, 0.000000, 2931.512986
1070.000000, 1.250000, 0.166748, 0.130196, 0.363233, 0.001333, 0.276808, 0.000952, 0.168797, 0.024300, 0.137669, 0.011710, 0.000039, 0.015157, 0.000000, 2950.752659
1050.000000, 1.250000, 0.215623, 0.167041, 0.364577, 0.002505, 0.273297, 0.000859, 0.169952, 0.025625, 0.134882, 0.012964, 0.000039, 0.015292, 0.000000, 2952.677600
1030.000000, 1.250000, 0.259894, 0.199981, 0.368501, 0.004427, 0.267969, 0.000788, 0.167654, 0.028006, 0.133213, 0.014330, 0.000046, 0.015056, 0.000000, 2953.838542
1010.000000, 1.250000, 0.356897, 0.268851, 0.389366, 0.007539, 0.236954, 0.000629, 0.153152, 0.044964, 0.138046, 0.015770, 0.000137, 0.013453, 0.000000, 2977.411065
990.000000, 1.250000, 0.435326, 0.323840, 0.402411, 0.011132, 0.222233, 0.000543, 0.142569, 0.053627, 0.137039, 0.017941, 0.000200, 0.012305, 0.000000, 2979.548373
970.000000, 1.250000, 0.501170, 0.371317, 0.412438, 0.011886, 0.214583, 0.000486, 0.133930, 0.060439, 0.132242, 0.021057, 0.000309, 0.011354, 0.001273, 2973.211633
950.000000, 1.250000, 0.556344, 0.413187, 0.419757, 0.011719, 0.210269, 0.000447, 0.127288, 0.064974, 0.127819, 0.023897, 0.000436, 0.010647, 0.002749, 2965.412202
930.000000, 1.250000, 0.598101, 0.444915, 0.425950, 0.011545, 0.207378, 0.000423, 0.122866, 0.067048, 0.124328, 0.026119, 0.000536, 0.010168, 0.003644, 2958.195255
910.000000, 1.250000, 0.635170, 0.474847, 0.432245, 0.011949, 0.204707, 0.000403, 0.118945, 0.067589, 0.120995, 0.028088, 0.000656, 0.009769, 0.004648, 2952.569659
890.000000, 1.250000, 0.666927, 0.500749, 0.437951, 0.012553, 0.202663, 0.000387, 0.115656, 0.067485, 0.118225, 0.029747, 0.000770, 0.009442, 0.005118, 2945.438703
870.000000, 1.250000, 0.693154, 0.522898, 0.443018, 0.012948, 0.201041, 0.000375, 0.112991, 0.067128, 0.115840, 0.031124, 0.000895, 0.009185, 0.005452, 2938.643208
850.000000, 1.250000, 0.715413, 0.542923, 0.447548, 0.013163, 0.199760, 0.000364, 0.110645, 0.066734, 0.113758, 0.032296, 0.001023, 0.008970, 0.005730, 2932.207888
830.000000, 1.250000, 0.733579, 0.559990, 0.451584, 0.013302, 0.198625, 0.000357, 0.108910, 0.066092, 0.111970, 0.033268, 0.001159, 0.008801, 0.005929, 2926.784407
810.000000, 1.250000, 0.750305, 0.576695, 0.455120, 0.013385, 0.197641, 0.000350, 0.107316, 0.065622, 0.110460, 0.034032, 0.001297, 0.008654, 0.006121, 2922.023541
790.000000, 1.250000, 0.764013, 0.591570, 0.458264, 0.013412, 0.196782, 0.000345, 0.106010, 0.065108, 0.109124, 0.034688, 0.001450, 0.008533, 0.006284, 2918.016078
770.000000, 1.250000, 0.775735, 0.605323, 0.461054, 0.013430, 0.196039, 0.000340, 0.104821, 0.064672, 0.107953, 0.035222, 0.001597, 0.008431, 0.006433, 2914.551032
750.000000, 1.250000, 0.785769, 0.618084, 0.463558, 0.013426, 0.195359, 0.000336, 0.103822, 0.064261, 0.106908, 0.035673, 0.001751, 0.008344, 0.006567, 2911.701043
730.000000, 1.250000, 0.794280, 0.629959, 0.465722, 0.013421, 0.194726, 0.000333, 0.103005, 0.063892, 0.105997, 0.036037, 0.001901, 0.008276, 0.006691, 2909.525050
710.000000, 1.250000, 0.799878, 0.641168, 0.466499, 0.013436, 0.194360, 0.000331, 0.102523, 0.063654, 0.105401, 0.036353, 0.001989, 0.008233, 0.007220, 2905.982774
690.000000, 1.250000, 0.809790, 0.655439, 0.469744, 0.013352, 0.193633, 0.000327, 0.101254, 0.062895, 0.104311, 0.036565, 0.002494, 0.008140, 0.007286, 2903.713562
670.000000, 1.250000, 0.960500, 0.793692, 0.521564, 0.011601, 0.178536, 0.000277, 0.086693, 0.054770, 0.091027, 0.033079, 0.009034, 0.006943, 0.006474, 2850.173091
650.000000, 1.250000, 0.961558, 0.802874, 0.521653, 0.011593, 0.178464, 0.000277, 0.086626, 0.054712, 0.090934, 0.033055, 0.009122, 0.006937, 0.006630, 2852.502757
