T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1250.000000, 1.250000, 1.000000, 1.000000, 0.558390, 0.011040, 0.173460, 0.000240, 0.080470, 0.042770, 0.072070, 0.037780, 0.016350, 0.007430, 0.000000, 2593.687490, 2.408277
1230.000000, 1.250000, 1.000000, 1.000000, 0.557520, 0.011050, 0.173590, 0.000240, 0.081140, 0.042840, 0.072280, 0.037540, 0.016310, 0.007480, 0.000000, 2597.326340, 2.541621
1210.000000, 1.250000, 0.979690, 0.980048, 0.559180, 0.011240, 0.170350, 0.000240, 0.082540, 0.043770, 0.070610, 0.037790, 0.016670, 0.007600, 0.000000, 2598.820260, 2.696329
1190.000000, 1.250000, 0.936525, 0.937597, 0.564720, 0.011490, 0.163610, 0.000260, 0.084310, 0.044990, 0.066640, 0.039090, 0.017140, 0.007750, 0.000000, 2596.154270, 2.885331
1170.000000, 1.250000, 0.898580, 0.899769, 0.562980, 0.012260, 0.157860, 0.000270, 0.089970, 0.047700, 0.064840, 0.037720, 0.018120, 0.008290, 0.000000, 2605.485020, 2.992923
1150.000000, 1.250000, 0.832664, 0.838841, 0.574580, 0.012990, 0.150220, 0.000200, 0.086020, 0.048630, 0.061720, 0.038200, 0.019550, 0.007890, 0.000000, 2594.451280, 3.290579
1130.000000, 1.250000, 0.747999, 0.761820, 0.591280, 0.013180, 0.141870, 0.000140, 0.077440, 0.049740, 0.060450, 0.037360, 0.021530, 0.007010, 0.000000, 2577.347690, 3.659942
1110.000000, 1.250000, 0.666097, 0.686484, 0.610280, 0.011450, 0.133950, 0.000110, 0.068620, 0.049600, 0.059630, 0.036200, 0.024030, 0.006120, 0.000000, 2556.391870, 4.045576
1090.000000, 1.250000, 0.601419, 0.626059, 0.627460, 0.010300, 0.126060, 0.000100, 0.062670, 0.047420, 0.059660, 0.034730, 0.026000, 0.005590, 0.000000, 2538.923240, 4.448959
1070.000000, 1.250000, 0.534896, 0.562599, 0.642910, 0.010000, 0.120820, 0.000080, 0.057620, 0.043320, 0.057630, 0.033470, 0.029020, 0.005140, 0.000000, 2521.444060, 4.888538
1050.000000, 1.250000, 0.455755, 0.487286, 0.664650, 0.009980, 0.116900, 0.000070, 0.050520, 0.038100, 0.050600, 0.031330, 0.033290, 0.004570, 0.000000, 2494.851170, 5.452491
1030.000000, 1.250000, 0.400616, 0.434505, 0.687780, 0.008770, 0.112680, 0.000060, 0.043340, 0.033170, 0.044720, 0.029720, 0.035860, 0.003910, 0.000000, 2468.259070, 6.012520
1010.000000, 1.250000, 0.360340, 0.394836, 0.703600, 0.008460, 0.108350, 0.000050, 0.038780, 0.030570, 0.041170, 0.025920, 0.039530, 0.003560, 0.000000, 2452.086270, 6.521798
990.000000, 1.250000, 0.328517, 0.362945, 0.716090, 0.008110, 0.105930, 0.000030, 0.034490, 0.027990, 0.038240, 0.023170, 0.042770, 0.003190, 0.000000, 2438.578840, 7.000590
970.000000, 1.250000, 0.283309, 0.317255, 0.731280, 0.007070, 0.103300, 0.000030, 0.030090, 0.024580, 0.033480, 0.020520, 0.046800, 0.002850, 0.000000, 2421.107390, 7.511982
950.000000, 1.250000, 0.259584, 0.293100, 0.745330, 0.006040, 0.099670, 0.000020, 0.026710, 0.022620, 0.030720, 0.018500, 0.047830, 0.002550, 0.000000, 2407.927840, 8.000617
930.000000, 1.250000, 0.240592, 0.273366, 0.759150, 0.005230, 0.094840, 0.000020, 0.024820, 0.021340, 0.028750, 0.017140, 0.046340, 0.002380, 0.000000, 2397.471010, 8.488841
910.000000, 1.250000, 0.218500, 0.250090, 0.775990, 0.004420, 0.088760, 0.000020, 0.022250, 0.020110, 0.026870, 0.015520, 0.043920, 0.002140, 0.000000, 2385.007720, 9.049315
890.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
870.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
850.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
