T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1250.000000, 1.250000, 1.000000, 0.558390, 0.011040, 0.173460, 0.000240, 0.080470, 0.042770, 0.072070, 0.037780, 0.016350, 0.007430, 0.000000, -2816.281490, 65.863370, 24.319680, 0.246960, 2593.687490, 0.000078, 0.444357, -2139.458500, 19.410000, 0.000000, 2.740000, 0.000000, 0.486502
1230.000000, 1.250000, 1.000000, 0.557520, 0.011050, 0.173590, 0.000240, 0.081140, 0.042840, 0.072280, 0.037540, 0.016310, 0.007480, 0.000000, -2809.612180, 65.862060, 24.275590, 0.247220, 2597.326340, 0.000078, 0.441408, -2146.109300, 19.470000, 0.000000, 2.740000, 0.000000, 0.484839
1210.000000, 1.250000, 0.979690, 0.559180, 0.011240, 0.170350, 0.000240, 0.082540, 0.043770, 0.070610, 0.037790, 0.016670, 0.007600, 0.000000, -2806.686620, 66.048730, 23.833270, 0.248040, 2598.820260, 0.000079, 0.439527, -2154.802100, 19.470000, 0.000000, 2.740000, 0.000000, 0.485931
1190.000000, 1.250000, 0.936525, 0.564720, 0.011490, 0.163610, 0.000260, 0.084310, 0.044990, 0.066640, 0.039090, 0.017140, 0.007750, 0.000000, -2810.597920, 66.528700, 22.948440, 0.249130, 2596.154270, 0.000079, 0.439272, -2167.876800, 19.400000, 0.000000, 2.730000, 0.000000, 0.487498
1170.000000, 1.250000, 0.898580, 0.562980, 0.012260, 0.157860, 0.000270, 0.089970, 0.047700, 0.064840, 0.037720, 0.018120, 0.008290, 0.000000, -2782.180490, 66.131240, 22.001540, 0.248710, 2605.485020, 0.000081, 0.433970, -2155.896300, 19.410000, 0.000000, 2.730000, 0.000000, 0.485878
1150.000000, 1.250000, 0.832664, 0.574580, 0.012990, 0.150220, 0.000200, 0.086020, 0.048630, 0.061720, 0.038200, 0.019550, 0.007890, 0.000000, -2813.265060, 67.241930, 20.500180, 0.251260, 2594.451280, 0.000081, 0.436428, -2192.162100, 19.400000, 0.000000, 2.730000, 0.000000, 0.501926
1130.000000, 1.250000, 0.747999, 0.591280, 0.013180, 0.141870, 0.000140, 0.077440, 0.049740, 0.060450, 0.037360, 0.021530, 0.007010, 0.000000, -2871.062030, 68.955090, 18.486560, 0.255410, 2577.347690, 0.000078, 0.441402, -2251.708700, 19.530000, 0.000000, 2.750000, 0.000000, 0.533785
1110.000000, 1.250000, 0.666097, 0.610280, 0.011450, 0.133950, 0.000110, 0.068620, 0.049600, 0.059630, 0.036200, 0.024030, 0.006120, 0.000000, -2937.568090, 70.978600, 16.573460, 0.260400, 2556.391870, 0.000074, 0.447325, -2318.850800, 19.700000, 0.000000, 2.780000, 0.000000, 0.563025
1090.000000, 1.250000, 0.601419, 0.627460, 0.010300, 0.126060, 0.000100, 0.062670, 0.047420, 0.059660, 0.034730, 0.026000, 0.005590, 0.000000, -2973.813890, 72.346970, 15.055270, 0.262430, 2538.923240, 0.000071, 0.448924, -2361.862700, 19.840000, 0.000000, 2.800000, 0.000000, 0.574248
1070.000000, 1.250000, 0.534896, 0.642910, 0.010000, 0.120820, 0.000080, 0.057620, 0.043320, 0.057630, 0.033470, 0.029020, 0.005140, 0.000000, -3008.018870, 73.743950, 13.425350, 0.264260, 2521.444060, 0.000068, 0.450518, -2402.905100, 19.840000, 0.000000, 2.810000, 0.000000, 0.572678
