T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1250.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1230.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1210.000000, 1.250000, 0.020310, 0.019952, 0.502420, 0.000000, 0.318930, 0.000000, 0.000000, 0.000000, 0.145880, 0.032420, 0.000340, 0.000000, 0.000000, 2646.455950
1190.000000, 1.250000, 0.063475, 0.062403, 0.507590, 0.000000, 0.315440, 0.000000, 0.000000, 0.000000, 0.141800, 0.034770, 0.000400, 0.000000, 0.000000, 2643.765750
1170.000000, 1.250000, 0.101420, 0.100231, 0.514310, 0.000000, 0.310890, 0.000000, 0.000000, 0.000000, 0.136480, 0.037830, 0.000490, 0.000000, 0.000000, 2639.877440
1150.000000, 1.250000, 0.167336, 0.161159, 0.483876, 0.001176, 0.287865, 0.000452, 0.050562, 0.010936, 0.121749, 0.037971, 0.000566, 0.004849, 0.000000, 2713.870085
1130.000000, 1.250000, 0.252001, 0.238180, 0.459224, 0.004641, 0.266505, 0.000530, 0.090933, 0.021912, 0.108185, 0.038633, 0.000712, 0.008725, 0.000000, 2777.286774
1110.000000, 1.250000, 0.333903, 0.313516, 0.450764, 0.009802, 0.251901, 0.000482, 0.106615, 0.030633, 0.098433, 0.040320, 0.000876, 0.010175, 0.000000, 2805.959018
1090.000000, 1.250000, 0.398581, 0.373941, 0.451062, 0.012064, 0.243299, 0.000446, 0.110454, 0.036603, 0.093327, 0.041060, 0.001192, 0.010489, 0.000000, 2817.090024
1070.000000, 1.250000, 0.465104, 0.437401, 0.460279, 0.012232, 0.233659, 0.000422, 0.107819, 0.042405, 0.089091, 0.042493, 0.001476, 0.010125, 0.000000, 2820.002843
1050.000000, 1.250000, 0.544245, 0.512714, 0.468572, 0.011956, 0.220948, 0.000383, 0.106154, 0.046721, 0.090004, 0.043146, 0.002270, 0.009836, 0.000000, 2831.507037
1030.000000, 1.250000, 0.599384, 0.565495, 0.472045, 0.012446, 0.214412, 0.000365, 0.105820, 0.048652, 0.089933, 0.043834, 0.002690, 0.009796, 0.000000, 2837.490495
1010.000000, 1.250000, 0.639660, 0.605164, 0.475999, 0.012452, 0.210061, 0.000348, 0.104533, 0.049773, 0.089653, 0.044289, 0.003265, 0.009627, 0.000000, 2839.987833
990.000000, 1.250000, 0.671483, 0.637055, 0.479484, 0.012366, 0.207220, 0.000341, 0.103577, 0.049903, 0.088614, 0.044856, 0.004108, 0.009530, 0.000000, 2839.729495
970.000000, 1.250000, 0.716691, 0.682745, 0.489103, 0.012555, 0.201605, 0.000324, 0.100708, 0.049836, 0.087225, 0.044293, 0.005094, 0.009246, 0.000000, 2846.013264
950.000000, 1.250000, 0.740416, 0.706900, 0.491792, 0.012767, 0.199554, 0.000318, 0.099776, 0.049947, 0.086716, 0.044390, 0.005574, 0.009160, 0.000000, 2847.726228
930.000000, 1.250000, 0.759408, 0.726634, 0.494345, 0.012845, 0.198262, 0.000311, 0.098590, 0.049672, 0.085892, 0.044188, 0.006848, 0.009046, 0.000000, 2846.924682
910.000000, 1.250000, 0.781500, 0.749910, 0.497063, 0.012863, 0.197072, 0.000304, 0.097225, 0.049215, 0.084850, 0.043857, 0.008634, 0.008926, 0.000000, 2844.817701
890.000000, 1.250000, 1.000000, 1.000000, 0.557970, 0.011012, 0.173440, 0.000241, 0.080838, 0.042853, 0.072217, 0.037645, 0.016335, 0.007442, 0.000000, 2794.457592
870.000000, 1.250000, 1.000000, 1.000000, 0.557985, 0.011015, 0.173423, 0.000240, 0.080846, 0.042856, 0.072196, 0.037655, 0.016343, 0.007443, 0.000000, 2796.852602
850.000000, 1.250000, 1.000000, 1.000000, 0.558010, 0.011016, 0.173392, 0.000247, 0.080845, 0.042855, 0.072172, 0.037671, 0.016342, 0.007443, 0.000000, 2800.790852
