T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1150.000000, 1.250000, 0.001830, 0.246390, 0.005960, 0.068360, 0.000080, 0.045230, 0.000080, 0.006550, 0.018740, 0.021760, 0.005040, 0.581820, -624.295090, 93.911990, 0.338320, 0.067320, 306.417380, 0.000832, 0.203239, -335.054900, 1.270000, 0.000000, 2.040000, 0.000000, 0.003143
1130.000000, 1.250000, 0.001498, 0.239380, 0.005770, 0.065980, 0.000080, 0.044610, 0.000070, 0.006200, 0.018050, 0.021350, 0.004970, 0.593540, -612.960730, 92.390170, 0.277780, 0.067030, 306.312050, 0.000859, 0.201507, -330.216100, 1.220000, 0.000000, 2.000000, 0.000000, 0.002789
1110.000000, 1.250000, 0.001000, 0.232500, 0.005590, 0.063610, 0.000070, 0.043540, 0.000070, 0.005910, 0.017370, 0.020950, 0.004850, 0.605530, -601.945610, 90.850190, 0.185080, 0.066930, 306.349720, 0.000887, 0.199806, -325.584400, 1.170000, 0.000000, 1.960000, 0.000000, 0.002858
1090.000000, 1.250000, 0.001589, 0.229070, 0.005770, 0.061260, 0.000050, 0.040190, 0.000070, 0.005730, 0.016790, 0.020920, 0.004470, 0.615670, -593.249270, 89.334800, 0.291500, 0.066770, 307.424150, 0.000917, 0.198378, -322.829800, 1.130000, 0.000000, 1.910000, 0.000000, 0.003095
1070.000000, 1.250000, 0.004249, 0.228400, 0.006250, 0.058630, 0.000040, 0.036030, 0.000080, 0.005560, 0.016320, 0.021510, 0.004010, 0.623170, -586.514050, 87.807340, 0.774410, 0.066770, 309.883740, 0.000948, 0.197179, -321.672600, 1.080000, 0.000000, 1.870000, 0.000000, 0.003942
1050.000000, 1.250000, 0.006289, 0.226160, 0.006580, 0.056400, 0.000030, 0.032100, 0.000110, 0.005350, 0.015820, 0.021970, 0.003570, 0.631920, -579.064440, 86.239500, 1.138570, 0.066940, 312.072940, 0.000983, 0.195879, -319.887400, 1.040000, 0.000000, 1.820000, 0.000000, 0.006071
1030.000000, 1.250000, 0.008005, 0.222450, 0.006790, 0.054200, 0.000020, 0.028770, 0.000120, 0.005200, 0.015200, 0.022290, 0.003200, 0.641760, -570.866790, 84.620610, 1.437960, 0.067070, 314.093900, 0.001019, 0.194465, -317.449100, 0.990000, 0.000000, 1.780000, 0.000000, 0.007380
1010.000000, 1.250000, 0.009492, 0.218910, 0.006830, 0.052270, 0.000020, 0.025740, 0.000140, 0.005010, 0.014570, 0.022570, 0.002870, 0.651070, -563.016520, 82.960800, 1.689930, 0.067310, 316.656280, 0.001059, 0.193065, -315.285300, 0.950000, 0.000000, 1.730000, 0.000000, 0.009602
990.000000, 1.250000, 0.011026, 0.214910, 0.006760, 0.050470, 0.000010, 0.022980, 0.000160, 0.004770, 0.013860, 0.022800, 0.002560, 0.660710, -555.046440, 81.260260, 1.945700, 0.067520, 319.421180, 0.001101, 0.191626, -312.993700, 0.910000, 0.000000, 1.690000, 0.000000, 0.012259
970.000000, 1.250000, 0.013601, 0.214070, 0.006770, 0.049420, 0.000010, 0.020460, 0.000150, 0.003890, 0.013110, 0.023360, 0.002280, 0.666490, -549.231380, 79.533690, 2.364720, 0.068010, 324.157710, 0.001146, 0.190393, -312.544700, 0.880000, 0.000000, 1.650000, 0.000000, 0.012900
950.000000, 1.250000, 0.016306, 0.213070, 0.006410, 0.048410, 0.000010, 0.018420, 0.000140, 0.003100, 0.012250, 0.024050, 0.002050, 0.672080, -543.410820, 77.766210, 2.789660, 0.068690, 329.370040, 0.001194, 0.189129, -312.077700, 0.850000, 0.000000, 1.610000, 0.000000, 0.013367
930.000000, 1.250000, 0.018240, 0.211770, 0.006350, 0.046550, 0.000010, 0.017050, 0.000090, 0.002620, 0.011080, 0.024500, 0.001900, 0.678070, -537.100160, 75.939110, 3.069400, 0.069340, 334.861870, 0.001247, 0.187744, -311.216300, 0.820000, 0.000000, 1.570000, 0.000000, 0.009322
910.000000, 1.250000, 0.020556, 0.210360, 0.005450, 0.044730, 0.000010, 0.015820, 0.000060, 0.002200, 0.009920, 0.024900, 0.001760, 0.684800, -530.588900, 74.085510, 3.409230, 0.070080, 340.500510, 0.001303, 0.186324, -310.139100, 0.800000, 0.000000, 1.530000, 0.000000, 0.006715
890.000000, 1.250000, 0.023401, 0.208390, 0.004690, 0.042470, 0.000010, 0.014570, 0.000040, 0.001840, 0.009120, 0.024280, 0.001620, 0.692960, -523.519230, 72.184520, 3.810550, 0.070920, 346.050860, 0.001365, 0.184805, -308.562700, 0.770000, 0.000000, 1.490000, 0.000000, 0.004870
