T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1150.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1130.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1110.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1090.000000, 1.250000, 0.021632, 0.463470, 0.000000, 0.345240, 0.000000, 0.000000, 0.000000, 0.176680, 0.014550, 0.000070, 0.000000, 0.000000, -4732.154770, 102.821670, 0.420670, 0.341510, 2685.488220, 0.000024, 0.635847, -3865.399600, 73.950000, 35.590000, 6.720000, 3.640000, NaN
1070.000000, 1.250000, 0.074776, 0.467360, 0.000000, 0.342610, 0.000000, 0.000000, 0.000000, 0.173600, 0.016350, 0.000080, 0.000000, 0.000000, -4715.154870, 102.797340, 1.454310, 0.338990, 2683.655590, 0.000024, 0.631001, -3867.626300, 73.580000, 35.440000, 6.710000, 3.630000, NaN
1050.000000, 1.250000, 0.112636, 0.471550, 0.000000, 0.339780, 0.000000, 0.000000, 0.000000, 0.170290, 0.018280, 0.000090, 0.000000, 0.000000, -4697.901680, 102.774240, 2.191960, 0.338960, 2681.611660, 0.000024, 0.626117, -3869.455500, 73.190000, 35.280000, 6.700000, 3.630000, NaN
1030.000000, 1.250000, 0.144092, 0.475980, 0.000000, 0.336800, 0.000000, 0.000000, 0.000000, 0.166800, 0.020320, 0.000110, 0.000000, 0.000000, -4680.449080, 102.752000, 2.804440, 0.337180, 2679.398730, 0.000024, 0.621191, -3870.943600, 72.760000, 35.110000, 6.680000, 3.620000, NaN
1010.000000, 1.250000, 0.170620, 0.480870, 0.000000, 0.333500, 0.000000, 0.000000, 0.000000, 0.162940, 0.022570, 0.000130, 0.000000, 0.000000, -4662.555590, 102.731820, 3.321790, 0.335790, 2676.849280, 0.000024, 0.616234, -3871.834700, 72.270000, 34.920000, 6.660000, 3.610000, NaN
990.000000, 1.250000, 0.194409, 0.486340, 0.000000, 0.329810, 0.000000, 0.000000, 0.000000, 0.158610, 0.025090, 0.000150, 0.000000, 0.000000, -4644.078410, 102.714320, 3.791760, 0.333630, 2673.871220, 0.000024, 0.611250, -3871.977600, 71.700000, 34.690000, 6.640000, 3.600000, NaN
970.000000, 1.250000, 0.222632, 0.494040, 0.000000, 0.324610, 0.000000, 0.000000, 0.000000, 0.152530, 0.028630, 0.000190, 0.000000, 0.000000, -4623.178460, 102.708810, 4.351720, 0.333690, 2669.204610, 0.000024, 0.606324, -3869.426600, 70.830000, 34.340000, 6.610000, 3.590000, NaN
950.000000, 1.250000, 0.253896, 0.502600, 0.000000, 0.318830, 0.000000, 0.000000, 0.000000, 0.145760, 0.032550, 0.000260, 0.000000, 0.000000, -4601.376830, 102.707150, 4.971320, 0.331630, 2663.936390, 0.000025, 0.601384, -3865.793700, 69.840000, 33.940000, 6.570000, 3.570000, NaN
930.000000, 1.250000, 0.267090, 0.510570, 0.000000, 0.313450, 0.000000, 0.000000, 0.000000, 0.139460, 0.036190, 0.000340, 0.000000, 0.000000, -4580.301400, 102.701350, 5.240890, 0.330670, 2659.177650, 0.000025, 0.596351, -3862.801500, 68.940000, 33.570000, 6.540000, 3.550000, NaN
