T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1150.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1130.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1110.000000, 1.250000, 0.001890, 0.000000, 0.000630, 0.034710, 0.006920, 0.762180, 0.124630, 0.000000, 0.000000, 0.000000, 0.070930, 0.000000, -1762.853660, 45.782750, 0.038890, 0.201340, 4525.234990, 0.000051, 0.420255, -1181.578000, 136.100000, 91.230000, 7.550000, 4.490000, 0.225693
1090.000000, 1.250000, 0.016117, 0.000000, 0.000860, 0.033970, 0.005210, 0.762550, 0.126170, 0.000000, 0.000000, 0.000000, 0.071230, 0.000000, -1754.502990, 45.738990, 0.332060, 0.199750, 4526.615070, 0.000051, 0.417233, -1185.751500, 136.740000, 91.680000, 7.560000, 4.500000, 0.227761
1070.000000, 1.250000, 0.034869, 0.000000, 0.001720, 0.031770, 0.004100, 0.758920, 0.131750, 0.000000, 0.000000, 0.000000, 0.071730, 0.000000, -1750.061460, 45.694810, 0.721130, 0.200370, 4518.284040, 0.000051, 0.413570, -1194.574700, 137.570000, 92.510000, 7.600000, 4.520000, 0.236323
1050.000000, 1.250000, 0.047394, 0.000000, 0.003220, 0.029540, 0.003690, 0.757100, 0.134540, 0.000000, 0.000000, 0.000000, 0.071900, 0.000000, -1743.252430, 45.665670, 0.981900, 0.200800, 4516.907100, 0.000050, 0.410398, -1200.234000, 138.340000, 93.030000, 7.620000, 4.540000, 0.240564
1030.000000, 1.250000, 0.056752, 0.000000, 0.005590, 0.026930, 0.003460, 0.755000, 0.137120, 0.000000, 0.000000, 0.000000, 0.071910, 0.000000, -1736.704860, 45.645790, 1.176760, 0.200100, 4515.819000, 0.000050, 0.407287, -1205.949400, 139.110000, 93.490000, 7.640000, 4.550000, 0.244564
1010.000000, 1.250000, 0.063929, 0.000000, 0.009290, 0.024430, 0.003310, 0.751160, 0.140140, 0.000000, 0.000000, 0.000000, 0.071670, 0.000000, -1732.472790, 45.630630, 1.326230, 0.199100, 4512.052610, 0.000050, 0.404036, -1214.033900, 139.870000, 93.920000, 7.670000, 4.560000, 0.249565
990.000000, 1.250000, 0.069956, 0.000000, 0.015130, 0.021960, 0.003050, 0.745350, 0.143470, 0.000000, 0.000000, 0.000000, 0.071040, 0.000000, -1731.034670, 45.626130, 1.452850, 0.199110, 4505.363920, 0.000050, 0.400701, -1224.889400, 140.710000, 94.280000, 7.690000, 4.570000, 0.255463
970.000000, 1.250000, 0.076858, 0.000000, 0.023210, 0.020700, 0.002660, 0.737610, 0.146020, 0.000000, 0.000000, 0.000000, 0.069800, 0.000000, -1732.851010, 45.627280, 1.593760, 0.198660, 4496.998980, 0.000049, 0.397322, -1238.920400, 141.700000, 94.450000, 7.710000, 4.580000, 0.260836
950.000000, 1.250000, 0.081238, 0.000000, 0.029530, 0.019620, 0.002710, 0.729240, 0.149990, 0.000000, 0.000000, 0.000000, 0.068920, 0.000000, -1734.966740, 45.610640, 1.683270, 0.198750, 4486.193200, 0.000049, 0.393562, -1253.581600, 142.670000, 94.840000, 7.750000, 4.600000, 0.268275
930.000000, 1.250000, 0.080660, 0.000000, 0.024560, 0.016820, 0.002810, 0.746170, 0.139990, 0.000000, 0.000000, 0.000000, 0.069660, 0.000000, -1704.812580, 45.606970, 1.666770, 0.197750, 4526.193720, 0.000049, 0.392609, -1232.445600, 143.230000, 94.370000, 7.710000, 4.570000, 0.250614
