T[C], P[kbar], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_partial[cm3], Rho[kg/m3], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1150.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -957.073960, 24.686720, 2332.702328, 0.159023, -730.760300, 13.807200, 0.000000, 2.432650, 0.000000, 0.485871
1130.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -953.681410, 24.624750, 2341.069006, 0.157799, -732.265500, 13.955960, 0.000000, 2.441410, 0.000000, 0.485871
1110.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -950.317310, 24.472320, 2352.102350, 0.156283, -734.154700, 14.294110, 0.072480, 2.472700, 0.175490, 0.485871
1090.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -946.979730, 24.468320, 2351.684332, 0.154966, -735.737800, 15.204010, 0.927970, 2.637820, 0.626680, 0.485871
1070.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -943.668960, 24.668630, 2327.927889, 0.153609, -737.348700, 16.080270, 2.396920, 2.863080, 1.009600, 0.485871
1050.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -940.407310, 24.810910, 2311.839244, 0.152336, -738.844400, 16.758360, 3.399450, 3.013990, 1.204340, 0.485871
1030.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -937.189380, 24.911440, 2298.835426, 0.150972, -740.450400, 17.318720, 4.184490, 3.130200, 1.338120, 0.485871
1010.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -934.011090, 24.979550, 2289.182573, 0.149592, -742.062200, 17.789670, 4.814960, 3.222080, 1.436940, 0.485871
990.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -930.869330, 25.088500, 2279.630199, 0.148360, -743.468200, 18.241090, 5.430230, 3.309530, 1.527790, 0.485871
970.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -927.771080, 25.231430, 2265.179770, 0.146935, -745.109000, 19.187820, 6.570480, 3.472030, 1.683460, 0.485871
950.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -924.719930, 25.360690, 2250.179384, 0.145394, -746.880700, 20.138160, 7.569120, 3.618870, 1.810810, 0.485871
930.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -921.717370, 25.385780, 2247.858202, 0.143814, -748.687600, 20.801970, 8.495900, 3.730830, 1.918470, 0.485871
910.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -918.757590, 25.533420, 2239.679296, 0.142445, -750.224200, 21.309700, 9.183380, 3.818370, 1.997590, 0.485871
890.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -915.837860, 25.568680, 2229.610384, 0.140579, -752.323700, 21.846050, 9.886280, 3.909510, 2.076980, 0.485871
870.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -912.957010, 25.383590, 2245.707869, 0.139111, -753.932700, 22.499050, 10.349690, 3.964140, 2.116740, 0.485871
850.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -910.115190, 25.501860, 2236.925862, 0.137553, -755.622600, 22.853060, 10.669030, 4.013930, 2.153130, 0.485871
830.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -907.310200, 25.405610, 2243.246426, 0.135820, -757.480800, 23.319450, 10.989150, 4.055990, 2.181970, 0.485871
810.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -904.542920, 25.375490, 2249.667420, 0.134332, -759.041400, 23.701590, 11.237750, 4.088180, 2.203420, 0.485871
790.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -901.812260, 25.297140, 2257.757252, 0.132732, -760.698200, 24.076280, 11.486270, 4.118000, 2.223700, 0.485871
770.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -899.117410, 25.127930, 2267.429106, 0.130910, -762.558500, 24.476210, 11.761690, 4.148870, 2.245310, 0.485871
750.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -896.458320, 24.996560, 2278.613540, 0.129239, -764.227200, 24.839070, 11.991760, 4.173300, 2.261730, 0.485871
730.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -893.835000, 24.850110, 2291.669045, 0.127558, -765.874900, 25.204740, 12.206440, 4.194810, 2.275560, 0.485871
710.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -891.247720, 24.775040, 2298.882577, 0.125879, -767.489800, 25.753010, 12.609040, 4.242840, 2.309250, 0.485871
690.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -888.698590, 24.650820, 2309.653652, 0.124168, -769.105900, 26.304950, 12.992030, 4.285460, 2.338590, 0.485871
670.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -886.201760, 24.652210, 2310.327718, 0.122584, -770.586300, 29.724520, 15.989690, 4.636040, 2.594740, 0.485871
650.000000, 1.250000, 0.536700, 0.010590, 0.166780, 0.000260, 0.077750, 0.041220, 0.069420, 0.036230, 0.015720, 0.007160, 0.038180, -883.741720, 24.384840, 2335.967691, 0.120883, -772.148100, 30.040640, 16.145360, 4.634940, 2.593450, 0.485871
