T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1080.000000, 1.250000, 0.005226, 0.000000, 0.002860, 0.000000, 0.000000, 0.897490, 0.000000, 0.000000, 0.000000, 0.000000, 0.099640, 0.000000, -1073.613370, 31.383600, 0.105920, 0.145090, 5087.191080, 0.000038, 0.295622, -673.592200, 177.320000, 77.760000, 7.430000, 3.910000, 0.000000
1060.000000, 1.250000, 0.012795, 0.000000, 0.004000, 0.000000, 0.000000, 0.896570, 0.000000, 0.000000, 0.000000, 0.000000, 0.099430, 0.000000, -1068.781960, 31.362520, 0.258630, 0.144680, 5090.033540, 0.000038, 0.293475, -677.535300, 177.990000, 78.010000, 7.440000, 3.910000, 0.000000
1040.000000, 1.250000, 0.010026, 0.000000, 0.004580, 0.000000, 0.000000, 0.896110, 0.000000, 0.000000, 0.000000, 0.000000, 0.099320, 0.000000, -1063.460550, 31.340060, 0.202580, 0.143920, 5093.389400, 0.000038, 0.291296, -680.945600, 178.660000, 78.260000, 7.450000, 3.920000, 0.000000
1020.000000, 1.250000, 0.007021, 0.000000, 0.005400, 0.000000, 0.000000, 0.895440, 0.000000, 0.000000, 0.000000, 0.000000, 0.099160, 0.000000, -1058.414720, 31.318380, 0.141760, 0.144210, 5096.494560, 0.000038, 0.289087, -684.581600, 179.510000, 78.520000, 7.470000, 3.930000, 0.000000
1000.000000, 1.250000, 0.004000, 0.000000, 0.006100, 0.000000, 0.000000, 0.894870, 0.000000, 0.000000, 0.000000, 0.000000, 0.099030, 0.000000, -1053.284110, 31.296440, 0.080660, 0.143340, 5099.713390, 0.000038, 0.286847, -688.085400, 180.170000, 78.770000, 7.480000, 3.930000, 0.000000
980.000000, 1.250000, 0.000460, 0.000000, 0.007400, 0.000000, 0.000000, 0.893820, 0.000000, 0.000000, 0.000000, 0.000000, 0.098780, 0.000000, -1048.749210, 31.276210, 0.009260, 0.143420, 5102.350010, 0.000038, 0.284578, -692.130400, 180.890000, 79.020000, 7.490000, 3.940000, 0.000000
960.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
940.000000, 1.250000, 0.000400, 0.000000, 0.009440, 0.000000, 0.000000, 0.892170, 0.000000, 0.000000, 0.000000, 0.000000, 0.098390, 0.000000, -1039.284890, 31.234590, 0.008040, 0.143350, 5108.109140, 0.000037, 0.279937, -699.679300, 182.340000, 79.530000, 7.510000, 3.950000, 0.000000
920.000000, 1.250000, 0.004791, 0.000000, 0.011030, 0.000000, 0.000000, 0.890880, 0.000000, 0.000000, 0.000000, 0.000000, 0.098090, 0.000000, -1035.129840, 31.215450, 0.095980, 0.143310, 5110.430030, 0.000037, 0.277569, -703.948400, 183.030000, 79.780000, 7.530000, 3.950000, 0.000000
900.000000, 1.250000, 0.036852, 0.000000, 0.017380, 0.000000, 0.000000, 0.885740, 0.000000, 0.000000, 0.000000, 0.000000, 0.096880, 0.000000, -1035.252420, 31.208980, 0.735570, 0.142600, 5108.258060, 0.000037, 0.275203, -712.398100, 183.130000, 79.990000, 7.530000, 3.960000, 0.000000
880.000000, 1.250000, 0.044006, 0.000000, 0.021220, 0.000000, 0.000000, 0.882630, 0.000000, 0.000000, 0.000000, 0.000000, 0.096150, 0.000000, -1033.145530, 31.196010, 0.875820, 0.142150, 5108.429090, 0.000037, 0.272782, -718.586700, 183.530000, 80.220000, 7.540000, 3.960000, 0.000000
860.000000, 1.250000, 0.046718, 0.000000, 0.023520, 0.000000, 0.000000, 0.880770, 0.000000, 0.000000, 0.000000, 0.000000, 0.095710, 0.000000, -1029.710650, 31.179080, 0.931860, 0.142070, 5110.032870, 0.000037, 0.270312, -723.406900, 184.050000, 80.470000, 7.550000, 3.970000, 0.000000
840.000000, 1.250000, 0.048753, 0.000000, 0.024390, 0.000000, 0.000000, 0.880060, 0.000000, 0.000000, 0.000000, 0.000000, 0.095550, 0.000000, -1025.061780, 31.158470, 0.967000, 0.142660, 5112.969390, 0.000037, 0.267790, -726.971300, 184.920000, 80.720000, 7.560000, 3.970000, 0.000000
820.000000, 1.250000, 0.049527, 0.000000, 0.026200, 0.000000, 0.000000, 0.878600, 0.000000, 0.000000, 0.000000, 0.000000, 0.095200, 0.000000, -1021.280940, 31.140450, 0.986260, 0.141910, 5115.007820, 0.000037, 0.265236, -731.338300, 185.520000, 80.970000, 7.570000, 3.980000, 0.000000
800.000000, 1.250000, 0.050565, 0.000000, 0.026090, 0.000000, 0.000000, 0.878690, 0.000000, 0.000000, 0.000000, 0.000000, 0.095220, 0.000000, -1015.876350, 31.117470, 1.001060, 0.141180, 5118.838620, 0.000036, 0.262622, -734.043500, 186.300000, 81.240000, 7.590000, 3.980000, 0.000000
780.000000, 1.250000, 0.051188, 0.000000, 0.025830, 0.000000, 0.000000, 0.878900, 0.000000, 0.000000, 0.000000, 0.000000, 0.095270, 0.000000, -1010.390900, 31.094190, 1.012490, 0.141000, 5122.804020, 0.000036, 0.259962, -736.611500, 187.170000, 81.500000, 7.600000, 3.990000, 0.000000
760.000000, 1.250000, 0.051731, 0.000000, 0.026870, 0.000000, 0.000000, 0.878050, 0.000000, 0.000000, 0.000000, 0.000000, 0.095070, 0.000000, -1006.089110, 31.074450, 1.024530, 0.140600, 5125.528880, 0.000036, 0.257270, -740.290600, 187.820000, 81.760000, 7.610000, 3.990000, 0.000000
740.000000, 1.250000, 0.052248, 0.000000, 0.025940, 0.000000, 0.000000, 0.878810, 0.000000, 0.000000, 0.000000, 0.000000, 0.095250, 0.000000, -1000.128030, 31.049570, 1.033140, 0.140350, 5130.109320, 0.000036, 0.254510, -742.270900, 188.810000, 82.030000, 7.620000, 4.000000, 0.000000
720.000000, 1.250000, 0.052761, 0.000000, 0.025660, 0.000000, 0.000000, 0.879030, 0.000000, 0.000000, 0.000000, 0.000000, 0.095300, 0.000000, -994.790620, 31.026530, 1.041710, 0.140680, 5134.061160, 0.000036, 0.251708, -744.806900, 189.680000, 82.300000, 7.640000, 4.000000, 0.000000
700.000000, 1.250000, 0.053671, 0.000000, 0.025390, 0.000000, 0.000000, 0.879260, 0.000000, 0.000000, 0.000000, 0.000000, 0.095360, 0.000000, -989.510320, 31.003590, 1.059220, 0.139800, 5138.002680, 0.000036, 0.248855, -747.337500, 190.420000, 82.560000, 7.650000, 4.010000, 0.000000
