T[C], P[kbar], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_partial[cm3], Rho[kg/m3], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1240.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1063.401980, 25.386370, 2505.801780, 0.165533, -812.925700, 18.777410, 0.000000, 2.737440, 0.000000, 0.471478
1220.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1059.963710, 25.369070, 2507.582200, 0.164279, -814.669900, 18.826240, 0.000000, 2.740020, 0.000000, 0.471478
1200.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1056.547690, 25.339670, 2510.590304, 0.162858, -816.633200, 19.380710, 0.288860, 2.805990, 0.339220, 0.471478
1180.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1053.162700, 25.305240, 2514.435843, 0.161341, -818.709300, 20.276940, 0.781440, 2.912100, 0.557530, 0.471478
1160.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1049.813820, 25.271850, 2518.475817, 0.159840, -820.738800, 21.142800, 1.247100, 3.009680, 0.703800, 0.471478
1140.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1046.500940, 25.227830, 2522.762822, 0.158274, -822.836300, 21.992960, 1.698460, 3.101530, 0.820690, 0.471478
1120.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1043.223470, 25.184200, 2527.475084, 0.156725, -824.881500, 22.832100, 2.133990, 3.188170, 0.919100, 0.471478
1100.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1039.986890, 25.074960, 2535.021622, 0.155047, -827.084400, 25.104010, 3.460440, 3.418960, 1.166680, 0.471478
1080.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1036.796750, 24.922790, 2543.979289, 0.153142, -829.572100, 27.254750, 4.669320, 3.617110, 1.350800, 0.471478
1060.000000, 1.250000, 0.619130, 0.008220, 0.166060, 0.000240, 0.055890, 0.027970, 0.053020, 0.039850, 0.023670, 0.005960, 0.000000, -1033.649410, 24.844610, 2549.164088, 0.151670, -831.451000, 29.439170, 5.932010, 3.810040, 1.518430, 0.471478
