T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.998610, 0.595540, 0.007900, 0.159580, 0.000250, 0.053660, 0.027030, 0.050930, 0.038330, 0.022770, 0.005770, 0.038250, -2278.265980, 59.353190, 25.064950, 0.204550, 2294.313290, 0.000226, 0.369944, -1770.277200, 14.150000, 0.000000, 2.480000, 0.000000, 0.473106
1080.000000, 1.250000, 0.995459, 0.597280, 0.007920, 0.159990, 0.000270, 0.051200, 0.027120, 0.051090, 0.038430, 0.022830, 0.005530, 0.038350, -2284.869930, 59.589910, 24.930010, 0.205760, 2295.797240, 0.000227, 0.368690, -1785.976500, 14.160000, 0.000000, 2.480000, 0.000000, 0.485647
1060.000000, 1.250000, 0.951032, 0.608960, 0.008250, 0.155290, 0.000260, 0.043550, 0.028060, 0.047450, 0.039540, 0.023860, 0.004720, 0.040060, -2295.923280, 60.198290, 23.949720, 0.206130, 2278.421900, 0.000232, 0.369052, -1803.922300, 13.920000, 0.000000, 2.470000, 0.000000, 0.534564
1040.000000, 1.250000, 0.919722, 0.614320, 0.008450, 0.152300, 0.000280, 0.039710, 0.029840, 0.045160, 0.040050, 0.024470, 0.004320, 0.041100, -2295.970470, 60.392190, 23.212170, 0.206740, 2272.246020, 0.000236, 0.367562, -1813.306500, 13.810000, 0.000000, 2.470000, 0.000000, 0.572556
1020.000000, 1.250000, 0.886707, 0.623440, 0.008820, 0.147580, 0.000300, 0.034820, 0.030870, 0.042450, 0.040860, 0.025280, 0.003810, 0.041770, -2305.393870, 60.849050, 22.412650, 0.207570, 2264.832350, 0.000238, 0.367269, -1830.460300, 13.710000, 0.000000, 2.460000, 0.000000, 0.612453
1000.000000, 1.250000, 0.857419, 0.631750, 0.009200, 0.142800, 0.000190, 0.031340, 0.031410, 0.040890, 0.041290, 0.025710, 0.003430, 0.041970, -2313.177070, 61.219770, 21.686010, 0.208260, 2261.591800, 0.000239, 0.366379, -1846.721500, 13.700000, 0.000000, 2.460000, 0.000000, 0.641130
980.000000, 1.250000, 0.828312, 0.641440, 0.009570, 0.138320, 0.000120, 0.027550, 0.031120, 0.038750, 0.041440, 0.026380, 0.003030, 0.042290, -2322.750970, 61.685630, 20.991480, 0.208990, 2256.023990, 0.000240, 0.365624, -1864.569100, 13.640000, 0.000000, 2.460000, 0.000000, 0.668163
960.000000, 1.250000, 0.801178, 0.651120, 0.009830, 0.133930, 0.000100, 0.024320, 0.030540, 0.036870, 0.041250, 0.026910, 0.002680, 0.042460, -2330.316790, 62.088590, 20.311590, 0.209920, 2251.746700, 0.000241, 0.364374, -1880.989100, 13.620000, 0.000000, 2.460000, 0.000000, 0.691210
940.000000, 1.250000, 0.773766, 0.658830, 0.010050, 0.132250, 0.000070, 0.020770, 0.029150, 0.033460, 0.041630, 0.028240, 0.002290, 0.043270, -2334.325750, 62.469780, 19.664940, 0.210200, 2243.767500, 0.000244, 0.363106, -1893.824100, 13.460000, 0.000000, 2.450000, 0.000000, 0.714428
920.000000, 1.250000, 0.749068, 0.668040, 0.010120, 0.128090, 0.000060, 0.018540, 0.028540, 0.031770, 0.040820, 0.028860, 0.002050, 0.043100, -2344.566560, 62.928720, 19.070360, 0.211100, 2241.831130, 0.000243, 0.361778, -1912.911000, 13.470000, 0.000000, 2.450000, 0.000000, 0.732906
900.000000, 1.250000, 0.698917, 0.676180, 0.009890, 0.127590, 0.000100, 0.015970, 0.025470, 0.027590, 0.040640, 0.030810, 0.001770, 0.044000, -2345.194580, 63.299620, 17.751760, 0.211090, 2232.435110, 0.000246, 0.359958, -1922.909800, 13.260000, 0.000000, 2.440000, 0.000000, 0.739781
880.000000, 1.250000, 0.657556, 0.690210, 0.008430, 0.124530, 0.000120, 0.013520, 0.021660, 0.023890, 0.039930, 0.032210, 0.001500, 0.044000, -2361.896810, 64.114390, 16.731950, 0.212060, 2223.255420, 0.000245, 0.359632, -1947.187700, 13.180000, 0.000000, 2.440000, 0.000000, 0.740648
860.000000, 1.250000, 0.620209, 0.702320, 0.006990, 0.121640, 0.000130, 0.011510, 0.019060, 0.021550, 0.038250, 0.034190, 0.001280, 0.043090, -2389.562600, 65.102740, 15.842990, 0.214060, 2220.463580, 0.000242, 0.359969, -1981.663800, 13.240000, 0.000000, 2.440000, 0.000000, 0.746951
840.000000, 1.250000, 0.582605, 0.712540, 0.006140, 0.118610, 0.000120, 0.010020, 0.016940, 0.019320, 0.036090, 0.035970, 0.001110, 0.043140, -2399.128220, 65.663760, 14.855280, 0.215290, 2215.488750, 0.000242, 0.358054, -2000.560000, 13.210000, 0.000000, 2.440000, 0.000000, 0.750847
820.000000, 1.250000, 0.547578, 0.721330, 0.005280, 0.116320, 0.000110, 0.008830, 0.015090, 0.017490, 0.033710, 0.038710, 0.000980, 0.042160, -2422.705270, 66.512170, 13.984260, 0.217160, 2215.829940, 0.000239, 0.357457, -2031.951200, 13.290000, 0.000000, 2.450000, 0.000000, 0.752859
800.000000, 1.250000, 0.510066, 0.724010, 0.004780, 0.115970, 0.000100, 0.007760, 0.013650, 0.016540, 0.031840, 0.041670, 0.000860, 0.042820, -2413.793200, 66.530730, 12.950780, 0.216790, 2213.322180, 0.000241, 0.353495, -2034.440500, 13.220000, 0.000000, 2.440000, 0.000000, 0.758193
780.000000, 1.250000, 0.485553, 0.740920, 0.003850, 0.109010, 0.000080, 0.006780, 0.012670, 0.015410, 0.025690, 0.045230, 0.000750, 0.039610, -2482.038680, 68.526680, 12.407120, 0.222710, 2219.070540, 0.000230, 0.355986, -2107.131900, 13.580000, 0.000000, 2.470000, 0.000000, 0.769112
760.000000, 1.250000, 0.456526, 0.746250, 0.003440, 0.107750, 0.000060, 0.005920, 0.011100, 0.013950, 0.023930, 0.047220, 0.000660, 0.039720, -2483.458160, 68.817400, 11.628930, 0.223080, 2217.092910, 0.000231, 0.352698, -2119.068000, 13.560000, 0.000000, 2.470000, 0.000000, 0.769706
740.000000, 1.250000, 0.428956, 0.750660, 0.003110, 0.106010, 0.000070, 0.005450, 0.010790, 0.014190, 0.022020, 0.047640, 0.000610, 0.039450, -2488.344070, 69.082610, 10.884670, 0.223950, 2218.995160, 0.000230, 0.349036, -2134.717900, 13.650000, 0.000000, 2.480000, 0.000000, 0.779206
720.000000, 1.250000, 0.398709, 0.759450, 0.002460, 0.101900, 0.000070, 0.005170, 0.010710, 0.014920, 0.019550, 0.047210, 0.000570, 0.038010, -2517.581490, 69.971400, 10.111120, 0.226930, 2223.140900, 0.000224, 0.347231, -2172.728900, 13.910000, 0.000000, 2.500000, 0.000000, 0.786901
700.000000, 1.250000, 0.352315, 0.770830, 0.002610, 0.096810, 0.000060, 0.004370, 0.010390, 0.015020, 0.017660, 0.044060, 0.000490, 0.037690, -2531.495260, 70.510080, 8.922430, 0.228450, 2221.427710, 0.000223, 0.343515, -2197.203900, 14.040000, 0.000000, 2.510000, 0.000000, 0.809092
