T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1240.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1220.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1200.000000, 1.250000, 0.015050, 0.518160, 0.000000, 0.308230, 0.000000, 0.000000, 0.000000, 0.133390, 0.039420, 0.000800, 0.000000, 0.000000, -4744.517260, 103.487470, 0.344390, 0.342180, 2634.659300, 0.000027, 0.664799, -3765.168200, 65.430000, 31.710000, 6.390000, 3.470000, NaN
1180.000000, 1.250000, 0.047848, 0.525330, 0.000000, 0.303360, 0.000000, 0.000000, 0.000000, 0.127690, 0.042650, 0.000970, 0.000000, 0.000000, -4723.180370, 103.484540, 1.096940, 0.341210, 2630.449430, 0.000027, 0.660425, -3763.484000, 64.650000, 31.390000, 6.360000, 3.450000, NaN
1160.000000, 1.250000, 0.079705, 0.532900, 0.000000, 0.298210, 0.000000, 0.000000, 0.000000, 0.121680, 0.046020, 0.001180, 0.000000, 0.000000, -4701.468130, 103.484650, 1.830570, 0.339670, 2625.970330, 0.000027, 0.656031, -3761.277200, 63.830000, 31.040000, 6.330000, 3.440000, NaN
1140.000000, 1.250000, 0.111239, 0.540760, 0.000000, 0.292860, 0.000000, 0.000000, 0.000000, 0.115430, 0.049500, 0.001450, 0.000000, 0.000000, -4679.501340, 103.487530, 2.559470, 0.338690, 2621.306590, 0.000028, 0.651613, -3758.674800, 62.970000, 30.680000, 6.290000, 3.420000, NaN
1120.000000, 1.250000, 0.143124, 0.548750, 0.000000, 0.287400, 0.000000, 0.000000, 0.000000, 0.109060, 0.052990, 0.001790, 0.000000, 0.000000, -4657.456060, 103.492750, 3.299010, 0.337530, 2616.576490, 0.000028, 0.647162, -3755.861800, 62.100000, 30.310000, 6.260000, 3.400000, NaN
1100.000000, 1.250000, 0.175457, 0.556690, 0.000000, 0.281960, 0.000000, 0.000000, 0.000000, 0.102720, 0.056410, 0.002220, 0.000000, 0.000000, -4635.544410, 103.499850, 4.051710, 0.335100, 2611.917900, 0.000028, 0.642670, -3753.061800, 61.240000, 29.950000, 6.220000, 3.390000, NaN
1080.000000, 1.250000, 0.216332, 0.564610, 0.000000, 0.276490, 0.000000, 0.000000, 0.000000, 0.096350, 0.059720, 0.002830, 0.000000, 0.000000, -4613.727650, 103.512560, 5.005520, 0.333990, 2607.275730, 0.000028, 0.638139, -3750.230500, 60.390000, 29.600000, 6.190000, 3.370000, NaN
1060.000000, 1.250000, 0.263106, 0.572000, 0.000000, 0.271320, 0.000000, 0.000000, 0.000000, 0.090370, 0.062650, 0.003650, 0.000000, 0.000000, -4592.593130, 103.529860, 6.096500, 0.332370, 2603.024180, 0.000028, 0.633542, -3747.986100, 59.620000, 29.280000, 6.160000, 3.350000, NaN
1040.000000, 1.250000, 0.309705, 0.579020, 0.000000, 0.266390, 0.000000, 0.000000, 0.000000, 0.084660, 0.065350, 0.004590, 0.000000, 0.000000, -4571.960670, 103.548210, 7.190720, 0.331700, 2599.066610, 0.000029, 0.628882, -3746.144400, 58.910000, 28.980000, 6.130000, 3.340000, NaN
1020.000000, 1.250000, 0.343626, 0.583550, 0.000000, 0.263000, 0.000000, 0.000000, 0.000000, 0.080810, 0.066580, 0.006050, 0.000000, 0.000000, -4554.209690, 103.574060, 7.980690, 0.330140, 2596.828960, 0.000029, 0.624067, -3747.197300, 58.540000, 28.830000, 6.110000, 3.330000, NaN
1000.000000, 1.250000, 0.376618, 0.587720, 0.000000, 0.260080, 0.000000, 0.000000, 0.000000, 0.077420, 0.068190, 0.006590, 0.000000, 0.000000, -4536.932160, 103.559190, 8.751810, 0.329200, 2595.123140, 0.000029, 0.619144, -3748.669300, 58.190000, 28.700000, 6.100000, 3.330000, NaN
980.000000, 1.250000, 0.409328, 0.591750, 0.000000, 0.257030, 0.000000, 0.000000, 0.000000, 0.073970, 0.069190, 0.008060, 0.000000, 0.000000, -4519.913090, 103.581700, 9.519110, 0.328060, 2593.278500, 0.000029, 0.614182, -3750.250900, 57.880000, 28.580000, 6.080000, 3.320000, NaN
960.000000, 1.250000, 0.435624, 0.594770, 0.000000, 0.254630, 0.000000, 0.000000, 0.000000, 0.071280, 0.069620, 0.009700, 0.000000, 0.000000, -4504.119770, 103.605610, 10.133990, 0.327680, 2592.133210, 0.000029, 0.609109, -3752.996900, 57.700000, 28.510000, 6.080000, 3.320000, NaN
940.000000, 1.250000, 0.460878, 0.598300, 0.000000, 0.251820, 0.000000, 0.000000, 0.000000, 0.068140, 0.070130, 0.011610, 0.000000, 0.000000, -4487.834510, 103.643200, 10.728460, 0.327350, 2590.546260, 0.000029, 0.604000, -3755.091400, 57.460000, 28.420000, 6.070000, 3.310000, NaN
920.000000, 1.250000, 0.020608, 0.648620, 0.000000, 0.199500, 0.000000, 0.000000, 0.000000, 0.013230, 0.045070, 0.093580, 0.000000, 0.000000, -4417.807380, 107.298040, 0.490440, 0.323170, 2534.440660, 0.000026, 0.604065, -3697.067700, 52.680000, 24.760000, 5.810000, 3.130000, NaN
900.000000, 1.250000, 0.470575, 0.596260, 0.000000, 0.253280, 0.000000, 0.000000, 0.000000, 0.069820, 0.069410, 0.011220, 0.000000, 0.000000, -4465.811340, 103.498850, 10.935420, 0.326000, 2595.084190, 0.000029, 0.592934, -3770.210500, 58.060000, 28.780000, 6.100000, 3.330000, NaN
880.000000, 1.250000, 0.473755, 0.593410, 0.000000, 0.255510, 0.000000, 0.000000, 0.000000, 0.072330, 0.068900, 0.009850, 0.000000, 0.000000, -4457.042230, 103.368800, 10.992790, 0.326510, 2599.002620, 0.000029, 0.587125, -3779.999000, 58.550000, 29.070000, 6.120000, 3.340000, NaN
860.000000, 1.250000, 0.214038, 0.650460, 0.000000, 0.195720, 0.000000, 0.000000, 0.000000, 0.009690, 0.039290, 0.104840, 0.000000, 0.000000, -4379.112380, 107.631830, 5.093850, 0.321130, 2534.046110, 0.000026, 0.587960, -3712.865500, 53.020000, 24.930000, 5.830000, 3.140000, NaN
840.000000, 1.250000, 0.211178, 0.650980, 0.000000, 0.194750, 0.000000, 0.000000, 0.000000, 0.008760, 0.037900, 0.107610, 0.000000, 0.000000, -4366.570680, 107.700350, 5.025300, 0.322890, 2534.233680, 0.000026, 0.582357, -3718.320100, 53.090000, 25.000000, 5.840000, 3.140000, NaN
