T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1100.000000, 1.250000, 1.000000, 1.000000, 0.626740, 0.006500, 0.158150, 0.000250, 0.041990, 0.017930, 0.039600, 0.040260, 0.025950, 0.004310, 0.038330, 2258.580280, 2.413288
1080.000000, 1.250000, 1.000000, 1.000000, 0.626450, 0.006490, 0.158300, 0.000260, 0.041970, 0.017980, 0.039730, 0.040260, 0.025940, 0.004310, 0.038320, 2263.189310, 2.531562
1060.000000, 1.250000, 0.985398, 0.988463, 0.629320, 0.006570, 0.156540, 0.000260, 0.040770, 0.018330, 0.038380, 0.040560, 0.026270, 0.004180, 0.038820, 2262.149450, 2.658926
1040.000000, 1.250000, 0.953464, 0.963814, 0.637090, 0.006750, 0.152970, 0.000270, 0.036480, 0.018940, 0.035450, 0.041270, 0.027070, 0.003700, 0.040000, 2252.594160, 2.803892
1020.000000, 1.250000, 0.925689, 0.942125, 0.644330, 0.006900, 0.149560, 0.000290, 0.032430, 0.019540, 0.032830, 0.041840, 0.027830, 0.003240, 0.041200, 2243.803150, 2.945460
1000.000000, 1.250000, 0.901037, 0.922661, 0.650980, 0.007030, 0.146340, 0.000290, 0.028670, 0.020150, 0.030260, 0.042360, 0.028650, 0.002810, 0.042450, 2235.538770, 3.081477
980.000000, 1.250000, 0.877994, 0.904219, 0.657030, 0.007150, 0.143510, 0.000240, 0.025390, 0.020470, 0.028040, 0.042670, 0.029400, 0.002460, 0.043640, 2228.297300, 3.219786
960.000000, 1.250000, 0.856242, 0.886526, 0.663170, 0.007270, 0.140710, 0.000150, 0.022540, 0.020370, 0.026080, 0.042790, 0.030140, 0.002180, 0.044600, 2222.358020, 3.371566
940.000000, 1.250000, 0.832272, 0.859693, 0.668690, 0.007450, 0.137900, 0.000110, 0.020340, 0.020590, 0.024560, 0.042760, 0.030740, 0.001960, 0.044900, 2220.771050, 3.542705
920.000000, 1.250000, 0.807210, 0.832596, 0.675030, 0.007600, 0.135430, 0.000090, 0.017630, 0.020030, 0.022620, 0.042590, 0.031970, 0.001700, 0.045310, 2217.250270, 3.725279
900.000000, 1.250000, 0.783328, 0.803471, 0.682000, 0.007880, 0.131310, 0.000050, 0.016580, 0.020210, 0.021850, 0.041530, 0.032280, 0.001600, 0.044690, 2220.266070, 3.959296
880.000000, 1.250000, 0.756672, 0.772845, 0.688510, 0.008070, 0.128050, 0.000030, 0.014810, 0.020290, 0.020520, 0.040730, 0.033000, 0.001430, 0.044550, 2220.418710, 4.177222
860.000000, 1.250000, 0.725190, 0.736204, 0.695770, 0.007360, 0.124710, 0.000030, 0.013210, 0.020210, 0.019550, 0.039240, 0.034370, 0.001270, 0.044280, 2220.211280, 4.408780
840.000000, 1.250000, 0.682063, 0.691619, 0.704150, 0.006360, 0.122770, 0.000030, 0.011610, 0.018170, 0.017220, 0.037690, 0.036470, 0.001090, 0.044430, 2215.618310, 4.645212
820.000000, 1.250000, 0.642048, 0.648793, 0.714030, 0.005430, 0.119580, 0.000030, 0.010410, 0.016540, 0.015520, 0.035210, 0.038430, 0.000950, 0.043870, 2214.030560, 4.940921
800.000000, 1.250000, 0.606040, 0.609312, 0.726560, 0.004800, 0.114640, 0.000040, 0.009470, 0.015310, 0.013990, 0.031120, 0.041340, 0.000860, 0.041870, 2217.406130, 5.354218
780.000000, 1.250000, 0.566298, 0.569517, 0.728760, 0.004110, 0.114960, 0.000020, 0.008160, 0.013900, 0.013020, 0.029900, 0.043770, 0.000720, 0.042670, 2214.212090, 5.541253
760.000000, 1.250000, 0.529557, 0.529687, 0.744450, 0.003410, 0.107870, 0.000030, 0.007450, 0.012090, 0.012680, 0.025640, 0.045310, 0.000640, 0.040440, 2216.737790, 6.039118
740.000000, 1.250000, 0.496152, 0.495043, 0.755850, 0.002900, 0.102810, 0.000030, 0.006850, 0.010940, 0.013100, 0.022580, 0.045390, 0.000570, 0.038980, 2219.023290, 6.487341
720.000000, 1.250000, 0.468183, 0.467262, 0.764010, 0.002540, 0.099470, 0.000040, 0.006200, 0.010090, 0.013560, 0.020390, 0.044830, 0.000520, 0.038350, 2219.801280, 6.878745
700.000000, 1.250000, 0.438855, 0.438395, 0.773050, 0.001980, 0.095870, 0.000030, 0.005860, 0.009540, 0.013990, 0.018330, 0.043320, 0.000480, 0.037550, 2220.809390, 7.307444
680.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
660.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
