T[C], P[kbar], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_partial[cm3], Rho[kg/m3], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1100.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -985.151080, 25.862170, 2258.580280, 0.159391, -766.283200, 13.705670, 0.000000, 2.463390, 0.000000, 0.430761
1080.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -981.785240, 25.805880, 2263.189310, 0.158018, -767.963900, 13.734970, 0.000000, 2.463500, 0.000000, 0.430761
1060.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -978.440620, 25.738780, 2269.185777, 0.156643, -769.612100, 14.176440, 0.240380, 2.526530, 0.325340, 0.430761
1040.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -975.123040, 25.641390, 2277.046861, 0.155256, -771.249300, 15.195550, 0.800510, 2.667810, 0.591890, 0.430761
1020.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -971.842040, 25.553850, 2283.644063, 0.153883, -772.848300, 16.069330, 1.285040, 2.782560, 0.748000, 0.430761
1000.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -968.595840, 25.467920, 2289.188828, 0.152501, -774.438900, 16.822730, 1.711740, 2.877970, 0.861450, 0.430761
980.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -965.387630, 25.384470, 2294.855170, 0.151073, -776.070900, 17.513570, 2.118310, 2.963410, 0.956380, 0.430761
960.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -962.216870, 25.333600, 2300.960951, 0.149756, -777.545400, 18.163770, 2.509510, 3.041610, 1.038920, 0.430761
940.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -959.080570, 25.399200, 2293.940133, 0.148336, -779.126300, 17.923710, 2.899470, 3.064700, 1.117950, 0.430761
920.000000, 1.250000, 0.626410, 0.006490, 0.158440, 0.000260, 0.042000, 0.017830, 0.039790, 0.040260, 0.025930, 0.004310, 0.038290, -955.980090, 25.462080, 2286.979891, 0.146913, -780.690900, 17.814250, 3.294640, 3.097280, 1.192990, 0.430761
