T[C], P[kbar], fraction[wt], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_molar[cm3/mol], V_partial[cm3], Cp[kJ/K], Rho[kg/m3], Alpha[1/K], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1200.000000, 1.250000, 0.000180, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -327.006670, -79.830130, -0.028670, 0.037030, -400.851140, 0.000668, 0.250355, 41.803900, 0.070000, 0.000000, NaN, -0.000000, NaN
1180.000000, 1.250000, 0.000160, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -322.004620, -78.763620, -0.025100, 0.036940, -406.278940, 0.000677, 0.249849, 41.063800, 0.070000, 0.000000, NaN, -0.000000, NaN
1160.000000, 1.250000, 0.000140, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -317.012750, -77.696170, -0.021530, 0.036960, -411.860730, 0.000687, 0.249337, 40.324700, 0.070000, 0.000000, NaN, -0.000000, NaN
1140.000000, 1.250000, 0.000120, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -312.031180, -76.627730, -0.018270, 0.036850, -417.603410, 0.000697, 0.248818, 39.586500, 0.070000, 0.000000, NaN, -0.000000, NaN
1120.000000, 1.250000, 0.000100, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -307.060050, -75.558250, -0.014740, 0.036820, -423.514310, 0.000708, 0.248293, 38.849400, 0.070000, 0.000000, NaN, -0.000000, NaN
1100.000000, 1.250000, 0.000080, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -302.099510, -74.487680, -0.012520, 0.036780, -429.601220, 0.000719, 0.247761, 38.113200, 0.070000, 0.000000, NaN, -0.000000, NaN
1080.000000, 1.250000, 0.000070, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -297.149670, -73.415970, -0.010510, 0.036810, -435.872460, 0.000730, 0.247222, 37.378100, 0.070000, 0.000000, NaN, -0.000000, NaN
1060.000000, 1.250000, 0.000060, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -292.210690, -72.343050, -0.008340, 0.036640, -442.336870, 0.000742, 0.246675, 36.644100, 0.070000, 0.000000, NaN, -0.000000, NaN
1040.000000, 1.250000, 0.000050, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -287.282720, -71.268870, -0.007280, 0.036580, -449.003900, 0.000754, 0.246121, 35.911200, 0.070000, 0.000000, NaN, -0.000000, NaN
1020.000000, 1.250000, 0.000040, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -282.365900, -70.193350, -0.006030, 0.036590, -455.883650, 0.000767, 0.245560, 35.179400, 0.070000, 0.000000, NaN, -0.000000, NaN
1000.000000, 1.250000, 0.000030, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -277.460390, -69.116430, -0.004420, 0.036550, -462.986900, 0.000780, 0.244990, 34.448700, 0.070000, 0.000000, NaN, -0.000000, NaN
980.000000, 1.250000, 0.000030, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -272.566350, -68.038030, -0.003430, 0.036440, -470.325220, 0.000793, 0.244413, 33.719300, 0.070000, 0.000000, NaN, -0.000000, NaN
960.000000, 1.250000, 0.000020, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -267.683940, -66.958070, -0.002750, 0.036380, -477.911000, 0.000807, 0.243827, 32.991100, 0.070000, 0.000000, NaN, -0.000000, NaN
940.000000, 1.250000, 0.000020, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -262.813330, -65.876480, -0.002210, 0.036360, -485.757580, 0.000822, 0.243232, 32.264100, 0.070000, 0.000000, NaN, -0.000000, NaN
920.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -257.954700, -64.793160, -0.001820, 0.036270, -493.879270, 0.000837, 0.242629, 31.538500, 0.070000, 0.000000, NaN, -0.000000, NaN
900.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -253.108220, -63.708030, -0.001620, 0.036190, -502.291490, 0.000852, 0.242017, 30.814200, 0.070000, 0.000000, NaN, -0.000000, NaN
880.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -248.274080, -62.620980, -0.001450, 0.036080, -511.010880, 0.000869, 0.241396, 30.091200, 0.070000, 0.000000, NaN, -0.000000, NaN
860.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -243.452460, -61.531900, -0.001310, 0.036030, -520.055410, 0.000886, 0.240764, 29.369700, 0.070000, 0.000000, NaN, -0.000000, NaN
840.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -238.643570, -60.440700, -0.001190, 0.035990, -529.444540, 0.000904, 0.240123, 28.649600, 0.070000, 0.000000, NaN, -0.000000, NaN
820.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -233.847600, -59.347250, -0.001100, 0.035900, -539.199330, 0.000922, 0.239472, 27.931000, 0.070000, 0.000000, NaN, -0.000000, NaN
800.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -229.064770, -58.251440, -0.001020, 0.035820, -549.342690, 0.000942, 0.238810, 27.214000, 0.070000, 0.000000, NaN, -0.000000, NaN
780.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -224.295290, -57.153110, -0.000950, 0.035740, -559.899500, 0.000962, 0.238137, 26.498500, 0.070000, 0.000000, NaN, -0.000000, NaN
760.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -219.539370, -56.052150, -0.000900, 0.035630, -570.896910, 0.000983, 0.237453, 25.784700, 0.070000, 0.000000, NaN, -0.000000, NaN
740.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -214.797260, -54.948400, -0.000860, 0.035560, -582.364560, 0.001006, 0.236757, 25.072600, 0.070000, 0.000000, NaN, -0.000000, NaN
720.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -210.069190, -53.841700, -0.000820, 0.035480, -594.334890, 0.001029, 0.236048, 24.362300, 0.070000, 0.000000, NaN, -0.000000, NaN
700.000000, 1.250000, 0.000010, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, -205.355410, -52.731890, -0.000790, 0.035370, -606.843470, 0.001054, 0.235328, 23.653800, 0.070000, 0.000000, NaN, -0.000000, NaN
