"Rawson et al., Compositional variability in mafic arc magmas over short spatial and temporal scales: evidence for the signature of mantle reactive melt channels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary whole rock analyses new and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Raw Whole Rock Major data (wt.%),,,,,,,,,,,,,,Normalised Whole Rock Major data (wt%),,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano,Sample,Description/unit,"Modelled age cal. yrs BP (from Rawson et al., 2015 JVGR)",Latitude (ºS ),Longitude (ºW),Reference,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#,LOI,Total,,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,,Y,Zr,Nb,Mo,Pb,P,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Ba,Ce,Th,U,Cs,La,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta
Mocho-Choshuenco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mocho-Choshuenco,130130_04A,kangechi cone,,39.866,71.904,this study,48.92,1.19,18.27,10.20,0.17,7.80,8.16,2.62,0.76,0.29,60.22,1.76,100.14,,48.86,1.19,18.25,10.18,0.17,7.79,8.15,2.62,0.76,0.29,,23.07,161.40,9.67,0.62,9.28,1270.20,26.66,171.41,213.54,41.73,123.23,61.26,92.83,20.46,41.13,781.23,441.31,52.24,3.76,0.94,1.04,24.10,7.03,31.00,6.34,1.91,5.78,0.85,5.06,0.97,2.80,0.38,2.56,0.39,4.21,0.60
Mocho-Choshuenco,130130_02D,kangechi cone,pre-dating MC4,39.865,71.896,this study,49.17,1.27,18.65,10.01,0.17,7.15,8.46,3.25,0.95,0.39,58.57,0.68,100.15,,49.10,1.26,18.63,9.99,0.17,7.14,8.45,3.24,0.95,0.39,,22.63,166.69,11.24,0.92,14.30,1790.38,28.00,212.04,168.74,40.69,114.19,59.34,95.83,20.94,20.62,Over range,824.78,67.87,8.56,1.82,1.27,31.84,8.13,35.03,6.98,2.04,5.79,0.84,5.05,0.96,2.73,0.38,2.50,0.36,4.21,0.68
Mocho-Choshuenco,130107_01A,kangechi cone,14918-12183,39.853,71.921,this study,49.62,1.20,18.18,9.98,0.16,7.19,7.87,2.79,0.85,0.34,58.78,2.01,100.19,,49.53,1.20,18.14,9.96,0.16,7.18,7.85,2.78,0.85,0.34,,24.09,157.85,9.94,0.83,13.84,1588.52,27.94,192.57,199.65,41.76,139.41,63.69,93.14,20.60,23.43,883.17,877.63,64.32,7.92,1.90,2.14,31.23,8.13,34.24,6.73,1.97,5.91,0.82,4.97,0.96,2.74,0.38,2.55,0.39,3.92,0.62
Mocho-Choshuenco,130107_01B,kangechi cone,14918-12183,39.853,71.921,this study,45.97,1.39,19.76,10.96,0.16,7.69,7.50,2.65,0.72,0.43,58.14,2.91,100.15,,45.90,1.39,19.73,10.94,0.16,7.68,7.49,2.65,0.72,0.42,,24.69,174.63,12.34,0.84,15.01,Over range,29.50,220.46,203.01,43.04,125.15,53.15,77.65,21.67,14.63,792.32,626.09,66.39,8.57,1.92,0.89,32.64,8.79,37.12,7.21,2.22,6.43,0.90,5.25,1.01,2.96,0.41,2.71,0.40,4.44,0.79
Mocho-Choshuenco,130111_08A,kangechi cone,,39.865,71.887,this study,51.36,1.10,17.61,9.40,0.15,7.55,8.90,2.91,0.77,0.33,61.40,-0.06,100.01,,51.35,1.09,17.61,9.40,0.15,7.55,8.90,2.91,0.77,0.33,,21.24,82.84,6.59,1.32,6.34,1510.66,27.90,225.63,274.79,37.54,134.16,9.55,77.37,19.15,14.58,706.89,467.67,44.95,4.18,0.82,0.47,22.66,6.04,26.47,5.44,1.65,5.04,0.73,4.70,0.89,2.53,0.35,2.29,0.35,2.58,0.39
Mocho-Choshuenco,130116_11E,kangechi cone,14918-12183,39.868,71.913,this study,51.38,1.39,18.20,9.41,0.16,4.99,9.09,3.38,1.34,0.50,51.18,0.19,100.02,,51.37,1.39,18.19,9.41,0.16,4.99,9.08,3.38,1.34,0.50,,29.21,216.97,14.12,1.35,38.71,Over range,30.68,251.01,82.13,29.76,32.33,70.68,93.70,21.55,32.06,794.93,546.91,69.29,5.01,1.31,1.33,32.46,9.10,41.72,8.21,2.39,7.42,1.07,6.30,1.22,3.52,0.49,3.16,0.49,5.59,0.85
Mocho-Choshuenco,130121_10A,kangechi cone,same age as MC15,39.860,71.903,this study,50.08,1.16,18.00,9.66,0.16,7.41,8.90,3.25,0.91,0.31,60.27,0.16,99.98,,50.08,1.16,18.01,9.66,0.16,7.41,8.90,3.25,0.91,0.31,,22.97,149.08,8.36,0.90,12.44,1459.51,28.70,223.19,192.18,38.80,127.97,63.23,88.82,20.34,19.84,901.37,781.52,60.23,7.33,1.71,1.60,28.63,7.39,32.95,6.50,1.85,5.82,0.80,4.94,0.96,2.68,0.38,2.46,0.38,3.76,0.53
Mocho-Choshuenco,115_01A,kangechi cone,pre-dating MC3,39.868,71.913,this study,52.00,1.40,18.15,9.41,0.16,5.09,9.09,3.67,1.38,0.50,51.71,0.11,100.98,,51.50,1.38,17.98,9.32,0.16,5.05,9.00,3.64,1.37,0.50,,28.88,216.91,14.09,1.41,10.84,Over range,30.27,254.84,85.43,30.42,35.04,73.99,92.49,21.93,32.31,807.41,558.22,69.28,4.98,1.31,1.41,33.43,9.00,40.73,8.15,2.26,7.12,1.01,6.54,1.20,3.51,0.47,3.17,0.47,5.36,0.85
