Sample,Rock Type,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,Total
826-3C,VOL,43.24,1.13,20.05,9.86,8.69,7.33,2.19,0.36,92.85
130120_06A,VOL,43.54,1.11,22.88,9.51,4.80,7.40,2.41,0.31,91.97
828-6A,VOL,44.46,1.67,17.32,9.86,9.51,8.86,2.53,0.83,95.04
130107_01B,VOL,45.97,1.39,19.76,9.86,7.69,7.50,2.65,0.72,95.55
115_03F,VOL,46.36,1.21,22.18,9.71,4.08,7.61,2.52,0.36,94.02
115_03I,VOL,47.24,1.16,21.55,9.44,4.50,8.12,2.67,0.44,95.14
PU-02-03,VOL,47.78,0.67,13.89,10.83,16.17,7.93,2.14,0.30,99.71
15-6A,VOL,48.20,0.69,15.08,8.54,13.44,9.02,1.96,0.42,97.35
115_03E,VOL,48.25,1.11,21.57,9.04,4.47,7.82,2.67,0.45,95.37
120309/02A,VOL,48.50,1.02,17.80,9.44,10.21,8.38,2.79,0.46,98.60
160390-05,VOL,48.61,1.55,16.30,9.47,8.12,10.10,3.15,1.18,98.48
160390-01,VOL,48.84,1.50,16.60,8.76,8.06,10.46,3.29,1.18,98.69
130130_04A,VOL,48.92,1.19,18.27,9.18,7.80,8.16,2.62,0.76,96.91
826-3B,VOL,48.94,0.99,18.25,8.75,8.00,9.23,2.52,0.45,97.13
826-3A,VOL,49.12,1.01,17.98,8.83,8.14,9.27,2.55,0.48,97.38
15-6B,VOL,49.14,0.66,14.01,8.50,15.05,8.59,1.92,0.44,98.31
130130_02D,VOL,49.17,1.27,18.65,9.00,7.15,8.46,3.25,0.95,97.91
803-5C,VOL,49.25,0.85,18.13,7.60,7.94,9.12,2.64,0.59,96.12
Sanj-3,VOL,49.37,0.76,15.51,9.70,10.80,9.57,2.46,0.41,98.58
CLD179D,VOL,49.42,0.99,18.15,8.57,8.77,9.16,2.77,0.80,98.62
160390-04,VOL,49.46,1.55,16.30,9.11,7.30,10.36,3.25,1.16,98.49
PU-05-07,VOL,49.57,0.69,20.84,7.81,6.83,11.01,2.54,0.46,99.76
130107_01A,VOL,49.62,1.20,18.18,8.98,7.19,7.87,2.79,0.85,96.68
FB210314-2,VOL,49.75,1.15,16.68,9.11,7.57,8.93,2.93,1.10,97.22
20-3C,VOL,49.80,0.89,18.57,8.05,7.32,9.49,2.59,0.57,97.28
21-5C,VOL,49.82,0.77,15.49,8.38,12.24,9.13,2.18,0.47,98.47
21-5C,VOL,49.82,0.77,15.49,8.38,12.24,9.13,2.18,0.47,98.47
Cord2-2,VOL,49.85,1.17,17.28,9.04,6.42,8.19,3.28,1.23,96.46
Cab1-2,VOL,49.88,1.11,17.50,9.04,6.71,8.92,3.22,0.68,97.06
CLD313A,VOL,49.93,1.13,20.26,10.10,5.25,8.46,3.07,0.35,98.54
CLD218A,VOL,49.96,1.52,18.33,11.21,4.68,7.74,3.72,1.08,98.24
Huel-1,VOL,49.96,1.11,17.73,9.65,5.66,9.40,3.17,0.82,97.50
120308/06C,VOL,50.00,0.98,17.91,8.40,8.26,9.38,2.89,0.83,98.64
120308/06C,VOL,50.00,0.98,17.91,8.40,8.26,9.38,2.89,0.83,98.64
040976-04,VOL,50.04,0.46,21.30,8.99,3.11,11.96,3.12,0.40,99.38
130121_10A,VOL,50.08,1.16,18.00,8.69,7.41,8.90,3.25,0.91,98.39
