Title: dummy

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
1000.00 1100.00 99.999999 99.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1095.00 99.999999 99.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1090.00 99.999999 99.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1085.00 99.999999 99.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1080.00 99.999999 99.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1075.00 99.999999 99.999999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1070.00 99.999999 99.999932 0.000000 0.000000 0.000000 0.000066 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1065.00 99.999999 97.047808 0.000000 0.788436 0.320784 1.342046 0.000000 0.000000 0.500925 0.000000 0.000000 
1000.00 1060.00 99.999999 94.283015 0.000000 1.564379 0.576412 2.613753 0.000000 0.000000 0.962439 0.000000 0.000000 
1000.00 1055.00 99.999999 91.694081 0.000000 2.322719 0.778344 3.817620 0.000000 0.000000 1.387235 0.000000 0.000000 
1000.00 1050.00 99.999999 89.269055 0.000000 3.059846 0.936352 4.956652 0.000000 0.000000 1.778094 0.000000 0.000000 
1000.00 1045.00 99.999999 86.996166 0.000000 3.773399 1.058513 6.034149 0.000000 0.000000 2.137771 0.000000 0.000000 
1000.00 1040.00 99.999999 84.864135 0.000000 4.462009 1.151414 7.053527 0.000000 0.000000 2.468913 0.000000 0.000000 
1000.00 1035.00 99.999999 82.862358 0.000000 5.125044 1.220387 8.018193 0.000000 0.000000 2.774017 0.000000 0.000000 
1000.00 1030.00 99.999999 80.980995 0.000000 5.762413 1.269734 8.931460 0.000000 0.000000 3.055397 0.000000 0.000000 
1000.00 1025.00 99.999999 79.184996 0.000000 6.382631 1.299931 9.797211 0.000000 0.000000 3.317122 0.000000 0.018108 
