Title: dummy

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
1000.00 1100.00 99.999999 38.683553 38.683553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1095.00 99.999999 38.673976 38.673976 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1090.00 99.999999 38.664400 38.664400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1085.00 99.999999 38.654824 38.654824 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1080.00 99.999999 38.645247 38.645247 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1075.00 99.999999 38.635671 38.635671 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1070.00 99.999999 38.626093 38.626068 0.000000 0.000000 0.000000 0.000025 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1065.00 99.999999 38.537608 37.591977 0.000000 0.235701 0.094033 0.509502 0.000000 0.000000 0.106395 0.000000 0.000000 
1000.00 1060.00 99.999999 38.454933 36.622130 0.000000 0.467172 0.168633 0.992610 0.000000 0.000000 0.204387 0.000000 0.000000 
1000.00 1055.00 99.999999 38.377586 35.712630 0.000000 0.692925 0.227272 1.450215 0.000000 0.000000 0.294543 0.000000 0.000000 
1000.00 1050.00 99.999999 38.305104 34.859421 0.000000 0.911922 0.272899 1.883413 0.000000 0.000000 0.377450 0.000000 0.000000 
1000.00 1045.00 99.999999 38.237061 34.058512 0.000000 1.123498 0.307943 2.293414 0.000000 0.000000 0.453694 0.000000 0.000000 
1000.00 1040.00 99.999999 38.173066 33.306078 0.000000 1.327288 0.334380 2.681483 0.000000 0.000000 0.523837 0.000000 0.000000 
1000.00 1035.00 99.999999 38.112767 32.598522 0.000000 1.523144 0.353804 3.048884 0.000000 0.000000 0.588412 0.000000 0.000000 
1000.00 1030.00 99.999999 38.055849 31.932503 0.000000 1.711078 0.367500 3.396852 0.000000 0.000000 0.647916 0.000000 0.000000 
1000.00 1025.00 99.999999 38.001193 31.296140 0.000000 1.893659 0.375636 3.726842 0.000000 0.000000 0.703217 0.000000 0.005699 
1000.00 1020.00 99.999999 37.937518 30.595806 0.000000 2.088742 0.408797 4.070560 0.000000 0.000000 0.682977 0.067413 0.023222 
1000.00 1015.00 99.999999 37.874527 29.916182 0.000000 2.274725 0.450321 4.402385 0.000000 0.000000 0.643662 0.147047 0.040207 
1000.00 1010.00 99.999999 37.814810 29.277341 0.000000 2.448261 0.492264 4.715507 0.000000 0.000000 0.604635 0.221255 0.055546 
1000.00 1005.00 99.999999 37.758094 28.675761 0.000000 2.610916 0.534047 5.011316 0.000000 0.000000 0.566160 0.290478 0.069416 
1000.00 1000.00 99.999999 37.704155 28.108479 0.000000 2.763961 0.575151 5.291035 0.000000 0.000000 0.528490 0.355074 0.081966 
1000.00 995.00 99.999999 37.652814 27.572975 0.000000 2.908433 0.615123 5.555756 0.000000 0.000000 0.491862 0.415345 0.093319 
1000.00 990.00 99.999999 37.603916 27.067070 0.000000 3.045179 0.653581 5.806462 0.000000 0.000000 0.456490 0.471550 0.103584 
1000.00 985.00 99.999999 37.557331 26.588847 0.000000 3.174890 0.690213 6.044055 0.000000 0.000000 0.422557 0.523920 0.112850 
1000.00 980.00 99.999999 37.512943 26.136589 0.000000 3.298135 0.724778 6.269364 0.000000 0.000000 0.390211 0.572669 0.121198 
1000.00 975.00 99.999999 37.470646 25.708732 0.000000 3.415389 0.757106 6.483161 0.000000 0.000000 0.359561 0.618002 0.128695 
1000.00 970.00 99.999999 37.430386 25.303801 0.000678 3.527328 0.786097 6.686258 0.000000 0.000000 0.330675 0.660125 0.135424 
1000.00 965.00 99.999999 37.396200 24.919193 0.061739 3.658141 0.724077 6.886613 0.000000 0.000000 0.303256 0.699805 0.143376 
1000.00 960.00 99.999999 37.363755 24.557577 0.117619 3.780466 0.667109 7.076080 0.000000 0.000000 0.278213 0.736215 0.150476 
1000.00 955.00 99.999999 37.332934 24.217134 0.168907 3.895041 0.614504 7.255518 0.000000 0.000000 0.255381 0.769658 0.156791 
1000.00 950.00 99.999999 37.303628 23.896222 0.216113 4.002511 0.565689 7.425702 0.000000 0.000000 0.234598 0.800413 0.162381 
1000.00 945.00 99.999999 37.275736 23.593359 0.259683 4.103448 0.520186 7.587328 0.000000 0.000000 0.215710 0.828728 0.167293 
1000.00 940.00 99.999999 37.249164 23.307205 0.300006 4.198359 0.477596 7.741028 0.000000 0.000000 0.198567 0.854831 0.171572 
1000.00 935.00 99.999999 36.979991 20.329542 0.543299 4.619650 0.042581 8.550538 0.000000 1.560309 0.197507 0.904296 0.232268 
1000.00 930.00 99.999999 36.747540 17.819899 0.667548 4.752055 0.000000 9.243655 0.000000 2.856157 0.177943 0.949735 0.280547 
1000.00 925.00 99.999999 36.559922 15.816605 0.752710 4.843925 0.000000 9.799371 0.000000 3.882847 0.158400 0.986999 0.319065 
1000.00 920.00 99.999999 36.402699 14.149524 0.819396 4.924514 0.000000 10.263892 0.000000 4.734800 0.141361 1.017814 0.351398 
1000.00 915.00 99.999999 36.268610 12.735638 0.872859 4.994340 0.000000 10.661572 0.000000 5.454867 0.126739 1.043533 0.379060 
1000.00 910.00 99.999999 36.152369 11.514954 0.916563 5.054405 0.000000 11.010037 0.000000 6.073724 0.114331 1.065197 0.403157 
1000.00 905.00 99.999999 36.049970 10.442249 0.952913 5.105835 0.000000 11.322667 0.000000 6.614249 0.103898 1.083617 0.424543 
1000.00 900.00 99.999999 35.958257 9.481968 0.983647 5.149735 0.000000 11.610185 0.000000 7.094180 0.095193 1.099440 0.443909 
1000.00 895.00 99.999999 35.581092 5.018254 1.075010 5.272830 0.000000 11.903424 1.469896 9.073976 0.058090 1.161118 0.548495 
1000.00 890.00 99.999999 35.165497 0.000000 1.175044 5.385435 0.000000 12.078257 3.345777 11.262798 0.017335 1.228454 0.672397 
1000.00 885.00 99.999999 35.162450 0.000000 1.176819 5.375870 0.000000 12.070046 3.352450 11.266293 0.022342 1.226233 0.672397 
1000.00 880.00 99.999999 35.159399 0.000000 1.178559 5.366362 0.000000 12.062128 3.358843 11.269753 0.027322 1.224036 0.672397 
1000.00 875.00 99.999999 35.156344 0.000000 1.180265 5.356912 0.000000 12.054495 3.364961 11.273179 0.032273 1.221862 0.672397 
1000.00 870.00 99.999999 35.153286 0.000000 1.181938 5.347521 0.000000 12.047140 3.370813 11.276571 0.037195 1.219712 0.672397 
1000.00 865.00 99.999999 35.150225 0.000000 1.183579 5.338190 0.000000 12.040057 3.376403 11.279928 0.042086 1.217585 0.672397 
1000.00 860.00 99.999999 35.147159 0.000000 1.185188 5.328919 0.000000 12.033237 3.381740 11.283252 0.046945 1.215482 0.672397 
1000.00 855.00 99.999999 35.144090 0.000000 1.186768 5.319709 0.000000 12.026674 3.386828 11.286542 0.051772 1.213401 0.672397 
1000.00 850.00 99.999999 35.141016 0.000000 1.188318 5.310561 0.000000 12.020361 3.391673 11.289798 0.056566 1.211342 0.672397 
1000.00 845.00 99.999999 35.137938 0.000000 1.189840 5.301475 0.000000 12.014293 3.396282 11.293020 0.061326 1.209306 0.672397 
1000.00 840.00 99.999999 35.134856 0.000000 1.191334 5.292452 0.000000 12.008462 3.400659 11.296210 0.066051 1.207291 0.672397 
1000.00 835.00 99.999999 35.200343 0.763760 1.165174 5.291412 0.000000 12.004816 3.403878 11.295464 0.072863 1.202976 0.000000 
1000.00 830.00 99.999999 35.197227 0.763362 1.167204 5.282242 0.000000 11.999391 3.407845 11.298704 0.077365 1.201113 0.000000 
1000.00 825.00 99.999999 35.194106 0.762972 1.169194 5.273145 0.000000 11.994185 3.411596 11.301909 0.081838 1.199267 0.000000 
1000.00 820.00 99.999999 35.190981 0.762591 1.171147 5.264121 0.000000 11.989193 3.415134 11.305080 0.086279 1.197435 0.000000 
1000.00 815.00 99.999999 35.187852 0.762218 1.173064 5.255170 0.000000 11.984408 3.418465 11.308218 0.090690 1.195619 0.000000 
1000.00 810.00 99.999999 35.184718 0.761854 1.174947 5.246292 0.000000 11.979826 3.421594 11.311322 0.095069 1.193816 0.000000 
1000.00 805.00 99.999999 35.181579 0.761497 1.176795 5.237487 0.000000 11.975440 3.424524 11.314393 0.099415 1.192029 0.000000 
1000.00 800.00 99.999999 35.178435 0.761148 1.178611 5.228755 0.000000 11.971245 3.427260 11.317433 0.103727 1.190255 0.000000 
