Title: dummy

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
1000.00 1200.00 100.000000 100.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1195.00 100.000000 100.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1190.00 100.000000 98.921784 0.000000 0.000000 0.000000 1.078216 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1185.00 100.000000 97.216858 0.000000 0.000000 0.000000 2.783141 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1180.00 100.000000 93.151325 0.000000 1.984141 0.000000 4.864533 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1175.00 100.000000 88.038577 0.000000 4.864916 0.000000 7.096506 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1170.00 100.000000 83.183983 0.000000 7.555828 0.000000 9.260189 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1165.00 100.000000 78.543704 0.000000 10.086231 0.000000 11.370065 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1160.00 100.000000 74.097767 0.000000 12.473300 0.000000 13.428932 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1155.00 100.000000 69.849821 0.000000 14.723537 0.000000 15.426642 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1150.00 100.000000 65.608451 0.000000 15.625326 1.293419 17.472804 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1145.00 100.000000 61.700477 0.000000 16.409671 2.538206 19.351646 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1140.00 100.000000 58.089721 0.000000 17.123020 3.710395 21.076863 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1135.00 100.000000 54.740961 0.000000 17.776622 4.819333 22.663084 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1130.00 100.000000 51.625578 0.000000 18.379472 5.872932 24.122018 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1125.00 100.000000 48.720183 0.000000 18.938783 6.877982 25.463052 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1120.00 100.000000 46.005494 0.000000 19.460377 7.840402 26.693727 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1115.00 100.000000 43.465411 0.000000 19.949012 8.765459 27.820118 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1110.00 100.000000 41.086198 0.000000 20.408672 9.657975 28.847155 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1105.00 100.000000 38.855752 0.000000 20.842826 10.522549 29.778872 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1100.00 100.000000 36.762934 0.000000 21.254663 11.363796 30.618606 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1095.00 100.000000 28.898844 0.000000 24.585664 12.049085 31.020548 0.000000 0.000000 3.445859 0.000000 0.000000 
1000.00 1090.00 100.000000 26.661355 0.000000 25.219732 12.434036 31.803115 0.000000 0.000000 3.881762 0.000000 0.000000 
1000.00 1085.00 100.000000 24.886658 0.000000 25.693759 12.748172 32.484883 0.000000 0.000000 4.186527 0.000000 0.000000 
1000.00 1080.00 100.000000 23.425670 0.000000 26.065159 13.011347 33.082307 0.000000 0.000000 4.415517 0.000000 0.000000 
1000.00 1075.00 100.000000 22.195046 0.000000 26.364008 13.235990 33.609570 0.000000 0.000000 4.595386 0.000000 0.000000 
1000.00 1070.00 100.000000 21.141186 0.000000 26.608743 13.430620 34.078231 0.000000 0.000000 4.741219 0.000000 0.000000 
1000.00 1065.00 100.000000 20.226950 0.000000 26.811690 13.601366 34.497612 0.000000 0.000000 4.862381 0.000000 0.000000 
1000.00 1060.00 100.000000 19.425378 0.000000 26.981552 13.752781 34.875238 0.000000 0.000000 4.965050 0.000000 0.000000 
1000.00 1055.00 100.000000 18.716254 0.000000 27.124711 13.888333 35.217217 0.000000 0.000000 5.053485 0.000000 0.000000 
1000.00 1050.00 100.000000 18.084049 0.000000 27.245986 14.010709 35.528537 0.000000 0.000000 5.130720 0.000000 0.000000 
1000.00 1045.00 100.000000 17.516596 0.000000 27.349092 14.122032 35.813302 0.000000 0.000000 5.198977 0.000000 0.000000 
1000.00 1040.00 100.000000 17.004216 0.000000 27.436951 14.223999 36.074913 0.000000 0.000000 5.259920 0.000000 0.000000 
1000.00 1035.00 100.000000 16.539095 0.000000 27.511892 14.317989 36.316208 0.000000 0.000000 5.314816 0.000000 0.000000 
1000.00 1030.00 100.000000 16.112475 0.000000 27.576369 14.404970 36.539739 0.000000 0.000000 5.364830 0.000000 0.001616 
1000.00 1025.00 100.000000 15.710728 0.000000 27.633837 14.485274 36.748042 0.000000 0.000000 5.411349 0.000000 0.010768 
1000.00 1020.00 100.000000 15.342014 0.000000 27.682520 14.560520 36.941919 0.000000 0.000000 5.453994 0.000000 0.019033 
1000.00 1015.00 100.000000 15.002338 0.000000 27.723577 14.631379 37.122904 0.000000 0.000000 5.493292 0.000000 0.026510 
1000.00 1010.00 100.000000 14.504616 0.000000 27.772333 14.851582 37.361859 0.000000 0.000000 5.274047 0.195282 0.040281 
1000.00 1005.00 100.000000 14.024468 0.000000 27.814002 15.075229 37.593518 0.000000 0.000000 5.037414 0.401690 0.053679 
1000.00 1000.00 100.000000 13.586731 0.000000 27.847449 15.279002 37.808589 0.000000 0.000000 4.822898 0.589599 0.065731 
1000.00 995.00 100.000000 13.186633 0.000000 27.873801 15.464561 38.008909 0.000000 0.000000 4.628566 0.760937 0.076593 
1000.00 990.00 100.000000 12.820000 0.000000 27.893990 15.633492 38.196081 0.000000 0.000000 4.452599 0.917444 0.086395 
1000.00 985.00 100.000000 12.483187 0.000000 27.908788 15.787283 38.371510 0.000000 0.000000 4.293301 1.060680 0.095251 
1000.00 980.00 100.000000 12.173003 0.000000 27.918842 15.927318 38.536424 0.000000 0.000000 4.149114 1.192041 0.103257 
1000.00 975.00 100.000000 11.886656 0.000000 27.924696 16.054873 38.691897 0.000000 0.000000 4.018614 1.312767 0.110496 
1000.00 970.00 100.000000 11.621701 0.000000 27.926809 16.171113 38.838871 0.000000 0.000000 3.900505 1.423959 0.117042 
1000.00 965.00 100.000000 11.375989 0.000000 27.925573 16.277100 38.978170 0.000000 0.000000 3.793617 1.526596 0.122955 
1000.00 960.00 100.000000 11.147635 0.000000 27.921323 16.373795 39.110521 0.000000 0.000000 3.696894 1.621543 0.128290 
1000.00 955.00 100.000000 10.934978 0.000000 27.914347 16.462069 39.236562 0.000000 0.000000 3.609386 1.709566 0.133093 
1000.00 950.00 100.000000 10.736553 0.000000 27.904898 16.542708 39.356854 0.000000 0.000000 3.530240 1.791343 0.137404 
1000.00 945.00 100.000000 10.551067 0.000000 27.893194 16.616420 39.471896 0.000000 0.000000 3.458689 1.867476 0.141258 
1000.00 940.00 100.000000 10.377374 0.000000 27.879426 16.683844 39.582128 0.000000 0.000000 3.394044 1.938498 0.144686 
