Title: dummy

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
1000.00 1200.00 100.000000 36.825524 36.825524 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1195.00 100.000000 36.813613 36.813613 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1190.00 100.000000 36.784480 36.379496 0.000000 0.000000 0.000000 0.404984 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1185.00 100.000000 36.745136 35.699297 0.000000 0.000000 0.000000 1.045839 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1180.00 100.000000 36.598483 34.157716 0.000000 0.611484 0.000000 1.829283 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1175.00 100.000000 36.404137 32.235934 0.000000 1.497355 0.000000 2.670848 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1170.00 100.000000 36.221133 30.410841 0.000000 2.322271 0.000000 3.488021 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1165.00 100.000000 36.047826 28.666551 0.000000 3.095158 0.000000 4.286117 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1160.00 100.000000 35.883340 26.996068 0.000000 3.821230 0.000000 5.066042 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1155.00 100.000000 35.727480 25.401134 0.000000 4.502531 0.000000 5.823815 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1150.00 100.000000 35.575696 23.812567 0.000000 4.770972 0.391652 6.600504 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1145.00 100.000000 35.435042 22.350548 0.000000 5.002858 0.766945 7.314691 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1140.00 100.000000 35.304203 21.001615 0.000000 5.212461 1.118755 7.971372 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1135.00 100.000000 35.181978 19.752723 0.000000 5.403302 1.450042 8.575912 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1130.00 100.000000 35.067398 18.593294 0.000000 5.578197 1.763313 9.132594 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1125.00 100.000000 34.959667 17.514703 0.000000 5.739404 2.060723 9.644837 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1120.00 100.000000 34.858130 16.509859 0.000000 5.888744 2.344150 10.115377 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1115.00 100.000000 34.762238 15.572862 0.000000 6.027701 2.615267 10.546409 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1110.00 100.000000 34.671517 14.698702 0.000000 6.157511 2.875598 10.939706 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1105.00 100.000000 34.585543 13.882993 0.000000 6.279238 3.126592 11.296719 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1100.00 100.000000 34.503915 13.121740 0.000000 6.393845 3.369685 11.618645 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1095.00 100.000000 34.271916 10.835668 0.000000 7.376772 3.557734 11.767107 0.000000 0.000000 0.734636 0.000000 0.000000 
1000.00 1090.00 100.000000 34.199694 10.079323 0.000000 7.561400 3.666320 12.065812 0.000000 0.000000 0.826839 0.000000 0.000000 
1000.00 1085.00 100.000000 34.141474 9.470814 0.000000 7.698989 3.754607 12.325998 0.000000 0.000000 0.891066 0.000000 0.000000 
1000.00 1080.00 100.000000 34.092778 8.964967 0.000000 7.806502 3.828288 12.553875 0.000000 0.000000 0.939146 0.000000 0.000000 
1000.00 1075.00 100.000000 34.051086 8.535742 0.000000 7.892802 3.890937 12.754836 0.000000 0.000000 0.976770 0.000000 0.000000 
1000.00 1070.00 100.000000 34.014773 8.166014 0.000000 7.963311 3.945003 12.933288 0.000000 0.000000 1.007156 0.000000 0.000000 
1000.00 1065.00 100.000000 33.982707 7.843720 0.000000 8.021643 3.992248 13.092795 0.000000 0.000000 1.032301 0.000000 0.000000 
1000.00 1060.00 100.000000 33.954068 7.559986 0.000000 8.070346 4.033979 13.236238 0.000000 0.000000 1.053519 0.000000 0.000000 
1000.00 1055.00 100.000000 33.928238 7.308090 0.000000 8.111285 4.071189 13.365957 0.000000 0.000000 1.071716 0.000000 0.000000 
1000.00 1050.00 100.000000 33.904744 7.082824 0.000000 8.145866 4.104648 13.483869 0.000000 0.000000 1.087538 0.000000 0.000000 
1000.00 1045.00 100.000000 33.883214 6.880076 0.000000 8.175171 4.134962 13.591549 0.000000 0.000000 1.101457 0.000000 0.000000 
1000.00 1040.00 100.000000 33.863352 6.696556 0.000000 8.200050 4.162617 13.690304 0.000000 0.000000 1.113825 0.000000 0.000000 
1000.00 1035.00 100.000000 33.844919 6.529595 0.000000 8.221180 4.188006 13.781227 0.000000 0.000000 1.124910 0.000000 0.000000 
1000.00 1030.00 100.000000 33.827646 6.376194 0.000000 8.239278 4.211404 13.865299 0.000000 0.000000 1.134962 0.000000 0.000509 
1000.00 1025.00 100.000000 33.811123 6.231697 0.000000 8.255364 4.232906 13.943492 0.000000 0.000000 1.144275 0.000000 0.003389 
1000.00 1020.00 100.000000 33.795591 6.098846 0.000000 8.268895 4.252972 14.016122 0.000000 0.000000 1.152765 0.000000 0.005990 
1000.00 1015.00 100.000000 33.780893 5.976257 0.000000 8.280208 4.271795 14.083745 0.000000 0.000000 1.160545 0.000000 0.008343 
1000.00 1010.00 100.000000 33.757492 5.791943 0.000000 8.292062 4.332774 14.173058 0.000000 0.000000 1.112742 0.042235 0.012677 
1000.00 1005.00 100.000000 33.734454 5.613505 0.000000 8.301801 4.394629 14.259509 0.000000 0.000000 1.061300 0.086815 0.016894 
1000.00 1000.00 100.000000 33.713131 5.450641 0.000000 8.309362 4.450788 14.339612 0.000000 0.000000 1.014699 0.127341 0.020687 
1000.00 995.00 100.000000 33.693342 5.301625 0.000000 8.315062 4.501735 14.414069 0.000000 0.000000 0.972506 0.164239 0.024105 
1000.00 990.00 100.000000 33.674926 5.164945 0.000000 8.319160 4.547930 14.483489 0.000000 0.000000 0.934316 0.197896 0.027190 
1000.00 985.00 100.000000 33.657739 5.039273 0.000000 8.321867 4.589804 14.548411 0.000000 0.000000 0.899751 0.228656 0.029977 
1000.00 980.00 100.000000 33.641655 4.923446 0.000000 8.323360 4.627757 14.609303 0.000000 0.000000 0.868466 0.256826 0.032497 
1000.00 975.00 100.000000 33.626561 4.816441 0.000000 8.323785 4.662157 14.666575 0.000000 0.000000 0.840148 0.282680 0.034775 
1000.00 970.00 100.000000 33.612357 4.717362 0.000000 8.323265 4.693337 14.720588 0.000000 0.000000 0.814511 0.306459 0.036835 
1000.00 965.00 100.000000 33.598955 4.625421 0.000000 8.321902 4.721602 14.771656 0.000000 0.000000 0.791299 0.328379 0.038696 
1000.00 960.00 100.000000 33.586278 4.539924 0.000000 8.319786 4.747229 14.820058 0.000000 0.000000 0.770278 0.348628 0.040375 
1000.00 955.00 100.000000 33.574256 4.460258 0.000000 8.316990 4.770465 14.866038 0.000000 0.000000 0.751243 0.367375 0.041887 
1000.00 950.00 100.000000 33.562828 4.385884 0.000000 8.313579 4.791535 14.909810 0.000000 0.000000 0.734007 0.384769 0.043243 
1000.00 945.00 100.000000 33.551939 4.316324 0.000000 8.309610 4.810640 14.951567 0.000000 0.000000 0.718401 0.400940 0.044457 
1000.00 940.00 100.000000 33.541542 4.251153 0.000000 8.305131 4.827964 14.991476 0.000000 0.000000 0.704278 0.416005 0.045535 
1000.00 935.00 100.000000 33.492943 3.769685 0.000000 8.321524 4.838589 15.143653 0.000000 0.234009 0.695346 0.435205 0.054933 
1000.00 930.00 100.000000 33.441307 3.253547 0.000000 8.335593 4.849178 15.306134 0.000000 0.489877 0.688106 0.453670 0.065202 
1000.00 925.00 100.000000 33.379363 2.567981 0.047957 8.356957 4.790039 15.527644 0.000000 0.849388 0.690478 0.467843 0.081075 
1000.00 920.00 100.000000 33.327366 1.994117 0.088356 8.366997 4.741643 15.721931 0.000000 1.147214 0.693504 0.479113 0.094491 
1000.00 915.00 100.000000 33.283482 1.514398 0.120135 8.368219 4.705583 15.892688 0.000000 1.391840 0.696395 0.488474 0.105749 
1000.00 910.00 100.000000 33.245296 1.100454 0.145786 8.363249 4.678268 16.047711 0.000000 1.598645 0.699183 0.496475 0.115526 
1000.00 905.00 100.000000 33.211167 0.732941 0.166971 8.353776 4.657339 16.192438 0.000000 1.778046 0.701885 0.503484 0.124287 
1000.00 900.00 100.000000 33.179928 0.397995 0.184842 8.340919 4.641188 16.330908 0.000000 1.937429 0.704512 0.509763 0.132372 
1000.00 895.00 100.000000 33.150703 0.085153 0.200224 8.325427 4.628693 16.466325 0.000000 2.082271 0.707067 0.515500 0.140042 
1000.00 890.00 100.000000 33.139635 0.000000 0.205279 8.311063 4.625642 16.506031 0.000000 2.121873 0.709775 0.517819 0.142155 
1000.00 885.00 100.000000 33.135305 0.000000 0.206800 8.297813 4.625475 16.508551 0.000000 2.123087 0.712500 0.518926 0.142155 
1000.00 880.00 100.000000 33.130981 0.000000 0.208327 8.284694 4.625245 16.511082 0.000000 2.124267 0.715156 0.520054 0.142155 
1000.00 875.00 100.000000 33.126662 0.000000 0.209861 8.271701 4.624958 16.513624 0.000000 2.125415 0.717746 0.521202 0.142155 
1000.00 870.00 100.000000 33.126662 0.000000 0.209820 8.270050 4.624041 16.511604 0.000000 2.125415 0.717620 0.521118 0.142155 
1000.00 865.00 100.000000 33.118448 0.000000 0.212950 8.246359 4.624377 16.475989 0.042743 2.127691 0.722643 0.523542 0.142155 
1000.00 860.00 100.000000 33.114351 0.000000 0.214505 8.233868 4.624007 16.457226 0.064072 2.128785 0.724998 0.524736 0.142155 
1000.00 855.00 100.000000 33.110256 0.000000 0.216068 8.221489 4.623586 16.438942 0.084928 2.129851 0.727293 0.525944 0.142155 
1000.00 850.00 100.000000 33.106163 0.000000 0.217639 8.209221 4.623115 16.421126 0.105324 2.130889 0.729530 0.527165 0.142155 
1000.00 845.00 100.000000 33.102072 0.000000 0.219217 8.197061 4.622598 16.403765 0.125268 2.131900 0.731709 0.528399 0.142155 
1000.00 840.00 100.000000 33.112159 0.163370 0.210070 8.184385 4.630666 16.386236 0.144601 2.130219 0.733413 0.529199 0.000000 
1000.00 835.00 100.000000 33.108073 0.163260 0.211871 8.172482 4.629813 16.369763 0.163681 2.131251 0.735483 0.530470 0.000000 
1000.00 830.00 100.000000 33.103988 0.163153 0.213677 8.160678 4.628925 16.353712 0.182339 2.132257 0.737499 0.531749 0.000000 
1000.00 825.00 100.000000 33.103988 0.163149 0.213636 8.159071 4.628019 16.351729 0.182314 2.132257 0.737368 0.531664 0.000000 
1000.00 820.00 100.000000 33.103988 0.163144 0.213594 8.157468 4.627115 16.349746 0.182290 2.132257 0.737237 0.531579 0.000000 
