Title: dummy

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
1000.00 1200.00 0.000000 ---
1000.00 1195.00 0.000000 ---
1000.00 1190.00 1.078216 49.5974 0 32.322 0 -1.84948e-13 -3.4239e-14 0 15.0931 2.92653 0.0609141 -1.96971e-13
1000.00 1185.00 2.783141 49.7873 0 32.1933 0 -7.16506e-14 -4.86366e-14 -4.01946e-14 14.9426 3.01209 0.0647416 -7.85203e-14
1000.00 1180.00 6.848675 50.2608 0.123222 23.9485 0.637589 1.98813 2.6952e-15 4.61538 16.0938 2.28277 0.0498614 -6.65142e-14
1000.00 1175.00 11.961422 50.5393 0.175739 20.5353 0.877185 2.9748 1.02878e-15 6.51391 16.3144 2.02368 0.0456194 -1.82698e-14
1000.00 1170.00 16.816017 50.7344 0.196252 19.2068 0.952308 3.50701 7.31783e-16 7.23389 16.1536 1.96945 0.0463504 -1.28125e-15
1000.00 1165.00 21.456296 50.8992 0.206686 18.4927 0.982207 3.91758 -1.72057e-15 7.60414 15.8746 1.97416 0.0488001 -1.0185e-14
1000.00 1160.00 25.902232 51.0446 0.212581 18.0426 0.995651 4.28229 -4.51328e-15 7.81887 15.5485 2.00259 0.0522077 8.55567e-15
1000.00 1155.00 30.150179 51.1736 0.216318 17.729 1.00329 4.62329 4.08146e-16 7.94584 15.2108 2.04156 0.0562924 -3.98138e-15
1000.00 1150.00 34.391549 51.2804 0.221306 17.5098 1.01237 5.00602 -1.07343e-15 8.04802 14.7772 2.0837 0.0611204 2.23742e-15
1000.00 1145.00 38.299523 51.3685 0.227826 17.3248 1.025 5.33924 3.21301e-16 8.08755 14.4346 2.12618 0.0662539 2.00912e-15
1000.00 1140.00 41.910278 51.4421 0.23545 17.1605 1.04049 5.6403 8.80859e-16 8.08835 14.1537 2.16747 0.0716433 1.83602e-15
1000.00 1135.00 45.259039 51.5034 0.243977 17.0095 1.05856 5.92026 8.15683e-16 8.06468 13.9156 2.20668 0.0772501 6.12063e-16
1000.00 1130.00 48.374422 51.5536 0.253326 16.8677 1.07912 6.18578 1.27192e-15 8.0252 13.7091 2.24321 0.0830316 -4.45391e-16
1000.00 1125.00 51.279817 51.5931 0.263485 16.7323 1.10224 6.44107 -2.39971e-16 7.97549 13.5267 2.27667 0.0889382 5.34198e-15
1000.00 1120.00 53.994506 51.6221 0.274499 16.6016 1.12805 6.6889 4.55812e-16 7.91931 13.3639 2.30677 0.0949103 2.33719e-15
1000.00 1115.00 56.534589 51.6406 0.286463 16.4744 1.1568 6.93114 2.17666e-16 7.85928 13.2171 2.33333 0.100878 4.8999e-16
1000.00 1110.00 58.913802 51.6484 0.299522 16.3498 1.18878 7.16913 -2.08876e-16 7.7973 13.0841 2.35621 0.106759 3.81386e-15
1000.00 1105.00 61.144247 51.645 0.313883 16.2273 1.22443 7.40388 0 7.73475 12.963 2.37532 0.112462 -3.17135e-15
1000.00 1100.00 63.237065 51.6299 0.329829 16.1061 1.26425 7.63627 3.89192e-16 7.6726 12.8526 2.39065 0.117883 4.86729e-17
1000.00 1095.00 71.101156 48.9157 1.21176 14.8681 2.76833 10.0774 -6.92291e-16 7.51473 12.3945 2.16001 0.0895182 -2.81382e-15
1000.00 1090.00 73.338644 48.7153 1.30591 14.7397 2.87041 10.3814 1.67793e-16 7.42784 12.3041 2.16453 0.0907663 -3.77719e-15
1000.00 1085.00 75.113342 48.6022 1.36915 14.6555 2.92546 10.5871 0 7.35509 12.2391 2.17387 0.0924993 -7.37589e-16
1000.00 1080.00 76.574330 48.5337 1.41541 14.5953 2.95717 10.7363 0 7.29318 12.1899 2.1847 0.094388 -2.93426e-15
1000.00 1075.00 77.804954 48.4906 1.45114 14.5502 2.97583 10.8488 -1.58161e-16 7.23983 12.1515 2.19573 0.0963031 -2.33402e-15
1000.00 1070.00 78.858814 48.4632 1.47983 14.5152 2.98669 10.936 -7.80235e-16 7.19341 12.121 2.20642 0.0981866 -2.45895e-15
1000.00 1065.00 79.773049 48.4458 1.50359 14.4873 2.99266 11.0049 0 7.15264 12.0965 2.21653 0.100012 -4.90012e-15
1000.00 1060.00 80.574622 48.4349 1.52375 14.4647 2.99549 11.0603 -8.39982e-16 7.11655 12.0765 2.22598 0.101767 -2.06279e-15
1000.00 1055.00 81.283745 48.4284 1.54121 14.4461 2.99625 11.1052 -6.05566e-16 7.08439 12.0602 2.23476 0.103449 -1.32533e-15
1000.00 1050.00 81.915951 48.4249 1.55659 14.4306 2.99565 11.142 -7.51116e-16 7.05554 12.0467 2.2429 0.105057 -3.26896e-15
1000.00 1045.00 82.483403 48.4234 1.57033 14.4175 2.99412 11.1724 1.4919e-16 7.02951 12.0357 2.25042 0.106594 -8.58263e-16
1000.00 1040.00 82.995784 48.4234 1.58275 14.4064 2.99199 11.1975 0 7.0059 12.0266 2.25738 0.108063 -3.52311e-15
1000.00 1035.00 83.460904 48.4242 1.5941 14.3969 2.98947 11.2184 -2.94885e-16 6.9844 12.0192 2.26383 0.109469 -8.48211e-16
