Title: dummy

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1000.00 1200.00 100.000000 1.0000000000000000 1.000000 264.459417 -1188198.768159 36.825524 -207.430936 2382.216851 143.557768 -7.565 -7.565 2.715508 0.000000 2.566 0 0.000
1000.00 1195.00 100.000000 1.0000000000000000 1.000000 263.971348 -1188916.545797 36.813613 -207.538505 2382.216851 143.553262 -7.627 -7.627 2.716386 0.000000 2.589 0 0.000
1000.00 1190.00 100.000000 0.9892178422410723 0.988990 263.242115 -1189985.118933 36.784480 -205.596483 2369.611891 143.299578 -7.687 -7.687 2.719163 2.662367 2.600 0 0.000
1000.00 1185.00 100.000000 0.9721685855641377 0.971538 262.373881 -1191253.309348 36.745136 -202.437417 2349.768697 142.902595 -7.745 -7.745 2.723215 2.661157 2.603 0 0.000
1000.00 1180.00 100.000000 0.9315132547290549 0.933310 260.874560 -1193435.244995 36.598483 -196.206045 2301.000484 141.706842 -7.793 -7.793 2.727095 2.805952 2.620 0 0.000
1000.00 1175.00 100.000000 0.8803857749395766 0.885502 259.109015 -1195996.470792 36.404137 -188.571159 2239.515472 140.168017 -7.829 -7.829 2.731070 2.869683 2.645 0 0.000
1000.00 1170.00 100.000000 0.8318398278747026 0.839588 257.428570 -1198425.838736 36.221133 -181.215653 2181.345048 138.729699 -7.859 -7.859 2.735340 2.894178 2.668 0 0.000
1000.00 1165.00 100.000000 0.7854370374042321 0.795237 255.821066 -1200741.719006 36.047826 -174.079343 2125.924152 137.377456 -7.883 -7.883 2.739908 2.906855 2.690 0 0.000
1000.00 1160.00 100.000000 0.7409776765367512 0.752329 254.279424 -1202955.003337 35.883340 -167.141391 2072.995195 136.104246 -7.902 -7.902 2.744761 2.914531 2.711 0 0.000
1000.00 1155.00 100.000000 0.6984982072552492 0.710969 252.801203 -1205069.846562 35.727480 -160.422579 2022.522339 134.906397 -7.915 -7.915 2.749870 2.919734 2.729 0 0.000
1000.00 1150.00 100.000000 0.6560845128293002 0.669349 251.342774 -1207149.089213 35.575696 -153.574212 1971.925888 133.736366 -7.924 -7.924 2.755203 2.923674 2.747 0 0.000
1000.00 1145.00 100.000000 0.6170047726187520 0.630747 249.965164 -1209106.222465 35.435042 -147.231759 1925.297091 132.666052 -7.930 -7.930 2.760580 2.927092 2.764 0 0.000
1000.00 1140.00 100.000000 0.5808972160251046 0.594876 248.659075 -1210955.214842 35.304203 -141.347516 1882.167135 131.683168 -7.936 -7.936 2.765964 2.930258 2.781 0 0.000
1000.00 1135.00 100.000000 0.5474096067300650 0.561444 247.415779 -1212709.095832 35.181978 -135.872120 1842.073802 130.776266 -7.939 -7.939 2.771312 2.933326 2.796 0 0.000
1000.00 1130.00 100.000000 0.5162557836177547 0.530216 246.228172 -1214378.477880 35.067398 -130.765952 1804.634629 129.935918 -7.942 -7.942 2.776570 2.936392 2.812 0 0.000
1000.00 1125.00 100.000000 0.4872018291502817 0.500997 245.090438 -1215972.063537 34.959667 -125.997086 1769.529494 129.154282 -7.943 -7.943 2.781673 2.939520 2.828 0 0.000
1000.00 1120.00 100.000000 0.4600549418355442 0.473630 243.997779 -1217497.051782 34.858130 -121.539621 1736.486475 128.424757 -7.944 -7.944 2.786547 2.942757 2.844 0 0.000
1000.00 1115.00 100.000000 0.4346541096498442 0.447982 242.946178 -1218959.476331 34.762238 -117.372268 1705.269809 127.741704 -7.944 -7.944 2.791100 2.946140 2.862 0 0.000
1000.00 1110.00 100.000000 0.4108619772381839 0.423942 241.932209 -1220364.498177 34.671517 -113.477110 1675.669065 127.100201 -7.944 -7.944 2.795226 2.949699 2.881 0 0.000
1000.00 1105.00 100.000000 0.3885575255229074 0.401410 240.952848 -1221716.666813 34.585543 -109.838474 1647.488889 126.495829 -7.945 -7.945 2.798802 2.953465 2.903 0 0.000
1000.00 1100.00 100.000000 0.3676293435411253 0.380297 240.005310 -1223020.159250 34.503915 -106.441911 1620.538729 125.924467 -7.946 -7.946 2.801681 2.957467 2.928 0 0.000
1000.00 1095.00 100.000000 0.2889884368128731 0.316168 237.355165 -1226658.984840 34.271916 -97.304401 1399.255245 123.009100 -9.248 -9.248 2.667011 3.033811 3.894 0 0.000
1000.00 1090.00 100.000000 0.2666135544211482 0.294720 236.320509 -1228072.026663 34.199694 -94.009588 1356.414694 122.326966 -9.507 -9.507 2.645153 3.040527 4.107 0 0.000
1000.00 1085.00 100.000000 0.2488665825898336 0.277399 235.408618 -1229312.832682 34.141474 -91.348546 1323.721857 121.791125 -9.714 -9.714 2.627721 3.044643 4.292 0 0.000
1000.00 1080.00 100.000000 0.2342567013310269 0.262958 234.578663 -1230437.989770 34.092778 -89.134890 1297.397581 121.349521 -9.888 -9.888 2.613024 3.047394 4.458 0 0.000
1000.00 1075.00 100.000000 0.2219504601701331 0.250675 233.808113 -1231478.754211 34.051086 -87.258893 1275.493779 120.974521 -10.040 -10.040 2.600248 3.049340 4.612 0 0.000
