Title: dummy

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
1000.00 1100.00 99.999999 252.597061 -1234481.036222 38.683553 135.671591 4.550 61.9391 2.9191 11.189 1.3449 7.2873 1.0264 1.7348 8.2942 1.9334 1.3541 0.9777 29.8
1000.00 1095.00 99.999999 252.102166 -1235159.362664 38.673976 135.658938 4.584 61.9391 2.9191 11.189 1.3449 7.2873 1.0264 1.7348 8.2942 1.9334 1.3541 0.9777 29.8
1000.00 1090.00 99.999999 251.605507 -1235837.625120 38.664400 135.645996 4.618 61.9391 2.9191 11.189 1.3449 7.2873 1.0264 1.7348 8.2942 1.9334 1.3541 0.9777 29.8
1000.00 1085.00 99.999999 251.107070 -1236515.822142 38.654824 135.632764 4.652 61.9391 2.9191 11.189 1.3449 7.2873 1.0264 1.7348 8.2942 1.9334 1.3541 0.9777 29.8
1000.00 1080.00 99.999999 250.606845 -1237193.952265 38.645247 135.619237 4.687 61.9391 2.9191 11.189 1.3449 7.2873 1.0264 1.7348 8.2942 1.9334 1.3541 0.9777 29.8
1000.00 1075.00 99.999999 250.104818 -1237872.014013 38.635671 135.605413 4.722 61.9391 2.9191 11.189 1.3449 7.2873 1.0264 1.7348 8.2942 1.9334 1.3541 0.9777 29.8
1000.00 1070.00 99.999932 249.600807 -1238549.104153 38.626068 135.591195 4.757 61.9391 2.9191 11.189 1.3449 7.28731 1.0264 1.7348 8.2942 1.9334 1.3541 0.977701 29.8
1000.00 1065.00 97.047808 241.658410 -1205743.455905 37.591977 131.328250 4.870 62.5094 2.89725 11.074 1.2101 7.09066 1.05762 1.61835 8.22163 1.92147 1.39207 1.00744 28.9
1000.00 1060.00 94.283015 234.209581 -1174974.624203 36.622130 127.346490 4.983 63.068 2.87009 10.9602 1.09221 6.88931 1.08864 1.51149 8.14653 1.90697 1.42958 1.03698 28.1
1000.00 1055.00 91.694081 227.223928 -1146123.654764 35.712630 123.627031 5.094 63.6141 2.83892 10.8477 0.989078 6.68495 1.11937 1.41343 8.06951 1.89017 1.46654 1.06626 27.4
1000.00 1050.00 89.269055 220.669904 -1119065.498030 34.859421 120.150718 5.204 64.1469 2.80484 10.7369 0.898734 6.47893 1.14978 1.32338 7.99108 1.8713 1.50291 1.09523 26.7
1000.00 1045.00 86.996166 214.516474 -1093676.061037 34.058512 116.899003 5.312 64.6663 2.76877 10.628 0.819421 6.27238 1.17982 1.24064 7.91167 1.85056 1.53864 1.12384 26.1
1000.00 1040.00 84.864135 208.733909 -1069835.578940 33.306078 113.854337 5.419 65.172 2.73143 10.5211 0.749608 6.06623 1.20946 1.16455 7.83165 1.82817 1.5737 1.15208 25.5
1000.00 1035.00 82.862358 203.294254 -1047430.712262 32.598522 111.000369 5.525 65.6641 2.69338 10.4165 0.687978 5.86126 1.23868 1.09452 7.75132 1.80429 1.60805 1.17991 25.0
1000.00 1030.00 80.980995 198.171550 -1026355.640928 31.932503 108.322040 5.630 66.1427 2.65505 10.3142 0.633408 5.65811 1.26746 1.03002 7.67091 1.77908 1.6417 1.20732 24.5
1000.00 1025.00 79.184996 193.282358 -1006209.124451 31.296140 105.760586 5.737 66.6262 2.61687 10.2171 0.584632 5.45733 1.29621 0.970162 7.57888 1.75321 1.67516 1.22424 24.1
1000.00 1020.00 77.222174 187.998032 -983640.105033 30.595806 102.950348 5.853 67.1716 2.51407 10.127 0.558233 5.28743 1.32244 0.904127 7.45141 1.72794 1.71345 1.22236 23.4
1000.00 1015.00 75.323516 182.890289 -961702.027688 29.916182 100.237355 5.970 67.7111 2.40143 10.0387 0.53877 5.12428 1.34705 0.841159 7.32308 1.70193 1.75214 1.22039 22.6
1000.00 1010.00 73.541862 178.089910 -941126.755757 29.277341 97.697144 6.085 68.2324 2.29594 9.95214 0.52116 4.96032 1.37071 0.783623 7.19912 1.67499 1.79002 1.21962 22.0
1000.00 1005.00 71.866803 173.569503 -921794.197602 28.675761 95.313875 6.199 68.7366 2.19701 9.8675 0.505171 4.7958 1.39343 0.731063 7.07916 1.64721 1.8271 1.21999 21.4
1000.00 1000.00 70.289609 169.305975 -903603.076069 28.108479 93.074194 6.312 69.2247 2.10407 9.78486 0.490598 4.63108 1.41525 0.68306 6.96294 1.61866 1.86339 1.2214 20.8
1000.00 995.00 68.802863 165.279614 -886466.921443 27.572975 90.966718 6.424 69.6975 2.01663 9.70429 0.477258 4.46659 1.43618 0.639222 6.85021 1.58943 1.89888 1.2238 20.3
1000.00 990.00 67.400172 161.473348 -870310.815592 27.067070 88.981605 6.535 70.1557 1.93424 9.6258 0.46499 4.30284 1.45621 0.599188 6.74078 1.55957 1.93358 1.22712 19.9
1000.00 985.00 66.075933 157.872152 -855068.785485 26.588847 87.110217 6.644 70.5997 1.85651 9.5494 0.453649 4.14034 1.47537 0.562617 6.6345 1.52917 1.96746 1.23133 19.5
1000.00 980.00 64.825143 154.462589 -840681.765988 26.136589 85.344858 6.753 71.0299 1.78305 9.47505 0.443108 3.97961 1.49366 0.529193 6.53126 1.4983 2.00051 1.23636 19.2
1000.00 975.00 63.643266 151.232458 -827096.056978 25.708732 83.678567 6.862 71.4467 1.71355 9.40269 0.433254 3.82117 1.51109 0.498623 6.43096 1.46702 2.03272 1.24219 18.9
1000.00 970.00 62.525707 148.169472 -814261.978674 25.303801 82.104390 6.969 71.8514 1.64769 9.33227 0.424002 3.66516 1.52717 0.470653 6.33342 1.43539 2.0641 1.24875 18.6
1000.00 965.00 61.435963 145.180049 -802158.718744 24.919193 80.570562 7.102 72.3251 1.58522 9.26446 0.416179 3.48536 1.49792 0.446813 6.22779 1.40313 2.09591 1.25207 18.6
1000.00 960.00 60.413581 142.363387 -790793.615823 24.557577 79.131446 7.234 72.78 1.52599 9.19811 0.408613 3.31352 1.46966 0.424901 6.12566 1.37073 2.12661 1.25618 18.6
1000.00 955.00 59.453071 139.705280 -780107.590687 24.217134 77.779170 7.365 73.217 1.46976 9.13317 0.401271 3.14943 1.44228 0.404706 6.02691 1.33826 2.15623 1.26102 18.6
1000.00 950.00 58.549498 137.192960 -770047.463717 23.896222 76.506684 7.494 73.6369 1.41627 9.0696 0.394125 2.99284 1.41567 0.386042 5.93143 1.30577 2.18479 1.2666 18.7
1000.00 945.00 57.698417 134.814936 -760565.298931 23.593359 75.307658 7.622 74.0405 1.36531 9.00735 0.387156 2.8435 1.38975 0.368748 5.83914 1.27333 2.21235 1.27291 18.8
1000.00 940.00 56.895822 132.560848 -751617.832601 23.307205 74.176403 7.748 74.4285 1.3167 8.94638 0.380346 2.70115 1.36444 0.352683 5.74996 1.24098 2.23892 1.27993 18.9
1000.00 935.00 49.519499 115.068190 -655555.250807 20.329542 64.510182 7.885 74.5484 1.28073 9.09797 0.35468 2.5078 1.30297 0.334678 5.58307 1.16973 2.52763 1.29236 19.2
1000.00 930.00 43.336149 100.434849 -574553.910798 17.819899 56.423293 7.981 74.5516 1.2577 9.21792 0.335377 2.30895 1.2902 0.308182 5.48632 1.09831 2.83063 1.31477 19.2
1000.00 925.00 38.407470 88.775245 -509907.837837 15.816605 49.980319 8.073 74.5365 1.23526 9.33837 0.317502 2.12583 1.27686 0.283924 5.39299 1.02937 3.12576 1.33766 19.2
1000.00 920.00 34.311631 79.094644 -456123.345452 14.149524 44.628933 8.166 74.5056 1.21261 9.46734 0.300138 1.95819 1.25787 0.262494 5.29603 0.961969 3.41743 1.36032 19.3
1000.00 915.00 30.843109 70.905822 -410519.169648 12.735638 40.099756 8.259 74.46 1.18985 9.60298 0.283404 1.80495 1.23437 0.243492 5.19734 0.896312 3.70445 1.38289 19.4
1000.00 910.00 27.853435 63.857234 -371157.571622 11.514954 36.198237 8.350 74.4004 1.16708 9.74359 0.267398 1.665 1.20748 0.226565 5.09859 0.832604 3.98574 1.40553 19.5
1000.00 905.00 25.230787 57.684646 -336577.886803 10.442249 32.777900 8.441 74.328 1.14438 9.8877 0.252186 1.53719 1.17816 0.211413 5.00117 0.771014 4.26037 1.42839 19.7
1000.00 900.00 22.887374 52.181285 -305631.689385 9.481968 29.723818 8.529 74.2437 1.12182 10.0342 0.237804 1.42043 1.14726 0.197788 4.90622 0.711652 4.52757 1.4516 19.9
1000.00 895.00 12.110462 27.528644 -161846.182679 5.018254 15.728962 8.587 74.0587 1.116 10.1933 0.231628 1.29433 1.18132 0.18214 4.9032 0.622141 4.72968 1.48764 20.1
1000.00 835.00 2.221855 4.011323 -27875.006259 0.763760 4.080148 -2.615 1.18628 0.129378 0.0130086 0.279012 0.000503403 1.61728 0.583908 52.1751 4.39632e-06 0.0117427 44.0038 100.0
1000.00 830.00 2.220478 3.989764 -27883.075972 0.763362 4.078293 -2.617 1.16863 0.12433 0.0125403 0.275697 0.000460207 1.59012 0.579357 52.2065 4.04403e-06 0.0113266 44.0311 100.0
1000.00 825.00 2.219131 3.968203 -27891.403787 0.762972 4.076478 -2.618 1.15133 0.119469 0.0120872 0.272438 0.000420576 1.5634 0.574886 52.2373 3.71787e-06 0.0109235 44.0578 100.0
1000.00 820.00 2.217813 3.946639 -27899.982609 0.762591 4.074702 -2.620 1.13439 0.114787 0.0116486 0.269233 0.000384224 1.53712 0.570496 52.2674 3.41604e-06 0.0105329 44.084 100.0
1000.00 815.00 2.216522 3.925067 -27908.805690 0.762218 4.072964 -2.621 1.11778 0.110279 0.0112242 0.266082 0.000350888 1.51127 0.566187 52.297 3.13686e-06 0.0101545 44.1096 100.0
1000.00 810.00 2.215259 3.903485 -27917.866610 0.761854 4.071262 -2.622 1.1015 0.105937 0.0108134 0.262985 0.000320324 1.48584 0.561958 52.3261 2.87876e-06 0.009788 44.1348 100.0
1000.00 805.00 2.214022 3.881891 -27927.159266 0.761497 4.069597 -2.624 1.08555 0.101755 0.0104159 0.259941 0.000292311 1.46081 0.557809 52.3545 2.64025e-06 0.00943295 44.1595 100.0
1000.00 800.00 2.212810 3.860281 -27936.677840 0.761148 4.067967 -2.625 1.06992 0.0977274 0.0100312 0.25695 0.000266642 1.43618 0.55374 52.3825 2.41998e-06 0.00908903 44.1836 100.0

spinel_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp formula SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5
1000.00 1065.00 0.500925 1.036795 -2790.083681 0.106395 0.460477 Fe''1.37Mg0.17Fe'''0.80Al0.11Cr0.00Ti0.55O4 0 19.9484 2.65806 29.0587 45.1562 0 3.17871 0 0 0 0
1000.00 1060.00 0.962439 1.988531 -5379.510122 0.204387 0.883727 Fe''1.40Mg0.17Fe'''0.76Al0.11Cr0.00Ti0.56O4 0 20.6128 2.55672 27.8481 45.8915 0 3.09088 0 0 0 0
1000.00 1055.00 1.387235 2.861022 -7778.128153 0.294543 1.272372 Fe''1.42Mg0.16Fe'''0.73Al0.11Cr0.00Ti0.58O4 0 21.2116 2.46382 26.7563 46.561 0 3.00726 0 0 0 0
1000.00 1050.00 1.778094 3.660292 -9997.271625 0.377450 1.629098 Fe''1.44Mg0.16Fe'''0.71Al0.10Cr0.00Ti0.60O4 0 21.7511 2.37835 25.7725 47.1704 0 2.92756 0 0 0 0
1000.00 1045.00 2.137771 4.392322 -12049.051018 0.453694 1.956552 Fe''1.45Mg0.15Fe'''0.68Al0.10Cr0.00Ti0.61O4 0 22.2374 2.29943 24.8859 47.7258 0 2.8516 0 0 0 0
1000.00 1040.00 2.468913 5.062872 -13945.786574 0.523837 2.257267 Fe''1.47Mg0.15Fe'''0.66Al0.10Cr0.00Ti0.62O4 0 22.6762 2.22629 24.0858 48.2325 0 2.77923 0 0 0 0
1000.00 1035.00 2.774017 5.677371 -15699.590707 0.588412 2.533626 Fe''1.49Mg0.15Fe'''0.64Al0.09Cr0.00Ti0.63O4 0 23.0731 2.15826 23.3626 48.6957 0 2.71034 0 0 0 0
1000.00 1030.00 3.055397 6.240860 -17322.090813 0.647916 2.787831 Fe''1.50Mg0.14Fe'''0.62Al0.09Cr0.00Ti0.64O4 0 23.4327 2.09476 22.7077 49.12 0 2.64482 0 0 0 0
1000.00 1025.00 3.317122 6.761934 -18835.727509 0.703217 3.023677 Fe''1.51Mg0.14Fe'''0.61Al0.09Cr0.00Ti0.65O4 0 23.7621 2.03502 22.1089 49.5113 0 2.58282 0 0 0 0
1000.00 1020.00 3.225606 6.559712 -18253.352725 0.682977 2.936370 Fe''1.52Mg0.13Fe'''0.61Al0.09Cr0.00Ti0.65O4 0 23.631 1.99847 22.3435 49.5577 0 2.46938 0 0 0 0
1000.00 1015.00 3.044285 6.175668 -17147.005210 0.643662 2.767598 Fe''1.52Mg0.13Fe'''0.63Al0.08Cr0.00Ti0.64O4 0 23.371 1.96906 22.8155 49.4945 0 2.34996 0 0 0 0
1000.00 1010.00 2.863691 5.795004 -16055.280924 0.604635 2.600142 Fe''1.51Mg0.12Fe'''0.64Al0.08Cr0.00Ti0.64O4 0 23.0961 1.9413 23.3187 49.405 0 2.23886 0 0 0 0
1000.00 1005.00 2.685109 5.420267 -14984.925928 0.566160 2.435116 Fe''1.51Mg0.12Fe'''0.66Al0.08Cr0.00Ti0.63O4 0 22.8067 1.91507 23.8524 49.2904 0 2.13548 0 0 0 0
1000.00 1000.00 2.509783 5.053902 -13942.420551 0.528490 2.273592 Fe''1.51Mg0.11Fe'''0.67Al0.08Cr0.00Ti0.62O4 0 22.5031 1.89025 24.4156 49.1518 0 2.03929 0 0 0 0
1000.00 995.00 2.338880 4.698181 -12933.782252 0.491862 2.116573 Fe''1.51Mg0.11Fe'''0.69Al0.08Cr0.00Ti0.61O4 0 22.1861 1.86672 25.0067 48.9907 0 1.94977 0 0 0 0
1000.00 990.00 2.173454 4.355135 -11964.358747 0.456490 1.964958 Fe''1.50Mg0.10Fe'''0.71Al0.08Cr0.00Ti0.61O4 0 21.8568 1.84437 25.6236 48.8087 0 1.86645 0 0 0 0
1000.00 985.00 2.014416 4.026494 -11038.649567 0.422557 1.819522 Fe''1.50Mg0.10Fe'''0.73Al0.08Cr0.00Ti0.60O4 0 21.5163 1.82308 26.2639 48.6078 0 1.7889 0 0 0 0
1000.00 980.00 1.862513 3.713642 -10160.181692 0.390211 1.680886 Fe''1.49Mg0.09Fe'''0.75Al0.08Cr0.00Ti0.59O4 0 21.1661 1.80277 26.9247 48.3897 0 1.71667 0 0 0 0
1000.00 975.00 1.718309 3.417595 -9331.451547 0.359561 1.549514 Fe''1.49Mg0.09Fe'''0.77Al0.08Cr0.00Ti0.58O4 0 20.8078 1.78333 27.603 48.1566 0 1.64938 0 0 0 0
1000.00 970.00 1.582158 3.138936 -8553.722152 0.330675 1.425680 Fe''1.48Mg0.09Fe'''0.79Al0.08Cr0.00Ti0.57O4 0 20.4424 1.76468 28.2963 47.9099 0 1.58673 0 0 0 0
1000.00 965.00 1.452686 2.874832 -7817.233140 0.303256 1.308184 Fe''1.47Mg0.08Fe'''0.81Al0.08Cr0.00Ti0.56O4 0 20.0325 1.74692 29.0808 47.6039 0 1.53587 0 0 0 0
1000.00 960.00 1.334269 2.633822 -7147.335747 0.278213 1.200832 Fe''1.46Mg0.08Fe'''0.83Al0.08Cr0.00Ti0.55O4 0 19.6267 1.72963 29.8587 47.2968 0 1.48822 0 0 0 0
1000.00 955.00 1.226165 2.414288 -6539.045654 0.255381 1.102921 Fe''1.46Mg0.08Fe'''0.85Al0.07Cr0.00Ti0.54O4 0 19.2258 1.71275 30.6282 46.9898 0 1.44353 0 0 0 0
1000.00 950.00 1.127640 2.214639 -5987.525040 0.234598 1.013763 Fe''1.45Mg0.08Fe'''0.88Al0.07Cr0.00Ti0.53O4 0 18.8307 1.69624 31.3875 46.684 0 1.40153 0 0 0 0
1000.00 945.00 1.037983 2.033342 -5488.153281 0.215710 0.932693 Fe''1.44Mg0.08Fe'''0.90Al0.07Cr0.00Ti0.51O4 0 18.442 1.68007 32.1353 46.3806 0 1.36199 0 0 0 0
1000.00 940.00 0.956514 1.868938 -5036.572866 0.198567 0.859079 Fe''1.43Mg0.07Fe'''0.92Al0.07Cr0.00Ti0.50O4 0 18.0604 1.66422 32.8705 46.0802 0 1.32472 0 0 0 0
1000.00 935.00 0.952096 1.855970 -5001.464281 0.197507 0.854794 Fe''1.42Mg0.07Fe'''0.93Al0.07Cr0.00Ti0.50O4 0 17.7955 1.65784 33.379 45.8618 0 1.30585 0 0 0 0
1000.00 930.00 0.858826 1.669602 -4489.595683 0.177943 0.770703 Fe''1.42Mg0.07Fe'''0.96Al0.07Cr0.00Ti0.49O4 0 17.3518 1.64126 34.2328 45.5089 0 1.2652 0 0 0 0
1000.00 925.00 0.765410 1.483927 -3982.252826 0.158400 0.686572 Fe''1.41Mg0.07Fe'''0.98Al0.07Cr0.00Ti0.47O4 0 16.9157 1.62526 35.0725 45.1601 0 1.2264 0 0 0 0
1000.00 920.00 0.683838 1.322198 -3542.406998 0.141361 0.613149 Fe''1.40Mg0.07Fe'''1.00Al0.07Cr0.00Ti0.46O4 0 16.5086 1.61113 35.8561 44.8324 0 1.19177 0 0 0 0
1000.00 915.00 0.613739 1.183491 -3166.654143 0.126739 0.550081 Fe''1.39Mg0.06Fe'''1.03Al0.07Cr0.00Ti0.45O4 0 16.1282 1.59868 36.5881 44.5243 0 1.16068 0 0 0 0
1000.00 910.00 0.554195 1.065841 -2849.008994 0.114331 0.496527 Fe''1.38Mg0.06Fe'''1.05Al0.07Cr0.00Ti0.44O4 0 15.7716 1.58776 37.2741 44.234 0 1.13256 0 0 0 0
1000.00 905.00 0.504088 0.966929 -2582.721900 0.103898 0.451472 Fe''1.37Mg0.06Fe'''1.06Al0.07Cr0.00Ti0.43O4 0 15.4359 1.57825 37.9194 43.9595 0 1.1069 0 0 0 0
1000.00 900.00 0.462261 0.884384 -2361.063587 0.095193 0.413866 Fe''1.36Mg0.06Fe'''1.08Al0.07Cr0.00Ti0.42O4 0 15.1183 1.57007 38.5292 43.699 0 1.08332 0 0 0 0
1000.00 895.00 0.282478 0.538765 -1434.067413 0.058090 0.252828 Fe''1.35Mg0.06Fe'''1.12Al0.07Cr0.00Ti0.41O4 0 14.5145 1.57432 39.6716 43.1897 0 1.04989 0 0 0 0
1000.00 890.00 0.084415 0.160493 -425.824947 0.017335 0.075533 Fe''1.33Mg0.06Fe'''1.15Al0.07Cr0.00Ti0.39O4 0 13.8704 1.5811 40.8908 42.6374 0 1.02027 0 0 0 0
1000.00 885.00 0.108861 0.206472 -548.355778 0.022342 0.097375 Fe''1.33Mg0.06Fe'''1.16Al0.07Cr0.00Ti0.39O4 0 13.6897 1.57537 41.2392 42.4888 0 1.00696 0 0 0 0
1000.00 880.00 0.133202 0.252024 -670.014260 0.027322 0.119108 Fe''1.32Mg0.06Fe'''1.17Al0.07Cr0.00Ti0.38O4 0 13.5104 1.56954 41.585 42.3414 0 0.993727 0 0 0 0
1000.00 875.00 0.157431 0.297139 -790.777136 0.032273 0.140727 Fe''1.32Mg0.05Fe'''1.18Al0.07Cr0.00Ti0.38O4 0 13.3325 1.56361 41.9282 42.1951 0 0.980581 0 0 0 0
1000.00 870.00 0.181543 0.341806 -910.623719 0.037195 0.162227 Fe''1.32Mg0.05Fe'''1.19Al0.07Cr0.00Ti0.37O4 0 13.1561 1.55758 42.2687 42.0501 0 0.967521 0 0 0 0
1000.00 865.00 0.205532 0.386016 -1029.535669 0.042086 0.183604 Fe''1.31Mg0.05Fe'''1.20Al0.07Cr0.00Ti0.37O4 0 12.9811 1.55147 42.6065 41.9063 0 0.954546 0 0 0 0
1000.00 860.00 0.229394 0.429760 -1147.496784 0.046945 0.204852 Fe''1.31Mg0.05Fe'''1.21Al0.07Cr0.00Ti0.36O4 0 12.8077 1.54526 42.9417 41.7637 0 0.941658 0 0 0 0
1000.00 855.00 0.253125 0.473031 -1264.492812 0.051772 0.225968 Fe''1.30Mg0.05Fe'''1.22Al0.07Cr0.00Ti0.36O4 0 12.6357 1.53896 43.274 41.6224 0 0.928858 0 0 0 0
1000.00 850.00 0.276718 0.515821 -1380.511277 0.056566 0.246947 Fe''1.30Mg0.05Fe'''1.23Al0.07Cr0.00Ti0.35O4 0 12.4653 1.53258 43.6036 41.4823 0 0.916146 0 0 0 0
1000.00 845.00 0.300172 0.558123 -1495.541307 0.061326 0.267788 Fe''1.30Mg0.05Fe'''1.24Al0.07Cr0.00Ti0.35O4 0 12.2964 1.52611 43.9305 41.3435 0 0.903523 0 0 0 0
