Title: mars_interm

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 whitlockite 
150.00 1100.00 99.997183 99.997183 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1095.00 99.997497 99.997497 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1090.00 99.997819 99.997819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1085.00 99.998147 99.998147 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1080.00 99.998483 99.998483 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1075.00 99.998826 99.998826 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1070.00 99.999177 99.999177 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1065.00 99.999536 99.999536 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1060.00 99.999902 99.999902 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1055.00 99.999611 97.589574 0.000000 0.882581 1.527456 0.000000 0.000000 0.000000 0.000000 
150.00 1050.00 100.002094 92.072519 0.000000 2.280044 4.317923 0.000000 1.129858 0.000000 0.201751 
150.00 1045.00 100.003037 88.500160 0.000000 3.300181 6.318336 0.000000 1.597283 0.000000 0.287078 
150.00 1040.00 100.003881 85.129961 0.000000 4.261736 8.234776 0.000000 2.012968 0.000000 0.364439 
150.00 1035.00 100.004618 81.927437 0.000000 5.176623 10.081070 0.000000 2.384287 0.000000 0.435201 
150.00 1030.00 99.998584 78.236258 1.589714 4.793740 12.371450 0.000000 2.509889 0.000000 0.497533 
150.00 1025.00 99.997828 75.255206 1.818318 5.464906 14.124571 0.000000 2.777412 0.000000 0.557415 
150.00 1020.00 99.996980 72.402361 2.023431 6.123964 15.817081 0.000000 3.016816 0.000000 0.613327 
