Title: mars_interm

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 whitlockite 
150.00 1100.00 99.997183 39.524048 39.524048 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1095.00 99.997497 39.513475 39.513475 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1090.00 99.997819 39.502907 39.502907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1085.00 99.998147 39.492344 39.492344 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1080.00 99.998483 39.481787 39.481787 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1075.00 99.998826 39.471236 39.471236 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1070.00 99.999177 39.460690 39.460690 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1065.00 99.999536 39.450150 39.450150 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1060.00 99.999902 39.439616 39.439616 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1055.00 99.999611 39.349229 38.493983 0.000000 0.264600 0.590646 0.000000 0.000000 0.000000 0.000000 
150.00 1050.00 100.002094 39.201502 36.540268 0.000000 0.682716 1.671440 0.000000 0.243583 0.000000 0.063494 
150.00 1045.00 100.003037 39.091868 35.223501 0.000000 0.986213 2.448093 0.000000 0.343712 0.000000 0.090349 
150.00 1040.00 100.003881 38.986960 33.975215 0.000000 1.271001 3.193646 0.000000 0.432403 0.000000 0.114695 
150.00 1035.00 100.004618 38.885865 32.783453 0.000000 1.540729 3.913396 0.000000 0.511322 0.000000 0.136966 
150.00 1030.00 99.998584 38.798635 31.463235 0.408587 1.427929 4.804888 0.000000 0.537413 0.000000 0.156583 
150.00 1025.00 99.997828 38.705298 30.354529 0.465315 1.625422 5.490708 0.000000 0.593897 0.000000 0.175428 
150.00 1020.00 99.996980 38.614354 29.288287 0.515720 1.818761 6.154268 0.000000 0.644293 0.000000 0.193025 
150.00 1015.00 99.996056 38.525477 28.258974 0.559414 2.009174 6.798924 0.000000 0.689410 0.000000 0.209580 
150.00 1010.00 99.995072 38.438405 27.261806 0.596234 2.197505 7.427659 0.000000 0.729928 0.000000 0.225271 
150.00 1005.00 99.994038 38.353003 26.293155 0.626207 2.384232 8.042749 0.000000 0.766415 0.000000 0.240244 
150.00 1000.00 99.992964 38.269235 25.350840 0.649546 2.569461 8.645444 0.000000 0.799340 0.000000 0.254605 
150.00 995.00 99.991856 38.187201 24.434437 0.666643 2.752909 9.235710 0.000000 0.829079 0.000000 0.268422 
150.00 990.00 99.990718 38.107136 23.545428 0.678066 2.933906 9.812085 0.000000 0.855935 0.000000 0.281716 
150.00 985.00 99.989555 38.029394 22.686953 0.684534 3.111460 10.371832 0.000000 0.880147 0.000000 0.294468 
150.00 980.00 99.988369 37.954377 21.863086 0.686859 3.284409 10.911480 0.000000 0.901914 0.000000 0.306629 
150.00 975.00 99.987165 37.882459 21.077850 0.685870 3.451610 11.427571 0.000000 0.921417 0.000000 0.318140 
150.00 970.00 99.961281 37.678035 19.447700 1.161248 3.748169 12.354929 0.000000 0.000000 0.614976 0.351014 
150.00 965.00 99.959819 37.606090 18.687721 1.151578 3.928706 12.846160 0.000000 0.000000 0.629398 0.362526 
150.00 960.00 99.958436 37.538685 17.981729 1.139361 4.099648 13.302483 0.000000 0.000000 0.642373 0.373091 
150.00 955.00 99.957126 37.475634 17.327480 1.125276 4.260978 13.725111 0.000000 0.000000 0.654047 0.382742 
150.00 950.00 99.955884 37.416673 16.721755 1.109854 4.412941 14.116030 0.000000 0.000000 0.664560 0.391533 
150.00 945.00 99.954706 37.361504 16.160906 1.093511 4.555933 14.477586 0.000000 0.000000 0.674042 0.399526 
150.00 940.00 99.953587 37.309824 15.641211 1.076571 4.690428 14.812219 0.000000 0.000000 0.682611 0.406785 
150.00 935.00 99.952523 37.261338 15.159076 1.059292 4.816928 15.122301 0.000000 0.000000 0.690372 0.413369 
150.00 930.00 99.951510 37.215774 14.711142 1.041879 4.935937 15.410062 0.000000 0.000000 0.697416 0.419337 
150.00 925.00 99.950546 37.172878 14.294330 1.024497 5.047940 15.677548 0.000000 0.000000 0.703824 0.424740 
150.00 920.00 99.949627 37.132422 13.905844 1.007274 5.153399 15.926614 0.000000 0.000000 0.709667 0.429624 
