Title: mars_mafic

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
1000.00 1300.00 99.925649 49.3045 0.980129 10.5009 3.30205 15.2305 0.380083 9.06084 6.92065 2.97031 0.450035 0.900069
1000.00 1295.00 99.925953 49.3043 0.980126 10.5009 3.30508 15.2277 0.380081 9.06081 6.92062 2.9703 0.450033 0.900066
1000.00 1290.00 99.926268 49.3042 0.980123 10.5008 3.30822 15.2248 0.38008 9.06078 6.9206 2.97029 0.450032 0.900064
1000.00 1285.00 99.926596 49.304 0.980119 10.5008 3.31148 15.2218 0.380079 9.06075 6.92058 2.97028 0.45003 0.900061
1000.00 1280.00 99.926935 49.3038 0.980116 10.5008 3.31486 15.2187 0.380078 9.06072 6.92056 2.97027 0.450029 0.900058
1000.00 1275.00 99.927287 49.3036 0.980113 10.5007 3.31836 15.2155 0.380076 9.06069 6.92053 2.97026 0.450027 0.900054
1000.00 1270.00 99.927651 49.3035 0.980109 10.5007 3.32198 15.2122 0.380075 9.06066 6.92051 2.97025 0.450026 0.900051
1000.00 1265.00 99.928027 49.3033 0.980105 10.5007 3.32573 15.2087 0.380074 9.06062 6.92048 2.97024 0.450024 0.900048
1000.00 1260.00 99.928358 49.3031 0.980102 10.5006 3.32902 15.2057 0.380072 9.06059 6.92046 2.97023 0.450022 0.900045
1000.00 1255.00 99.928354 49.3031 0.980102 10.5006 3.32898 15.2057 0.380072 9.06059 6.92046 2.97023 0.450022 0.900045
1000.00 1250.00 99.928343 49.3031 0.980102 10.5006 3.32888 15.2058 0.380072 9.06059 6.92046 2.97023 0.450022 0.900045
1000.00 1245.00 99.928324 49.3031 0.980102 10.5006 3.32868 15.206 0.380072 9.06059 6.92046 2.97023 0.450023 0.900045
1000.00 1240.00 99.928294 49.3032 0.980103 10.5006 3.32839 15.2063 0.380073 9.0606 6.92046 2.97023 0.450023 0.900045
1000.00 1235.00 99.928252 49.3032 0.980103 10.5006 3.32797 15.2067 0.380073 9.0606 6.92047 2.97023 0.450023 0.900046
1000.00 1230.00 99.928197 49.3032 0.980104 10.5006 3.32742 15.2072 0.380073 9.06061 6.92047 2.97023 0.450023 0.900046
1000.00 1225.00 99.928126 49.3032 0.980104 10.5006 3.32672 15.2078 0.380073 9.06061 6.92047 2.97023 0.450023 0.900047
