Title: mars_mafic

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
150.00 1300.00 100.000189 100.000189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1295.00 100.000360 100.000360 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1290.00 100.000536 100.000536 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1285.00 100.000718 100.000718 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1280.00 100.000904 100.000904 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1275.00 100.001096 100.001096 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1270.00 100.000532 99.204343 0.796189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1265.00 100.000051 98.518673 1.481378 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1260.00 99.999551 97.834667 2.164884 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1255.00 99.999030 97.151889 2.847140 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1250.00 99.998486 96.469915 3.528571 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1245.00 99.997919 95.788328 4.209590 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1240.00 99.997326 95.106729 4.890597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1235.00 99.996706 94.424734 5.571973 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1230.00 99.996059 93.741980 6.254079 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1225.00 99.995381 93.058132 6.937249 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1220.00 99.994672 92.372884 7.621788 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1215.00 99.993930 91.685970 8.307960 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1210.00 99.993153 90.997162 8.995991 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1205.00 99.992339 90.306286 9.686053 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1200.00 99.991488 89.613221 10.378267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1195.00 99.990597 88.917911 11.072686 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1190.00 99.989666 88.220373 11.769293 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1185.00 99.988692 87.520701 12.467991 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1180.00 99.987676 86.819076 13.168600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1175.00 99.986615 86.115766 13.870849 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1170.00 99.985510 85.411138 14.574372 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1165.00 99.984172 84.605116 15.311605 0.000000 0.000000 0.000000 0.000000 0.000000 0.067452 
150.00 1160.00 99.982867 83.840976 16.034550 0.000000 0.000000 0.000000 0.000000 0.000000 0.107341 
150.00 1155.00 99.981524 83.081321 16.755188 0.000000 0.000000 0.000000 0.000000 0.000000 0.145016 
150.00 1150.00 99.980145 82.326762 17.472835 0.000000 0.000000 0.000000 0.000000 0.000000 0.180548 
150.00 1145.00 99.978729 81.577999 18.186726 0.000000 0.000000 0.000000 0.000000 0.000000 0.214004 
150.00 1140.00 99.975776 78.825565 19.391603 0.000000 0.000000 1.474605 0.000000 0.000000 0.284004 
150.00 1135.00 99.971546 73.487278 20.321920 1.265438 0.000000 4.492442 0.000000 0.000000 0.404469 
150.00 1130.00 99.967715 67.509193 20.236854 4.161621 0.000000 7.520718 0.000000 0.000000 0.539328 
150.00 1125.00 99.963902 62.014596 20.266260 6.737186 0.000000 10.287006 0.000000 0.000000 0.658855 
150.00 1120.00 99.960119 56.939331 20.377614 9.058047 0.000000 12.819502 0.000000 0.000000 0.765624 
150.00 1115.00 99.956382 52.232102 20.546148 11.174212 0.000000 15.142211 0.000000 0.000000 0.861710 
150.00 1110.00 99.952703 47.851178 20.753930 13.122106 0.000000 17.276714 0.000000 0.000000 0.948776 
150.00 1105.00 99.949094 43.762835 20.988402 14.926741 0.000000 19.242993 0.000000 0.000000 1.028125 
150.00 1100.00 99.945572 39.940842 21.240356 16.604130 0.000000 21.059511 0.000000 0.000000 1.100734 
150.00 1095.00 99.942141 36.352169 21.500411 18.171813 0.000000 22.746310 0.000000 0.000000 1.171438 
150.00 1090.00 99.938840 32.999012 21.761468 19.628274 0.000000 24.313885 0.000000 0.000000 1.236202 
150.00 1085.00 99.937537 26.594215 21.365518 21.706712 1.377805 26.765022 0.732172 0.000000 1.396092 
150.00 1080.00 99.936172 21.161376 20.942134 23.119077 2.895427 28.998850 1.295054 0.000000 1.524254 
150.00 1075.00 99.934820 16.722236 20.481114 24.334889 4.102843 30.973739 1.696930 0.000000 1.623070 
150.00 1070.00 99.933561 12.960732 19.982166 25.415636 5.113125 32.759987 1.998492 0.000000 1.703423 
150.00 1065.00 99.932428 9.669431 19.442285 26.413480 5.989324 34.410957 2.235062 0.000000 1.771890 
150.00 1060.00 99.931435 6.702262 18.854395 27.375685 6.768124 35.969504 2.428670 0.000000 1.832794 
150.00 1055.00 99.930584 3.949264 18.206772 28.348289 7.471247 37.471818 2.593966 0.000000 1.889228 
150.00 1050.00 99.929874 1.323259 17.482442 29.379481 8.110859 38.949011 2.741257 0.000000 1.943567 
150.00 1045.00 99.929411 0.000000 17.080161 29.864195 8.495203 39.708085 2.810463 0.000000 1.971304 
150.00 1040.00 99.929100 0.000000 17.094359 29.694939 8.651382 39.710840 2.806275 0.000000 1.971304 
150.00 1035.00 99.928791 0.000000 17.108574 29.532847 8.800556 39.713502 2.802007 0.000000 1.971304 
150.00 1030.00 99.928482 0.000000 17.122806 29.377454 8.943196 39.716067 2.797656 0.000000 1.971304 
150.00 1025.00 99.928175 0.000000 17.137056 29.228334 9.079732 39.718531 2.793217 0.000000 1.971304 
150.00 1020.00 99.927868 0.000000 17.151325 29.085105 9.210552 39.720892 2.788690 0.000000 1.971304 
150.00 1015.00 99.927563 0.000000 17.165614 28.947413 9.336015 39.723146 2.784069 0.000000 1.971304 
150.00 1010.00 99.927258 0.000000 17.179927 28.814938 9.456444 39.725292 2.779353 0.000000 1.971304 
150.00 1005.00 99.925921 0.000000 17.386154 28.527201 9.601909 39.738953 2.581637 0.118764 1.971304 
150.00 1000.00 99.917456 0.000000 18.884411 27.171849 9.935123 39.831991 1.092229 1.030549 1.971304 
