Title: mars_mafic

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
150.00 1300.00 100.000189 36.210430 36.210430 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1295.00 100.000360 36.198349 36.198349 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1290.00 100.000536 36.186272 36.186272 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1285.00 100.000718 36.174199 36.174199 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1280.00 100.000904 36.162131 36.162131 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1275.00 100.001096 36.150067 36.150067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1270.00 100.000532 36.118946 35.880862 0.238085 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1265.00 100.000051 36.090610 35.648453 0.442157 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1260.00 99.999551 36.062429 35.417477 0.644952 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1255.00 99.999030 36.034393 35.187804 0.846589 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1250.00 99.998486 36.006490 34.959310 1.047180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1245.00 99.997919 35.978709 34.731874 1.246835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1240.00 99.997326 35.951039 34.505378 1.445661 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1235.00 99.996706 35.923471 34.279714 1.643758 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1230.00 99.996059 35.895995 34.054777 1.841218 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1225.00 99.995381 35.868602 33.830472 2.038130 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1220.00 99.994672 35.841284 33.606715 2.234569 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1215.00 99.993930 35.814034 33.383429 2.430605 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1210.00 99.993153 35.786847 33.160554 2.626293 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1205.00 99.992339 35.759717 32.938040 2.821677 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1200.00 99.991488 35.732642 32.715857 3.016785 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1195.00 99.990597 35.705618 32.493988 3.211631 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1190.00 99.989666 35.678647 32.272440 3.406207 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1185.00 99.988692 35.651730 32.051241 3.600489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1180.00 99.987676 35.624871 31.830440 3.794431 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1175.00 99.986615 35.598075 31.610111 3.987963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1170.00 99.985510 35.571350 31.390354 4.180996 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1165.00 99.984172 35.541733 31.137717 4.382788 0.000000 0.000000 0.000000 0.000000 0.000000 0.021228 
150.00 1160.00 99.982867 35.513455 30.900015 4.579658 0.000000 0.000000 0.000000 0.000000 0.000000 0.033782 
150.00 1155.00 99.981524 35.485406 30.664709 4.775058 0.000000 0.000000 0.000000 0.000000 0.000000 0.045639 
150.00 1150.00 99.980145 35.457597 30.431945 4.968830 0.000000 0.000000 0.000000 0.000000 0.000000 0.056822 
150.00 1145.00 99.978729 35.430042 30.201893 5.160798 0.000000 0.000000 0.000000 0.000000 0.000000 0.067351 
150.00 1140.00 99.975776 35.360410 29.225506 5.484827 0.000000 0.000000 0.560697 0.000000 0.000000 0.089381 
150.00 1135.00 99.971546 35.203719 27.266222 5.721357 0.379327 0.000000 1.709519 0.000000 0.000000 0.127293 
150.00 1130.00 99.967715 34.991564 25.043489 5.668878 1.245172 0.000000 2.864289 0.000000 0.000000 0.169736 
150.00 1125.00 99.963902 34.797124 23.006656 5.649747 2.012318 0.000000 3.921050 0.000000 0.000000 0.207353 
150.00 1120.00 99.960119 34.617380 21.130336 5.654563 2.701252 0.000000 4.890274 0.000000 0.000000 0.240955 
150.00 1115.00 99.956382 34.449969 19.394101 5.676233 3.327533 0.000000 5.780907 0.000000 0.000000 0.271195 
150.00 1110.00 99.952703 34.293061 17.781238 5.709660 3.902534 0.000000 6.601032 0.000000 0.000000 0.298597 
150.00 1105.00 99.949094 34.145282 16.278129 5.751306 4.434109 0.000000 7.358169 0.000000 0.000000 0.323569 
150.00 1100.00 99.945572 34.005660 14.874002 5.798609 4.927341 0.000000 8.059288 0.000000 0.000000 0.346420 
150.00 1095.00 99.942141 33.873003 13.555699 5.848971 5.387670 0.000000 8.711991 0.000000 0.000000 0.368672 
150.00 1090.00 99.938840 33.747530 12.322927 5.900540 5.814819 0.000000 9.320188 0.000000 0.000000 0.389055 
150.00 1085.00 99.937537 33.516343 10.042488 5.765668 6.420834 0.415423 10.273128 0.159427 0.000000 0.439375 
150.00 1080.00 99.936172 33.314975 8.079427 5.628408 6.827615 0.872232 11.146047 0.281536 0.000000 0.479710 
150.00 1075.00 99.934820 33.144839 6.446373 5.486001 7.176880 1.235094 11.921268 0.368414 0.000000 0.510809 
150.00 1070.00 99.933561 32.995900 5.039008 5.337024 7.486703 1.538344 12.625318 0.433404 0.000000 0.536098 
150.00 1065.00 99.932428 32.861487 3.787919 5.179765 7.772346 1.801098 13.278470 0.484243 0.000000 0.557645 
150.00 1060.00 99.931435 32.736781 2.643347 5.011709 8.047584 2.034458 13.897130 0.525741 0.000000 0.576813 
150.00 1055.00 99.930584 32.618009 1.567020 4.829288 8.325787 2.244983 14.495270 0.561087 0.000000 0.594574 
150.00 1050.00 99.929874 32.502009 0.527902 4.627676 8.620909 2.436333 15.084994 0.592519 0.000000 0.611675 
150.00 1045.00 99.929411 32.439772 0.000000 4.515661 8.757630 2.551370 15.387494 0.607213 0.000000 0.620404 
150.00 1040.00 99.929100 32.433996 0.000000 4.517751 8.704944 2.598340 15.386348 0.606209 0.000000 0.620404 
150.00 1035.00 99.928791 32.428225 0.000000 4.519843 8.654418 2.643204 15.385169 0.605188 0.000000 0.620404 
150.00 1030.00 99.928482 32.422459 0.000000 4.521936 8.605911 2.686104 15.383956 0.604149 0.000000 0.620404 
150.00 1025.00 99.928175 32.416696 0.000000 4.524030 8.559296 2.727167 15.382707 0.603092 0.000000 0.620404 
150.00 1020.00 99.927868 32.410938 0.000000 4.526125 8.514458 2.766512 15.381422 0.602016 0.000000 0.620404 
150.00 1015.00 99.927563 32.405163 0.000000 4.528222 8.471290 2.804245 15.380081 0.600921 0.000000 0.620404 
150.00 1010.00 99.927258 32.399353 0.000000 4.530322 8.429697 2.840463 15.378661 0.599805 0.000000 0.620404 
150.00 1005.00 99.925921 32.393484 0.000000 4.582484 8.342098 2.884042 15.381471 0.557015 0.025970 0.620404 
150.00 1000.00 99.917456 32.387195 0.000000 4.971146 7.938501 2.982952 15.413425 0.235526 0.225242 0.620404 
