Title: mars_mafic

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
150.00 1300.00 100.000189 1.0000000000000000 1.000000 274.848727 -1116022.815495 36.210430 -198.202052 2447.149029 146.778513 -9.247 -2.000 2.761640 0.000000 1.542 0 0.000
150.00 1295.00 100.000360 1.0000000000000000 1.000000 274.381947 -1116759.344729 36.198349 -198.177181 2447.184893 146.779391 -9.296 -2.000 2.762567 0.000000 1.560 0 0.000
150.00 1290.00 100.000536 1.0000000000000000 1.000000 273.913683 -1117495.959493 36.186272 -198.152455 2447.221799 146.780296 -9.346 -2.000 2.763494 0.000000 1.578 0 0.000
150.00 1285.00 100.000718 1.0000000000000000 1.000000 273.443925 -1118232.661380 36.174199 -198.127879 2447.259765 146.781226 -9.396 -2.000 2.764421 0.000000 1.597 0 0.000
150.00 1280.00 100.000904 1.0000000000000000 1.000000 272.972663 -1118969.452020 36.162131 -198.103458 2447.298807 146.782182 -9.447 -2.000 2.765349 0.000000 1.615 0 0.000
150.00 1275.00 100.001096 1.0000000000000000 1.000000 272.499889 -1119706.333080 36.150067 -198.079196 2447.338942 146.783166 -9.498 -2.000 2.766277 0.000000 1.634 0 0.000
150.00 1270.00 100.000532 0.9920381554368592 0.993408 271.788642 -1120794.413021 36.118946 -197.462706 2431.192511 146.406233 -9.549 -2.000 2.764826 3.344138 1.675 0 0.000
150.00 1265.00 100.000051 0.9851862281809420 0.987749 271.110691 -1121829.225586 36.090610 -196.931928 2417.287930 146.084343 -9.600 -2.000 2.763617 3.350346 1.714 0 0.000
150.00 1260.00 99.999551 0.9783510620920089 0.982116 270.433329 -1122859.360222 36.062429 -196.405213 2403.404515 145.765496 -9.652 -2.000 2.762327 3.356658 1.754 0 0.000
150.00 1255.00 99.999030 0.9715283207374226 0.976506 269.756382 -1123885.061116 36.034393 -195.882153 2389.534093 145.449544 -9.704 -2.000 2.760953 3.363074 1.794 0 0.000
150.00 1250.00 99.998486 0.9647137538405147 0.970917 269.079681 -1124906.565606 36.006490 -195.362349 2375.668639 145.136345 -9.757 -2.000 2.759491 3.369595 1.835 0 0.000
150.00 1245.00 99.997919 0.9579032217687398 0.965345 268.403058 -1125924.103392 35.978709 -194.845414 2361.800320 144.825765 -9.810 -2.000 2.757937 3.376220 1.877 0 0.000
150.00 1240.00 99.997326 0.9510927247323483 0.959788 267.726349 -1126937.895570 35.951039 -194.330981 2347.921551 144.517675 -9.863 -2.000 2.756287 3.382948 1.919 0 0.000
150.00 1235.00 99.996706 0.9442784371266832 0.954243 267.049394 -1127948.153490 35.923471 -193.818699 2334.025063 144.211954 -9.917 -2.000 2.754537 3.389778 1.962 0 0.000
150.00 1230.00 99.996059 0.9374567473384066 0.948707 266.372040 -1128955.077416 35.895995 -193.308238 2320.103978 143.908489 -9.970 -2.000 2.752682 3.396707 2.006 0 0.000
150.00 1225.00 99.995381 0.9306243032332709 0.943178 265.694137 -1129958.854977 35.868602 -192.799298 2306.151900 143.607178 -10.025 -2.000 2.750719 3.403733 2.050 0 0.000
150.00 1220.00 99.994672 0.9237780634593707 0.937654 265.015546 -1130959.659430 35.841284 -192.291607 2292.163008 143.307930 -10.079 -2.000 2.748644 3.410853 2.095 0 0.000
150.00 1215.00 99.993930 0.9169153544136248 0.932133 264.336136 -1131957.647718 35.814034 -191.784928 2278.132171 143.010665 -10.134 -2.000 2.746451 3.418063 2.141 0 0.000
150.00 1210.00 99.993153 0.9100339325272520 0.926613 263.655788 -1132952.958344 35.786847 -191.279068 2264.055069 142.715317 -10.190 -2.000 2.744139 3.425357 2.188 0 0.000
150.00 1205.00 99.992339 0.9031320487436112 0.921093 262.978633 -1133939.441533 35.759717 -190.773878 2249.928313 139.033185 -10.245 -2.000 2.741702 3.432729 2.236 0 0.000
150.00 1200.00 99.991488 0.8962084966873597 0.915573 262.307592 -1134912.776770 35.732642 -190.269259 2235.749543 138.737776 -10.302 -2.000 2.739137 3.440174 2.285 0 0.000
150.00 1195.00 99.990597 0.8892627262446212 0.910053 261.635392 -1135883.699730 35.705618 -189.765175 2221.517644 138.444061 -10.358 -2.000 2.736442 3.447684 2.334 0 0.000
150.00 1190.00 99.989666 0.8822949061642573 0.904531 260.961980 -1136852.251323 35.678647 -189.261651 2207.232876 138.152045 -10.415 -2.000 2.733613 3.455249 2.385 0 0.000
150.00 1185.00 99.988692 0.8753059871914108 0.899009 260.287324 -1137818.442236 35.651730 -188.758786 2192.896991 137.861752 -10.472 -2.000 2.730649 3.462860 2.436 0 0.000
150.00 1180.00 99.987676 0.8682977663786833 0.893489 259.611417 -1138782.250870 35.624871 -188.256753 2178.513361 137.573230 -10.530 -2.000 2.727549 3.470507 2.489 0 0.000
150.00 1175.00 99.986615 0.8612729424223942 0.887972 258.934279 -1139743.621627 35.598075 -187.755806 2164.087088 137.286548 -10.588 -2.000 2.724311 3.478179 2.542 0 0.000
150.00 1170.00 99.985510 0.8542351582965667 0.882462 258.255954 -1140702.463689 35.571350 -187.256280 2149.625089 137.001799 -10.646 -2.000 2.720936 3.485861 2.597 0 0.000
150.00 1165.00 99.984172 0.8461850918398830 0.876089 257.565787 -1141670.455976 35.541733 -186.732295 2134.434338 136.650882 -10.705 -2.000 2.717127 3.492052 2.659 0 0.000
150.00 1160.00 99.982867 0.8385534304345109 0.870093 256.879610 -1142629.919731 35.513455 -186.222278 2119.536318 136.330540 -10.765 -2.000 2.713299 3.498884 2.720 0 0.000
150.00 1155.00 99.981524 0.8309667347493550 0.864150 256.193360 -1143585.347435 35.485406 -185.716718 2104.674293 136.015153 -10.824 -2.000 2.709346 3.505759 2.782 0 0.000
150.00 1150.00 99.980145 0.8234311134958008 0.858263 255.507166 -1144536.567620 35.457597 -185.216236 2089.861254 135.704802 -10.885 -2.000 2.705274 3.512655 2.845 0 0.000
150.00 1145.00 99.978729 0.8159535497389311 0.852437 254.821184 -1145483.377928 35.430042 -184.721517 2075.111803 135.399587 -10.945 -2.000 2.701089 3.519550 2.909 0 0.000
150.00 1140.00 99.975776 0.7884466389252167 0.826504 253.674838 -1147048.034671 35.360410 -180.759782 2035.389779 134.570079 -11.006 -2.000 2.697150 3.447521 2.975 0 0.000
150.00 1135.00 99.971546 0.7350819416104701 0.774527 251.985245 -1149348.945829 35.203719 -171.908124 1970.580937 133.151970 -11.067 -2.000 2.695176 3.336602 3.028 0 0.000
