Title: dummy

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
1000.00 1700.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1695.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1690.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1685.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1680.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1675.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1670.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1665.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1660.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1655.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1650.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1645.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1640.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1635.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1630.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1625.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1620.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1615.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1610.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1605.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1600.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1595.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1590.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1585.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1580.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
1000.00 1575.00 99.999998 45.19 0.1588 3.5388 1.1199 7.0072 0.1317 39.7109 2.8049 0.2996 0.0231 0.0151
