Title: mars_ultram

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 rhm-oxide_0 whitlockite 
150.00 1700.00 99.980183 35.315436 35.315436 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1695.00 99.980122 35.300319 35.300319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1690.00 99.980063 35.285204 35.285204 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1685.00 99.980006 35.270090 35.270090 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1680.00 99.979950 35.254978 35.254978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1675.00 99.979896 35.239868 35.239868 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1670.00 99.979843 35.224760 35.224760 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1665.00 99.979792 35.209653 35.209653 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1660.00 99.979743 35.194548 35.194548 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1655.00 99.979696 35.179445 35.179445 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1650.00 99.979650 35.164344 35.164344 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1645.00 99.979606 35.149245 35.149245 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1640.00 99.979564 35.134147 35.134147 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1635.00 99.979524 35.119051 35.119051 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1630.00 99.979010 35.070223 34.714420 0.355803 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1625.00 99.978254 35.005464 34.123943 0.881520 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1620.00 99.977501 34.942434 33.551261 1.391173 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1615.00 99.976750 34.881040 32.995393 1.885647 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1610.00 99.976000 34.821196 32.455427 2.365770 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1605.00 99.975253 34.762821 31.930507 2.832314 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1600.00 99.974507 34.705839 31.419836 3.286003 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1595.00 99.973761 34.650179 30.922667 3.727512 0.000000 0.000000 0.000000 0.000000 0.000000 
