Title: mars_ultram

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
150.00 1700.00 0.000000 ---
150.00 1695.00 0.000000 ---
150.00 1690.00 0.000000 ---
150.00 1685.00 0.000000 ---
150.00 1680.00 0.000000 ---
150.00 1675.00 0.000000 ---
150.00 1670.00 0.000000 ---
150.00 1665.00 0.000000 ---
150.00 1660.00 0.000000 ---
150.00 1655.00 0.000000 ---
150.00 1650.00 0.000000 ---
150.00 1645.00 0.000000 ---
150.00 1640.00 0.000000 ---
150.00 1635.00 0.000000 ---
150.00 1630.00 1.100646 41.3896 0 1.15504e-14 0 6.69397 0.291459 51.5622 0.062774 0 0 0
150.00 1625.00 2.729192 41.3621 0 2.43032e-15 0 6.83427 0.297225 51.4425 0.0639279 0 0 0
150.00 1620.00 4.310712 41.3343 0 3.8467e-16 0 6.97617 0.302958 51.3215 0.0650927 0 0 0
150.00 1615.00 5.847865 41.3062 0 1.89038e-16 0 7.1197 0.308657 51.1992 0.0662689 0 0 0
150.00 1610.00 7.343130 41.2778 0 -6.77449e-16 0 7.2649 0.31432 51.0755 0.0674572 0 0 0
150.00 1605.00 8.798827 41.2491 0 -8.79466e-16 0 7.41178 0.319945 50.9506 0.0686581 0 0 0
150.00 1600.00 10.217126 41.22 0 -1.29837e-15 0 7.56039 0.325531 50.8242 0.0698723 0 0 0
150.00 1595.00 11.600062 41.1907 0 1.38183e-15 0 7.71075 0.331076 50.6964 0.0711005 0 0 0
150.00 1590.00 12.949546 41.161 0 1.15246e-15 0 7.86289 0.336578 50.5672 0.0723433 0 0 0
150.00 1585.00 14.267373 41.131 0 6.19857e-16 0 8.01685 0.342037 50.4366 0.0736014 0 0 0
150.00 1580.00 15.555236 41.1006 0 -7.10672e-17 0 8.17266 0.34745 50.3044 0.0748757 0 0 0
150.00 1575.00 16.814727 41.0699 0 -3.2872e-16 0 8.33034 0.352816 50.1708 0.0761668 0 0 0
150.00 1570.00 18.047350 41.0388 0 -6.43164e-16 0 8.48992 0.358134 50.0356 0.0774758 0 0 0
150.00 1565.00 19.254526 41.0074 0 8.32493e-16 0 8.65144 0.363402 49.8989 0.0788034 0 0 0
150.00 1560.00 20.437600 40.9756 0 5.67943e-16 0 8.81492 0.368619 49.7607 0.0801505 0 0 0
150.00 1555.00 21.597844 40.9435 0 4.09473e-16 0 8.98039 0.373783 49.6208 0.0815183 0 0 0
150.00 1550.00 22.736464 40.911 0 1.94483e-16 0 9.14789 0.378893 49.4793 0.0829077 0 0 0
150.00 1545.00 23.854604 40.8781 0 -6.95128e-17 0 9.31742 0.383947 49.3362 0.0843198 0 0 0
150.00 1540.00 24.953352 40.8448 0 -2.65808e-16 0 9.48903 0.388944 49.1914 0.0857557 0 0 0
150.00 1535.00 26.033741 40.8112 0 -3.18471e-16 0 9.66274 0.393883 49.045 0.0872167 0 0 0
150.00 1530.00 27.096751 40.7771 0 -5.71158e-16 0 9.83856 0.398761 48.8968 0.0887041 0 0 0
150.00 1525.00 28.143318 40.7427 0 5.30279e-16 0 10.0165 0.403579 48.747 0.0902191 0 0 0
150.00 1520.00 29.174330 40.7079 0 4.16809e-16 0 10.1966 0.408333 48.5954 0.0917632 0 0 0
150.00 1515.00 30.190632 40.6726 0 2.9293e-16 0 10.3789 0.413023 48.4421 0.093338 0 0 0
150.00 1510.00 31.193031 40.637 0 1.41758e-16 0 10.5634 0.417648 48.287 0.0949449 0 0 0
150.00 1505.00 32.182292 40.601 0 5.15252e-17 0 10.7501 0.422205 48.1301 0.0965857 0 0 0
150.00 1500.00 33.159142 40.5645 0 -5.00073e-17 0 10.939 0.426694 47.9715 0.098262 0 0 0
150.00 1495.00 34.124273 40.5277 0 -2.91558e-16 0 11.1302 0.431112 47.8111 0.0999758 0 0 0
150.00 1490.00 35.078340 40.4904 0 -4.56956e-16 0 11.3235 0.43546 47.6489 0.101729 0 0 0
150.00 1485.00 36.021964 40.4527 0 4.44986e-16 0 11.5191 0.439734 47.485 0.103523 0 0 0
150.00 1480.00 36.955728 40.4147 0 3.14089e-16 0 11.7168 0.443933 47.3192 0.105361 0 0 0
150.00 1475.00 37.880182 40.3762 0 1.45916e-16 0 11.9168 0.448056 47.1518 0.107245 0 0 0
150.00 1470.00 38.795841 40.3373 0 0 0 12.1189 0.452102 46.9826 0.109176 0 0 0
150.00 1465.00 39.703181 40.298 0 -9.74514e-17 0 12.3231 0.456068 46.8116 0.111158 0 0 0
150.00 1460.00 40.602643 40.2584 0 -1.63359e-16 0 12.5294 0.459954 46.639 0.113193 0 0 0
150.00 1455.00 41.494629 40.2184 0 -2.53091e-16 0 12.7378 0.463757 46.4647 0.115284 0 0 0
150.00 1450.00 42.379501 40.178 0 -4.04316e-16 0 12.9482 0.467477 46.2889 0.117433 0 0 0
150.00 1445.00 43.257576 40.1372 0 3.57776e-16 0 13.1605 0.471111 46.1115 0.119642 0 0 0
150.00 1440.00 44.129130 40.0962 0 1.8788e-16 0 13.3747 0.474658 45.9326 0.121916 0 0 0
150.00 1435.00 44.994391 40.0548 0 6.14225e-17 0 13.5905 0.478117 45.7523 0.124256 0 0 0
150.00 1430.00 45.853535 40.0131 0 -6.02716e-17 0 13.808 0.481485 45.5707 0.126666 0 0 0
150.00 1425.00 46.706685 39.9711 0 -2.0118e-16 0 14.027 0.484763 45.3879 0.129149 0 0 0
150.00 1420.00 47.553909 39.9289 0 -2.78959e-16 0 14.2474 0.487947 45.204 0.131708 0 0 0
150.00 1415.00 48.395213 39.8865 0 3.31216e-16 0 14.4689 0.491037 45.0192 0.134345 0 0 0
150.00 1410.00 49.230540 39.8439 0 2.35776e-16 0 14.6915 0.494032 44.8336 0.137063 0 0 0
150.00 1405.00 50.059765 39.8012 0 1.65622e-16 0 14.9148 0.49693 44.6473 0.139865 0 0 0
150.00 1400.00 50.882694 39.7583 0 -1.41218e-16 0 15.1387 0.499731 44.4605 0.142754 0 0 0
150.00 1395.00 51.699058 39.7154 0 3.31432e-16 0 15.3629 0.502433 44.2736 0.145732 0 0 0
150.00 1390.00 52.508515 39.6725 0 1.15792e-16 0 15.5871 0.505036 44.0866 0.1488 0 0 0
