Title: mars_ultram

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
150.00 1700.00 99.980183 1.0000000000000000 1.000000 311.548185 -1070388.433204 35.315436 -156.088264 3011.416519 163.351734 -6.097 -2.000 2.831062 0.000000 -0.566 0 0.000
150.00 1695.00 99.980122 1.0000000000000000 1.000000 311.133459 -1071204.356903 35.300319 -155.820603 3011.403814 163.351423 -6.129 -2.000 2.832272 0.000000 -0.558 0 0.000
150.00 1690.00 99.980063 1.0000000000000000 1.000000 310.717687 -1072020.299626 35.285204 -155.552913 3011.391445 163.351120 -6.160 -2.000 2.833484 0.000000 -0.550 0 0.000
150.00 1685.00 99.980006 1.0000000000000000 1.000000 310.300865 -1072836.261689 35.270090 -155.285196 3011.379415 163.350825 -6.192 -2.000 2.834697 0.000000 -0.542 0 0.000
150.00 1680.00 99.979950 1.0000000000000000 1.000000 309.882985 -1073652.243412 35.254978 -155.017453 3011.367727 163.350539 -6.224 -2.000 2.835910 0.000000 -0.534 0 0.000
150.00 1675.00 99.979896 1.0000000000000000 1.000000 309.464044 -1074468.245119 35.239868 -154.749684 3011.356384 163.350261 -6.256 -2.000 2.837125 0.000000 -0.526 0 0.000
150.00 1670.00 99.979843 1.0000000000000000 1.000000 309.044035 -1075284.267140 35.224760 -154.481891 3011.345390 163.349992 -6.288 -2.000 2.838340 0.000000 -0.518 0 0.000
150.00 1665.00 99.979792 1.0000000000000000 1.000000 308.622953 -1076100.309810 35.209653 -154.214074 3011.334747 163.349731 -6.321 -2.000 2.839556 0.000000 -0.509 0 0.000
150.00 1660.00 99.979743 1.0000000000000000 1.000000 308.200793 -1076916.373468 35.194548 -153.946235 3011.324458 163.349479 -6.354 -2.000 2.840774 0.000000 -0.501 0 0.000
150.00 1655.00 99.979696 1.0000000000000000 1.000000 307.777548 -1077732.458460 35.179445 -153.678375 3011.314527 163.349236 -6.386 -2.000 2.841992 0.000000 -0.493 0 0.000
150.00 1650.00 99.979650 1.0000000000000000 1.000000 307.353214 -1078548.565136 35.164344 -153.410494 3011.304957 163.349001 -6.419 -2.000 2.843211 0.000000 -0.484 0 0.000
150.00 1645.00 99.979606 1.0000000000000000 1.000000 306.927784 -1079364.693850 35.149245 -153.142594 3011.295751 163.348776 -6.452 -2.000 2.844431 0.000000 -0.476 0 0.000
150.00 1640.00 99.979564 1.0000000000000000 1.000000 306.501252 -1080180.844966 35.134147 -152.874676 3011.286913 163.348559 -6.486 -2.000 2.845652 0.000000 -0.468 0 0.000
150.00 1635.00 99.979524 1.0000000000000000 1.000000 306.073613 -1080997.018849 35.119051 -152.606741 3011.278447 163.348352 -6.519 -2.000 2.846874 0.000000 -0.459 0 0.000
150.00 1630.00 99.979010 0.9889912323429948 0.989855 305.253591 -1082548.255133 35.070223 -151.265404 2990.378524 162.774896 -6.553 -2.000 2.848337 3.093413 -0.444 0 0.000
150.00 1625.00 99.978254 0.9727021463535513 0.974818 304.248512 -1084442.231724 35.005464 -149.418884 2959.396608 161.927435 -6.587 -2.000 2.849878 3.096005 -0.426 0 0.000
150.00 1620.00 99.977501 0.9568831759535008 0.960187 303.263367 -1086293.467252 34.942434 -147.629363 2929.236159 161.105593 -6.621 -2.000 2.851362 3.098618 -0.407 0 0.000
150.00 1615.00 99.976750 0.9415077506514744 0.945941 302.297050 -1088104.249027 34.881040 -145.893733 2899.850211 160.307976 -6.655 -2.000 2.852789 3.101252 -0.388 0 0.000
150.00 1610.00 99.976000 0.9265510700616335 0.932059 301.348525 -1089876.708465 34.821196 -144.209097 2871.194913 159.533284 -6.689 -2.000 2.854157 3.103908 -0.369 0 0.000
150.00 1605.00 99.975253 0.9119899508500470 0.918525 300.416825 -1091612.834470 34.762821 -142.572746 2843.229267 158.780304 -6.724 -2.000 2.855464 3.106586 -0.350 0 0.000
150.00 1600.00 99.974507 0.8978026892840529 0.905318 299.501046 -1093314.485462 34.705839 -140.982151 2815.914880 158.047903 -6.759 -2.000 2.856711 3.109287 -0.330 0 0.000
150.00 1595.00 99.973761 0.8839689375870015 0.892424 298.600339 -1094983.400189 34.650179 -139.434939 2789.215747 157.335019 -6.793 -2.000 2.857894 3.112012 -0.310 0 0.000
150.00 1590.00 99.973016 0.8704695925375332 0.879827 297.713909 -1096621.207483 34.595774 -137.928889 2763.098053 156.640658 -6.829 -2.000 2.859013 3.114760 -0.290 0 0.000
150.00 1585.00 99.972272 0.8572866949602151 0.867511 296.841008 -1098229.435066 34.542563 -136.461913 2737.529999 155.963888 -6.864 -2.000 2.860065 3.117532 -0.270 0 0.000
150.00 1580.00 99.971528 0.8444033389244010 0.855464 295.980931 -1099809.517510 34.490486 -135.032048 2712.481637 155.303831 -6.899 -2.000 2.861049 3.120329 -0.249 0 0.000
150.00 1575.00 99.970783 0.8318035896327369 0.843671 295.133016 -1101362.803444 34.439489 -133.637450 2687.924729 154.659665 -6.935 -2.000 2.861964 3.123151 -0.228 0 0.000
150.00 1570.00 99.970037 0.8194724090975455 0.832120 294.296637 -1102890.562095 34.389518 -132.276378 2663.832613 154.030611 -6.971 -2.000 2.862807 3.125998 -0.207 0 0.000
150.00 1565.00 99.969291 0.8073955888309003 0.820800 293.471204 -1104393.989216 34.340527 -130.947193 2640.180087 153.415940 -7.007 -2.000 2.863576 3.128871 -0.186 0 0.000
150.00 1560.00 99.968543 0.7955596888672324 0.809699 292.656157 -1105874.212477 34.292467 -129.648345 2616.943296 152.814961 -7.043 -2.000 2.864269 3.131771 -0.164 0 0.000
150.00 1555.00 99.967794 0.7839519825244990 0.798807 291.850969 -1107332.296366 34.245296 -128.378372 2594.099642 152.227023 -7.080 -2.000 2.864884 3.134697 -0.142 0 0.000
150.00 1550.00 99.967043 0.7725604063928700 0.788113 291.055139 -1108769.246648 34.198972 -127.135890 2571.627690 151.651511 -7.116 -2.000 2.865418 3.137651 -0.119 0 0.000
150.00 1545.00 99.966290 0.7613735151013116 0.777607 290.268192 -1110186.014420 34.153456 -125.919589 2549.507091 151.087840 -7.153 -2.000 2.865869 3.140633 -0.097 0 0.000
150.00 1540.00 99.965534 0.7503804404790352 0.767282 289.489677 -1111583.499806 34.108711 -124.728230 2527.718510 150.535462 -7.190 -2.000 2.866234 3.143642 -0.073 0 0.000
150.00 1535.00 99.964775 0.7395708547790031 0.757127 288.719167 -1112962.555313 34.064703 -123.560637 2506.243560 149.993852 -7.228 -2.000 2.866510 3.146680 -0.050 0 0.000
150.00 1530.00 99.964012 0.7289349376828277 0.747135 287.956253 -1114323.988886 34.021397 -122.415696 2485.064746 149.462516 -7.265 -2.000 2.866695 3.149747 -0.026 0 0.000
150.00 1525.00 99.963247 0.7184633468510281 0.737297 287.200550 -1115668.566682 33.978762 -121.292350 2464.165412 148.940986 -7.303 -2.000 2.866784 3.152844 -0.002 0 0.000
150.00 1520.00 99.962477 0.7081471918209994 0.727606 286.451688 -1116997.015579 33.936769 -120.189597 2443.529697 148.428815 -7.341 -2.000 2.866776 3.155970 0.023 0 0.000
150.00 1515.00 99.961703 0.6979780110961376 0.718055 285.709316 -1118310.025446 33.895389 -119.106486 2423.142491 147.925582 -7.379 -2.000 2.866667 3.159125 0.048 0 0.000
150.00 1510.00 99.960924 0.6879477523028117 0.708636 284.973099 -1119608.251188 33.854596 -118.042117 2402.989408 147.430886 -7.417 -2.000 2.866452 3.162312 0.074 0 0.000
150.00 1505.00 99.960140 0.6780487553250808 0.699344 284.242720 -1120892.314574 33.814363 -116.995634 2383.056752 146.944348 -7.456 -2.000 2.866128 3.165528 0.100 0 0.000
150.00 1500.00 99.959351 0.6682737383568343 0.690172 283.517873 -1122162.805862 33.774666 -115.966230 2363.331493 146.465607 -7.494 -2.000 2.865692 3.168776 0.127 0 0.000
150.00 1495.00 99.958556 0.6586157868403592 0.681114 282.798271 -1123420.285236 33.735484 -114.953138 2343.801253 145.994323 -7.533 -2.000 2.865138 3.172054 0.154 0 0.000
150.00 1490.00 99.957755 0.6490683452869114 0.672164 282.083637 -1124665.284052 33.696793 -113.955637 2324.454286 145.530172 -7.573 -2.000 2.864463 3.175363 0.182 0 0.000
150.00 1485.00 99.956948 0.6396252119961087 0.663317 281.373709 -1125898.305905 33.658575 -112.973046 2305.279481 145.072851 -7.612 -2.000 2.863663 3.178704 0.210 0 0.000
150.00 1480.00 99.956133 0.6302805367166335 0.654568 280.668239 -1127119.827520 33.620809 -112.004725 2286.266347 144.622072 -7.652 -2.000 2.862732 3.182076 0.239 0 0.000
